,rule_id,rule,frequence,label
376,376,人物二/人物一/罗克,15,0
377,377,人物二/人物一/贝塔,15,0
380,380,作品/人物二/人物一,15,0
387,387,角色/人物一/人物二,15,0
393,393,二取/人物一/李逵/独劈/人物二,14,0
394,394,二取/人物一/独劈/人物二,14,0
395,395,人物/人物二/人物一/发,14,0
396,396,人物/人物二/人物一/王姬,14,0
397,397,人物/人物二/人物一/王姬/发,14,0
398,398,人物/人物二/昌/人物一,14,0
399,399,人物/人物二/昌/人物一/发,14,0
400,400,人物/人物二/昌/人物一/王姬,14,0
401,401,人物/人物二/昌/人物一/王姬/发,14,0
402,402,人物/人物二/王姬/人物一,14,0
403,403,人物/人物二/王姬/人物一/发,14,0
404,404,人物/人物二/王姬/人物一/王姬,14,0
405,405,人物/人物二/王姬/人物一/王姬/发,14,0
406,406,人物/人物二/王姬/昌/人物一,14,0
407,407,人物/人物二/王姬/昌/人物一/发,14,0
408,408,人物/人物二/王姬/昌/人物一/王姬,14,0
420,420,人物一/人物二/中国,14,0
421,421,人物一/人物二/回,14,0
430,430,人物二/人物一/舒克,14,0
431,431,人物二/人物一/舒克/贝塔,14,0
432,432,人物二/人物一/身上,14,0
433,433,人物二/人物一/道德,14,0
435,435,人物二/曰/人物一,14,0
443,443,戴宗/二取/人物一/李逵/独劈/人物二,14,0
444,444,戴宗/二取/人物一/独劈/人物二,14,0
445,445,戴宗/人物一/李逵/独劈/人物二,14,0
446,446,戴宗/人物一/独劈/人物二,14,0
447,447,水浒/戴宗/人物一/人物二,14,0
463,463,第五十三回/二取/人物一/人物二,14,0
464,464,第五十三回/二取/人物一/李逵/人物二,14,0
465,465,第五十三回/戴宗/二取/人物一/人物二,14,0
466,466,第五十三回/戴宗/二取/人物一/李逵/人物二,14,0
469,469,钟离权/人物一/人物二,14,0
471,471,人物一/年/月/日/人物二,13,0
472,472,人物一/讴于/人物二,13,0
473,473,人物二/人物/人物二/人物一,13,0
474,474,人物二/人物一/人物,13,0
476,476,人物二/人物一/出,13,0
477,477,人物二/人物一/哥哥,13,0
478,478,人物二/人物一/始祖,13,0
479,479,人物二/人物一/姐妹,13,0
480,480,人物二/人物一/师父,13,0
481,481,人物二/人物一/故事,13,0
482,482,人物二/兄弟/人物一,13,0
483,483,人物二/同治/人物一/家书,13,0
484,484,人物二/同治/写给/人物一/家书,13,0
485,485,人物二/咸丰/人物一,13,0
486,486,人物二/咸丰/人物一/家书,13,0
487,487,人物二/咸丰/写给/人物一,13,0
488,488,人物二/咸丰/写给/人物一/家书,13,0
489,489,人物二/岁/人物一,13,0
490,490,人物二/王和/人物一,13,0
491,491,人物二/程咬金/人物一,13,0
492,492,何仙姑/蓝采和/人物一/人物二/曹国舅,13,0
493,493,儿子/人物二/人物一,13,0
494,494,八仙/何仙姑/蓝采和/人物一/人物二,13,0
495,495,八仙/张果老/何仙姑/蓝采和/人物一/人物二,13,0
496,496,八仙/铁拐李/张果老/蓝采和/人物一/人物二,13,0
497,497,张果老/何仙姑/蓝采和/人物一/人物二/曹国舅,13,0
498,498,明/人物一/人物二,13,0
499,499,明/人物一/李逵/人物二,13,0
500,500,明/人物一/李逵/独劈/人物二,13,0
501,501,明/人物一/独劈/人物二,13,0
502,502,明/施耐庵/水浒/二取/人物一/人物二,13,0
503,503,明/施耐庵/水浒/人物一/人物二,13,0
504,504,明/施耐庵/水浒/人物一/李逵/人物二,13,0
505,505,明/施耐庵/水浒/人物一/独劈/人物二,13,0
506,506,明/施耐庵/水浒/戴宗/人物一/人物二,13,0
507,507,明/施耐庵/水浒/第五十三回/人物一/人物二,13,0
508,508,明/施耐庵/第五十三回/戴宗/人物一/人物二,13,0
509,509,汉/人物一/人物二/何仙姑,13,0
510,510,汉/何仙姑/蓝采和/人物一/人物二,13,0
511,511,汉/何仙姑/蓝采和/人物一/人物二/曹国舅,13,0
512,512,汉/钟离/人物一/人物二/何仙姑,13,0
513,513,汉/钟离/何仙姑/蓝采和/人物一/人物二,13,0
514,514,相声/人物一/已故/人物二,13,0
515,515,钟离/何仙姑/蓝采和/人物一/人物二,13,0
516,516,钟离/何仙姑/蓝采和/人物一/人物二/曹国舅,13,0
517,517,铁拐李/人物一/张果老/人物二,13,0
