sent_id,entity1,entity2,sent,processed_sent,label,sent_id.1,hard_match
TRAIN_SENT_ID_273624,马阔海,马青山,召唤 人 ： 柯胜 （ 主要 ） 、 马青山 、 马阔海 、 小 李子,召唤  柯胜  主要   人物二  人物一  李子,1,,0
TRAIN_SENT_ID_259528,梅超风,杨康,后 因 捕获 大 金 赵王 完颜洪烈 养子 杨康 而 引康 之师 、 陆氏 师姐 、 梅超风 来 救 。,捕获 金 赵王 完颜洪烈 养子 人物二 引康 之师  陆氏 师姐  人物一 救,-1,,0
TRAIN_SENT_ID_268838,骆羽,骆赢,混双 ： 何汉斌 / 包宜鑫 刘成 / 骆赢 李根 / 骆羽,混双  何汉斌  包宜鑫 刘成  人物二 李根  人物一,1,,0
TRAIN_SENT_ID_252515,颜回,孔子,孔子 最 欣赏 颜回 的 地方 ， 就是 “ 不 迁怒 ” 与 “ 不 贰 过 ” 。,人物二 欣赏 人物一 地方   迁怒   贰,-1,,-1
TRAIN_SENT_ID_266006,王恬,王洽,注 ： 中间 二 行为 王恬 《 得示 帖 》 ， 左边 两 行为 王洽 《 辱告 帖 》 ， 选 自 《 淳化阁 帖 》,注  中间 二 行为 人物一  得示 帖   左边 两 行为 人物二  辱告 帖   选  淳化阁 帖,1,,0
TRAIN_SENT_ID_257234,艾欧里亚,艾俄洛斯,圣域 志 狮子 列传 第八 : 艾欧里亚 ， 希腊人 也 ， 射手 县侯 艾俄洛斯 弟 。,圣域 志 狮子 列传 第八  人物一  希腊人  射手 县侯 人物二 弟,1,,0
TRAIN_SENT_ID_274315,李迥,华阳公主,－ 775 年 ） ， 京兆 （ 今 陕西 西安 ） 人 ， 唐代宗 李豫 的 贵妃 ， 生韩王 李迥 、 华阳公主 。,年   京兆  陕西 西安   唐代宗 李豫 贵妃  生韩王 人物一  人物二,1,,0
TRAIN_SENT_ID_257474,姜昆,马季,主持人 ： 姜昆 、 马季 、 刘晓庆 、 王景愚,主持人  人物一  人物二  刘晓庆  王景愚,-1,,0
TRAIN_SENT_ID_265492,薛蝌,薛蟠,后 有 薛蟠 之 从弟 薛蝌 ， 因,人物二 从弟 人物一,1,,0
TRAIN_SENT_ID_266861,尤二姐,尤氏,当 王熙凤 发现 贾琏 偷 娶 尤二姐 后 ， 大闹 宁国府 ， 尤氏 束手无策 ， 随 王熙凤 作践 ， 把 她 揉搓 成 一个 面团 儿 。,王熙凤 发现 贾琏 偷 娶 人物一  大闹 宁国府  人物二 束手无策  王熙凤 作践  揉搓 成 一个 面团,1,,0
