rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
399,后来/人物二/人物一,.*后来.*人物二.*人物一.*,15,1,1313,972,1
439,人物一/人物二/遂,.*人物一.*人物二.*遂.*,14,-1,1458,1408,1
443,人物二/人物一/三,.*人物二.*人物一.*三.*,14,0,1450,1228,1
444,人物二/人物一/孩子,.*人物二.*人物一.*孩子.*,14,1,1790,1390,1
451,岁/人物二/人物一,.*岁.*人物二.*人物一.*,14,1,1281,829,1
456,明/二取/人物一/人物二,.*明.*二取.*人物一.*人物二.*,14,-1,1036,1240,-1
457,明/二取/人物一/李逵/人物二,.*明.*二取.*人物一.*李逵.*人物二.*,14,-1,708,1034,-1
458,明/二取/人物一/李逵/独劈/人物二,.*明.*二取.*人物一.*李逵.*独劈.*人物二.*,14,-1,510,870,-1
459,明/二取/人物一/独劈/人物二,.*明.*二取.*人物一.*独劈.*人物二.*,14,-1,828,1117,-1
464,明/戴宗/二取/人物一/人物二,.*明.*戴宗.*二取.*人物一.*人物二.*,14,-1,650,956,-1
465,明/戴宗/二取/人物一/李逵/人物二,.*明.*戴宗.*二取.*人物一.*李逵.*人物二.*,14,-1,411,732,-1
466,明/戴宗/二取/人物一/独劈/人物二,.*明.*戴宗.*二取.*人物一.*独劈.*人物二.*,14,-1,486,819,-1
467,明/戴宗/人物一/人物二,.*明.*戴宗.*人物一.*人物二.*,14,-1,976,1147,-1
468,明/戴宗/人物一/李逵/人物二,.*明.*戴宗.*人物一.*李逵.*人物二.*,14,-1,649,944,-1
469,明/戴宗/人物一/李逵/独劈/人物二,.*明.*戴宗.*人物一.*李逵.*独劈.*人物二.*,14,-1,463,809,-1
470,明/戴宗/人物一/独劈/人物二,.*明.*戴宗.*人物一.*独劈.*人物二.*,14,-1,770,1056,-1
471,明/施耐庵/二取/人物一/人物二,.*明.*施耐庵.*二取.*人物一.*人物二.*,14,-1,559,891,-1
472,明/施耐庵/二取/人物一/李逵/人物二,.*明.*施耐庵.*二取.*人物一.*李逵.*人物二.*,14,-1,406,732,-1
473,明/施耐庵/二取/人物一/独劈/人物二,.*明.*施耐庵.*二取.*人物一.*独劈.*人物二.*,14,-1,456,798,-1
474,明/施耐庵/人物一/人物二,.*明.*施耐庵.*人物一.*人物二.*,14,-1,847,1080,-1
475,明/施耐庵/人物一/李逵/人物二,.*明.*施耐庵.*人物一.*李逵.*人物二.*,14,-1,590,937,-1
476,明/施耐庵/人物一/李逵/独劈/人物二,.*明.*施耐庵.*人物一.*李逵.*独劈.*人物二.*,14,-1,471,825,-1
477,明/施耐庵/人物一/独劈/人物二,.*明.*施耐庵.*人物一.*独劈.*人物二.*,14,-1,690,1018,-1
478,明/施耐庵/戴宗/二取/人物一/人物二,.*明.*施耐庵.*戴宗.*二取.*人物一.*人物二.*,14,-1,371,668,-1
