sent_id,sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_275841,,陆无双,李莫愁,"重生 之 我 是 杨过 内容简介 : 李莫愁 收 了 , 郭芙收 了 , 小龙女 收 了 , 陆无双 收 了 ...",重生 杨过 内容简介  人物二 收  郭芙收  小龙女 收  人物一 收,-1
TRAIN_SENT_ID_276936,,樊迟,孔子,学生 樊迟 问 什么 是 智 ， 孔子 答 “ 知 人 ” （ 《 论语 · 颜渊 》 ） 。,学生 人物一 问 智  人物二 答  知    论语  颜渊,-1
TRAIN_SENT_ID_252530,,颜回,孔子,傅 教授 引用 孔子 、 颜回 、 子路 和 自己 的 人生 体悟 ， 认为 ， 儒家 的 人 知道 自己 为什么 而活 ， 自己 的 人生 使命 是 什么 ， 所以 很 快乐 。,傅 教授 引用 人物二  人物一  子路 人生 体悟  认为  儒家 知道 而活  人生 使命  快乐,-1
TRAIN_SENT_ID_278491,,雷凌云,金威远,"第二类 反面人物 ： 佐佐木 ， 金威远 ， 花面 狼 ， 雷凌云 , 周参将 等 。",第二类 反面人物  佐佐木  人物二  花面 狼  人物一  周参将,-1
TRAIN_SENT_ID_252425,,颜回,孔子,正中 为 大成 至圣先师 孔子 ， 左为 复圣 颜回 ， 述 圣 孔伋 ， 右为 宗圣 曾 参 ， 亚圣 孟轲 。,正中 大成 至圣先师 人物二  左为 复圣 人物一  述 圣 孔伋  右为 宗圣 参  亚圣 孟轲,-1
TRAIN_SENT_ID_282517,,红孩,赵本山,"赵本山 收徒 , 组建 “ 赵家 班 ” 红 、 董三毛 、 宋小宝 、 小 鹏飞 、 田娃 、 红孩 。",人物二 收徒  组建  赵家 班  红  董三毛  宋小宝  鹏飞  田娃  人物一,-1
TRAIN_SENT_ID_281536,,于佑福,高德明,高德明 收徒 于佑福 ， 健在 。,人物二 收徒 人物一  健在,-1
TRAIN_SENT_ID_279110,,王维筠,金仲仁,金仲仁 收 王维秋 、 王维筠 为徒 。,人物二 收 王维秋  人物一 为徒,-1
TRAIN_SENT_ID_253107,,颜回,孔子,前面 为 卷 棚式 走廊 ， 启 圣殿 内 供奉 有 孔子 及四配 ， 分别 是 颜回 、 曾 参 、 子思 、 孟子 。,前面 卷 棚式 走廊  启 圣殿 供奉 人物二 及四配  人物一  参  子思  孟子,-1
TRAIN_SENT_ID_252807,,颜回,孔子,大成殿 是 供奉 孔子 的 大殿 ， 正中 供祀 孔子像 ， 两侧 配祀 颜回 、 曾 参 、 孟轲 等 十二 哲像 。,大成殿 供奉 人物二 大殿  正中 供祀 人物二像  两侧 配祀 人物一  参  孟轲 十二 哲像,-1
TRAIN_SENT_ID_253113,,颜回,孔子,例如 在 《 论语 》 中 ， 我们 可以 看到 孔子 对 颜回 叹息 其 “ 勇 ” 不足 ， 不能 及时 批评 老师 的 过错 ； 同时 却 一再 地 批评 子路 勇气 过度 ， 不足取 。,论语  中  看到 人物二 人物一 叹息  勇  不足  不能 及时 批评 老师 过错  一再 批评 子路 勇气 过度  不足取,-1
TRAIN_SENT_ID_252601,,颜回,孔子,孔子 · 颜回 · 曾 参 · 孔伋 · 孟子,人物二  人物一  参  孔伋  孟子,-1
TRAIN_SENT_ID_252758,,颜回,孔子,孔子 仲由 颜回 端木赐 卜商 曾 参 孟子 苟子 陆贾 伏胜 韩婴 贾谊 公 孙弘 枚 乘 司马相如 董仲舒 司马迁 戴德,人物二 仲由 人物一 端木赐 卜商 参 孟子 苟子 陆贾 伏胜 韩婴 贾谊 公 孙弘 枚 司马相如 董仲舒 司马迁 戴德,-1
TRAIN_SENT_ID_252859,,颜回,孔子,殿内 ， 供奉 着 孔子 冕旒 坐像 和 颜回 、 孔伋 、 曾 参 、 孟子 的 四圣 坐像 。,殿内  供奉 人物二 冕旒 坐像 人物一  孔伋  参  孟子 四圣 坐像,-1
TRAIN_SENT_ID_252731,,颜回,孔子,和 圣 柳下惠 柳下惠 人物 简介 : 孔子 为 至圣 ， 孟子为 亚圣 ， 颜回 为 复圣 ， 曾 参为 宗圣 ， 和 圣为 柳下惠,圣 柳下惠 柳下惠 人物 简介  人物二 至圣  孟子为 亚圣  人物一 复圣  参为 宗圣  圣为 柳下惠,-1
TRAIN_SENT_ID_253152,,颜回,孔子,庙 内 正中 祀 孔子 塑像 ， 两旁 为 四配 （ 颜回 、 曾 参 、 孔及 、 孟轲 ） 。,庙 正中 祀 人物二 塑像  两旁 四配  人物一  参  孔及  孟轲,-1
TRAIN_SENT_ID_260949,,杨露禅,陈长兴,清道光 年间 ， 陈氏 十四 世 陈长兴 打破 门规 ， 收 河北人 杨露禅 为徒 。,清道光 年间  陈氏 十四 世 人物二 打破 门规  收 河北人 人物一 为徒,-1
TRAIN_SENT_ID_253148,,颜回,孔子,四配 塑像 位于 孔子 神龛 前 东西 两侧 ， 每 两位 一龛 ， 东为 颜回 、 孔伋 ， 西为 曾 参 、 孟轲 。,四配 塑像 位于 人物二 神龛 前 东西 两侧  两位 一龛  东为 人物一  孔伋  西为 参  孟轲,-1
TRAIN_SENT_ID_259366,,葛玄,左慈,左慈 人物 成就 : 左慈 戏耍 诸侯 ， 以 方术 名闻 当 世 ， 收 葛玄 为徒 。,人物二 人物 成就  人物二 戏耍 诸侯  方术 名闻 世  收 人物一 为徒,-1
TRAIN_SENT_ID_257773,,林平之,岳不群,适逢 福州 福威 镖局 大难 ， 岳不群 收 福威 镖局 少镖头 林平之 为徒 。,适逢 福州 福威 镖局 大难  人物二 收 福威 镖局 少镖头 人物一 为徒,-1
TRAIN_SENT_ID_252702,,颜回,孔子,李翱 认为 道统 自先 王传圣 人 ( 孔子 ) ， 再 经 颜回 、 子路 、 曾皙 三人 传子思 ， 子思传 孟子 ， 孟子 传 公孙丑 、 万章 等 。,李翱 认为 道统 自先 王传圣  人物二   人物一  子路  曾皙 三人 传子思  子思传 孟子  孟子 传 公孙丑  万章,-1
TRAIN_SENT_ID_269009,,李如柏,李如松,李如松 、 李如柏 、 李如桢 、 李如樟 、 李如梅 都 是 总兵 官 ， 李如梓 、 李如 梧 、 李如桂 、 李如 楠亦官 至 参将 。,人物二  人物一  李如桢  李如樟  李如梅 总兵 官  李如梓  李如 梧  李如桂  李如 楠亦官 参将,1
TRAIN_SENT_ID_256949,,仲由,孔子,然而 读书无用 论 ， 由来已久 ， 最古 的 主张 者 也许 是 孔子 的 得意 门徒 仲由 ， 即 子路 ， 他 的 那句 “ 以 此言 之 ， 何学 之 有 ？ ”,读书无用  由来已久  最古 主张 也许 人物二 得意 门徒 人物一  子路  那句  此言  何学,-1
TRAIN_SENT_ID_252510,,颜回,孔子,2 柳下惠 人物 简介 : 孔子 为 至圣 ， 孟子为 亚圣 ， 颜回 为 复圣 ， 曾 参为 宗圣 ， 和 圣为 柳下惠,柳下惠 人物 简介  人物二 至圣  孟子为 亚圣  人物一 复圣  参为 宗圣  圣为 柳下惠,-1
TRAIN_SENT_ID_252812,,颜回,孔子,他 的 学生 颜回 称其 “ 威而 不 猛 ” ， 且 孔子 身材 魁伟 ， 当时 被 称为 “ 长人 ” 。,学生 人物一 称其  威而 猛   人物二 身材 魁伟  当时 称为  长人,-1
TRAIN_SENT_ID_270974,,李易霏,李昂融,她们 就是 被誉为 “ 最美 双胞胎 ” 的 济南 小 姐妹 、 济南 舜文 中学 小学部 三年级 学生 — — — “ 朵朵 ” 李易霏 、 “ 果果 ” 李昂融 。,被誉为  最美 双胞胎  济南 姐妹  济南 舜文 中学 小学部 三年级 学生     朵朵  人物一   果果  人物二,1
TRAIN_SENT_ID_253122,,颜回,孔子,旧时 ， 每年 春秋 在 文庙 祭祀 孔子 ， 大成殿 正中 塑有 孔子像 ， 并 以 颜回 、 曾 参 、 子思 、 孟柯 配享 。,旧时  每年 春秋 文庙 祭祀 人物二  大成殿 正中 塑有 人物二像  人物一  参  子思  孟柯 配享,-1
TRAIN_SENT_ID_261567,,南宫敬叔,孟懿子,孔子 私学 的 学生 主要 是 由 平民 所 组成 的 ﹐ 据近 人 考证 ﹐ 孔子 学生 真正 来自 贵族 的 ﹐ 只有 南宫敬叔 ﹑ 司马 牛 和 孟懿子 等 少数几 人 。,孔子 私学 学生 主要 平民 组成 ﹐ 据近 考证 ﹐ 孔子 学生 真正 贵族 ﹐ 人物一  司马 牛 人物二 少数几,1
TRAIN_SENT_ID_286109,,崔磊,陈天星,《 终极 硬汉 》 由 陈天星 和 崔磊 联合 执导 ， 作为 陈天星 转型 动作 电影 的 参加 时尚 星秀 盛典 ( 4 张 ),终极 硬汉  人物二 人物一 联合 执导  人物二 转型 动作 电影 参加 时尚 星秀 盛典   张,-1
TRAIN_SENT_ID_249086,,吕洞宾,韩湘子,二条 ： 吕洞宾 ， 额滴 神 啊 ， 这是 抽象派 的 风流倜傥 么 三条 ： 曹国舅 ， 头戴 官帽 ， 这 还是 比较 靠 谱 的 四条 ： 韩湘子 ， 这 发型 。,二条  人物一  额滴 神  这是 抽象派 风流倜傥 三条  曹国舅  头戴 官帽  比较 谱 四条  人物二  发型,-1
TRAIN_SENT_ID_265421,,薛谭,秦青,据 《 列子 · 汤问 》 记载 ， 秦青 曾收 薛谭 为徒 。,列子  汤问  记载  人物二 曾收 人物一 为徒,-1
TRAIN_SENT_ID_253124,,颜回,孔子,且 集中 与子 俨 等 疏 称子 夏为 孔子 四友 ， 而 此录 四友 乃 为 颜回 、 子贡 、 子路 、 子张 。,集中 与子 俨 疏 称子 夏为 人物二 四友  此录 四友 人物一  子贡  子路  子张,-1
TRAIN_SENT_ID_252918,,颜回,孔子,这时 ， 跟着 孔子 的 颜回 有点 纳闷 ， 就 问 ： “ 夫子 尚未 见到 子路 就 三次 称赞 其善 ， 不亦逾乎 ？ ”,跟着 人物二 人物一 有点 纳闷  问   夫子 尚未 见到 子路 三次 称赞 其善  不亦逾乎,-1
TRAIN_SENT_ID_256856,,仲由,孔子,( 5 ) 子路 ： 孔子 的 弟子 ， 名 仲由 ， 字 子路 。,子路  人物二 弟子  名 人物一  字 子路,-1
TRAIN_SENT_ID_282997,,邱胜扬,姜昆,2007 年 3 月 30 日 ， 农历 丁亥年 二月 十二日 ， 晚 ： 姜昆 收 徐惠民 、 邱胜扬 为徒,年  月  日  农历 丁亥年 二月 十二日  晚  人物二 收 徐惠民  人物一 为徒,-1
TRAIN_SENT_ID_284041,,韩文举,康有为,但 韩文举 目睹 清廷 腐败无能 ， 国力 每况愈下 ， 便于 27 岁 （ 1891 年 ） 到 广州 长兴 里 万木草堂 拜 康有为 为师 ， 成为 早期 的 康门 弟子 。,人物一 目睹 清廷 腐败无能  国力 每况愈下   岁   年  广州 长兴 里 万木草堂 拜 人物二 为师  成为 早期 康门 弟子,-1
TRAIN_SENT_ID_283493,,俞莲舟,张三丰,张三丰 共收 有 七名 弟子 ： 宋远桥 、 俞莲舟 、 俞岱岩 、 张松溪 、 张翠山 、 殷梨亭 、 莫声谷 ， 合称 「 武当七侠 」 。,人物二 共收 七名 弟子  宋远桥  人物一  俞岱岩  张松溪  张翠山  殷梨亭  莫声谷  合称  武当七侠,-1
TRAIN_SENT_ID_253114,,颜回,孔子,同年 ， 赵恒 追封 孔子 弟子 颜回 等 十人 公爵 ， 曾 参等 62 人为 侯爵 ， 先儒 左丘明 等 19 人为 伯爵 。,同年  赵恒 追封 人物二 弟子 人物一 十人 公爵  参等  人为 侯爵  先儒 左丘明  人为 伯爵,-1
TRAIN_SENT_ID_265436,,薛谭,秦青,例如 《 薛谭 学 讴 》 ( 《 列子 》 ) 这则 寓言 ， 说 的 是 薛谭 向 秦青 学习 唱歌 ， 自 认为 已经 学到 了 老师 的 全部 本领 ， 于是 辞别 老师 回家 。,人物一 学 讴    列子   这则 寓言  说 人物一 人物二 学习 唱歌  认为 已经 学到 老师 本领  辞别 老师 回家,-1
TRAIN_SENT_ID_252832,,颜回,孔子,“ 大成殿 除 供奉 孔子像 外 ， 在 其他 地方 的 一些 孔庙 还会 附 祭 孔子 的 四大 弟子 ， 复圣 颜回 、 述 圣 孔伋 、 宗圣 曾 参 、 亚圣 孟轲 。 ”,大成殿 供奉 人物二像 外  地方 孔庙 还会 附 祭 人物二 四大 弟子  复圣 人物一  述 圣 孔伋  宗圣 参  亚圣 孟轲,-1
TRAIN_SENT_ID_256874,,仲由,孔子,例如 ， 孔子 的 弟子 仲由 ， 字 子路 ， 就是 卫国 大夫 孔 俚 的 家 宰 ， 因为 孔 俚 属于 季氏 家族 ， 因此 子路 的 官称 就是 “ 季氏 宰 ” 。,人物二 弟子 人物一  字 子路  卫国 大夫 孔 俚 家 宰  孔 俚 属于 季氏 家族  子路 官称  季氏 宰,-1
TRAIN_SENT_ID_265410,,薛谭,秦青,薛谭 、 秦青 ： 传说 中 秦国 两名 善于 唱歌 的 人 。,人物一  人物二  传说 中 秦国 两名 善于 唱歌,-1
TRAIN_SENT_ID_286506,,徐建明,宋文治,徐建明 艺术 年表 : 1972 年 拜 山水画 家 宋文治 先生 为师 学画 。,人物一 艺术 年表   年 拜 山水画 家 人物二 先生 为师 学画,-1
TRAIN_SENT_ID_279325,,陈玄风,黄药师,陈玄风 角色 经历 : 陈玄风 是 金庸 小说 《 射雕 英雄传 》 的 人物 ， 他 是 「 东邪 」 黄药师 弟子 、 黄蓉 （ 小说 女主角 ） 师兄 。,人物一 角色 经历  人物一 金庸 小说  射雕 英雄传  人物   东邪  人物二 弟子  黄蓉  小说 女主角  师兄,-1
TRAIN_SENT_ID_276987,,樊迟,孔子,樊迟 不于 此处 用心 ， 却 想 学习 应由 小人 来 做 的 耕稼 之 事 ， 所以 受到 孔子 斥责 。,人物一 不于 用心  想 学习 应由 小人 做 耕稼 事  人物二 斥责,-1
TRAIN_SENT_ID_256967,,仲由,孔子,( 4 ) 子路 — — 名 仲由 ， 字 子路 ， 孔子 弟子 。,子路   名 人物一  字 子路  人物二 弟子,-1
TRAIN_SENT_ID_279320,,陈玄风,黄药师,而后 黄药师 娶 冯衡 为 妻 ， 早年 所收 的 徒弟 除去 陈玄风 、 梅超风 、 曲灵风 、 陆乘风 四大 弟子 之外 还有 两个 小 弟子 武眠风 和 冯默风 。,人物二 娶 冯衡 妻  早年 所收 徒弟 除去 人物一  梅超风  曲灵风  陆乘风 四大 弟子 之外 两个 弟子 武眠风 冯默风,-1
TRAIN_SENT_ID_274680,,马冬晗,马冬昕,【 人民网 】 2011 中国 大学生 年度人物 候选人 马冬晗 、 马冬昕 事迹 2011 中国 大学生 年度人物 二十大 提名,人民网   中国 大学生 年度人物 候选人 人物一  人物二 事迹  中国 大学生 年度人物 二十大 提名,1
TRAIN_SENT_ID_252578,,颜回,孔子,五月 ， 乙卯 朔 ， 诏 追封 孔子 弟子 兖公 颜回 为 国公 ， 费侯 闵损 等 九 人为 郡公 ， 成伯 曾 参等 六十二 人为 列侯 ， 冥 相群 官分 撰赞 。,五月  乙卯 朔  诏 追封 人物二 弟子 兖公 人物一 国公  费侯 闵损 九 人为 郡公  成伯 参等 六十二 人为 列侯  冥 相群 官分 撰赞,-1
TRAIN_SENT_ID_275147,,孙立荣,赵本山,不过 ， 如今 的 孙立荣 和 王小宝 因为 工作 原因 无法 继续 搭档 演出 ， 孙立荣 目前 的 搭档 是 苏小龙 ， 是 赵本山 新收 的 一位 弟子 。,如今 人物一 王小宝 工作 原因 无法 继续 搭档 演出  人物一 目前 搭档 苏小龙  人物二 新收 一位 弟子,-1
TRAIN_SENT_ID_275895,,王子豪,王子杰,王子杰 演艺 经历 : 2011 年 ， 与 双胞胎 哥哥 王子豪 一同 参加 香港 TVB 《 超级 巨声 3 》 进入 十强 ， 并 获得 “ 最佳 巨声 组合 奖 ” 。,人物二 演艺 经历   年  双胞胎 哥哥 人物一 一同 参加 香港   超级 巨声   进入 十强  获得  最佳 巨声 组合 奖,1
TRAIN_SENT_ID_269124,,唐鉴军,赵本山,2003 年 ， “ 首届 赵本山 杯 二人转 大奖赛 ” 时 ， 唐鉴军 听说 有 这个 比赛 ， 觉得 这 是 个 机会 ， 想 去 参赛 ， 可 临近 比赛 时 他 又 不想 去 了 。,年   首届 人物二 杯 二人转 大奖赛  时  人物一 听说 比赛  觉得 机会  想 参赛  临近 比赛 时 不想,-1
TRAIN_SENT_ID_254304,,张顺,张横,（ QQ 水浒 武将 ） : 张顺 ， 排行 三十 ， 外号 “ 浪里白条 ” ， 一身 好水功 ， 是 船 火儿 张横 的 弟弟 。,水浒 武将   人物一  排行 三十  外号  浪里白条   一身 好水功  船 火儿 人物二 弟弟,1
TRAIN_SENT_ID_275156,,孙立荣,赵本山,孙立荣 拜师 困难 : 赵本山 一度 不收 女 徒弟 ， 孙立荣 拜师 难,人物一 拜师 困难  人物二 一度 不收 女 徒弟  人物一 拜师 难,-1
TRAIN_SENT_ID_266056,,张学思,张学良,张大帅 的 儿子 ， 亦 即 张学良 的 弟弟 张学思 少将 ， 官拜 解放军 海军 参谋长 ， 文革 时遭 迫害 ， 弥留之际 ， 最想 吃 的 就是 酸菜 。,张大帅 儿子  人物二 弟弟 人物一 少将  官拜 解放军 海军 参谋长  文革 时遭 迫害  弥留之际  最想 吃 酸菜,1
TRAIN_SENT_ID_274403,,林丽娟,李多奎,林丽娟 活动 年表 : 1959 年 10 月 ， 农历 己亥 年 ： 李多奎 收 林丽娟 为徒 李多奎 收 林丽娟 为徒 。,人物一 活动 年表   年  月  农历 己亥 年  人物二 收 人物一 为徒 人物二 收 人物一 为徒,-1
TRAIN_SENT_ID_281650,,黄铁良,侯宝林,黄铁良 艺术人生 : 1950 年 拜 侯宝林 为师 ， 在 相声改进小组 学习 。,人物一 艺术人生   年 拜 人物二 为师  相声改进小组 学习,-1
TRAIN_SENT_ID_252828,,颜回,孔子,宋真宗 追封 孔子 弟子 颜回 等 十人 公爵 ， 曾 参等 62 人 侯爵 ， 封先儒 左丘明 等 19 人 伯爵 。,宋真宗 追封 人物二 弟子 人物一 十人 公爵  参等  侯爵  封先儒 左丘明  伯爵,-1
TRAIN_SENT_ID_252873,,颜回,孔子,在 这 一时期 ， 孔子 的 学生 中有 比 他 只 小 6 岁 的 颜路 （ 颜回 之 父 ） ， 有 比 他 只 小 9 岁 的 子路 。,一时期  人物二 学生 中有  岁 颜路  人物一 父    岁 子路,-1
TRAIN_SENT_ID_258126,,刘星,夏雪,东海 为 了解 夏雪 反常 行为 ， “ 雇佣 ” 刘星 跟踪 夏雪 ， 而 刘梅 发现 刘星 行动诡秘 ， 则 “ 收买 ” 了 夏雨来 跟踪 刘星 。,东海 了解 人物二 反常 行为   雇佣  人物一 跟踪 人物二  刘梅 发现 人物一 行动诡秘   收买  夏雨来 跟踪 人物一,1
TRAIN_SENT_ID_266133,,李昌镐,曹薰铉,李昌镐 运动 生涯 : 1984 年 9 月 ， 9 岁 的 李昌镐 正式 拜 曹薰铉 为师 ， 成 了 曹薰铉 的 内 弟子 。,人物一 运动 生涯   年  月   岁 人物一 正式 拜 人物二 为师  成 人物二 弟子,-1
TRAIN_SENT_ID_275531,,王小虎,赵本山,感情 : 王小虎 张可 婚礼 王小虎 和 张可 当年 一起 学 二人转 ， 2001 年 俩 人 同时 拜 赵本山 为师 。,感情  人物一 张可 婚礼 人物一 张可 当年 一起 学 二人转   年 俩 拜 人物二 为师,-1
TRAIN_SENT_ID_252608,,颜回,孔子,有 一天 ， 孔子 与 颜回 、 子路 在 一起 交谈 。,一天  人物二 人物一  子路 一起 交谈,-1
TRAIN_SENT_ID_274402,,林丽娟,李多奎,新 中国 成立 后 ， 李多奎 接受 新 思想 ， 先后 收 赵鸣 华 、 李鸣岩 、 林丽娟 、 王梦云 、 王晓临 、 许爱华 等 一批 年轻 女演员 为徒 。,新 中国 成立  人物二 接受 新 思想  先后 收 赵鸣 华  李鸣岩  人物一  王梦云  王晓临  许爱华 一批 年轻 女演员 为徒,-1
TRAIN_SENT_ID_252890,,颜回,孔子,颜回 字子渊 ， 春秋 末 鲁国 人 ， 是 孔子 最 喜欢 的 弟子 。,人物一 字子渊  春秋 末 鲁国  人物二 喜欢 弟子,-1
TRAIN_SENT_ID_252764,,颜回,孔子,闻一知十 相关 人物 : 颜回 ： 字子渊 ， 鲁国 人 ， 是 孔子 最 喜欢 的 弟子 之一 。,闻一知十 相关 人物  人物一  字子渊  鲁国  人物二 喜欢 弟子,-1
TRAIN_SENT_ID_256853,,仲由,孔子,仲由 ： 春秋 时鲁国 人 ， 字 子路 ， 孔子 的 得意 弟子 ， 他 直率 勇敢 ， 仕卫为 邑 宰 。,人物一  春秋 时鲁国  字 子路  人物二 得意 弟子  直率 勇敢  仕卫为 邑 宰,-1
TRAIN_SENT_ID_256866,,仲由,孔子,种氏 家祠 种氏 家祠 始祖 : 种氏 家祠 始祖 ： 仲由 ， 春秋 时鲁国 人 ， 字 子路 ， 孔子 的 得意 弟子 ， 他 直率 勇敢 ， 仕卫为 邑 宰 。,种氏 家祠 种氏 家祠 始祖  种氏 家祠 始祖  人物一  春秋 时鲁国  字 子路  人物二 得意 弟子  直率 勇敢  仕卫为 邑 宰,-1
TRAIN_SENT_ID_252447,,颜回,孔子,颜回 ， 公元前 521 ～ 前 490 年 ， 字子渊 ， 亦 称 颜渊 ， 春秋 末期 鲁国 人 ， 孔子 最 得意 的 弟子 。,人物一  公元前   前  年  字子渊  称 颜渊  春秋 末期 鲁国  人物二 得意 弟子,-1
TRAIN_SENT_ID_252461,,颜回,孔子,颜回 ： 即 颜渊 （ 前 521 — 前 481 ） ， 春秋 末 鲁国 人 ， 字子渊 ， 孔子 最 得意 弟子 。,人物一  颜渊  前   前    春秋 末 鲁国  字子渊  人物二 得意 弟子,-1
TRAIN_SENT_ID_253071,,颜回,孔子,( 1 ) 颜生 ： 即 颜回 ， 字子渊 ， 春秋 时鲁国 人 ， 是 孔子 最 得意 的 弟子 。,颜生  人物一  字子渊  春秋 时鲁国  人物二 得意 弟子,-1
TRAIN_SENT_ID_252733,,颜回,孔子,( 2 ) 颜生 ： 即 颜回 ， 字子渊 ， 春秋 时鲁国 人 ， 是 孔子 最 得意 的 弟子 。,颜生  人物一  字子渊  春秋 时鲁国  人物二 得意 弟子,-1
TRAIN_SENT_ID_252937,,颜回,孔子,（ 1 ） 颜生 ： 即 颜回 ， 字子渊 ， 春秋 时鲁国 人 ， 是 孔子 最 得意 的 弟子 。,颜生  人物一  字子渊  春秋 时鲁国  人物二 得意 弟子,-1
TRAIN_SENT_ID_249004,,吕洞宾,韩湘子,汉 钟离 、 张果老 、 吕洞宾 、 曹国舅 、 铁拐李 、 蓝采和 、 韩湘子 和 何仙姑 。,汉 钟离  张果老  人物一  曹国舅  铁拐李  蓝采和  人物二 何仙姑,-1
TRAIN_SENT_ID_252511,,颜回,孔子,《 孔子 家语 · 终记 》 ： “ 子贡曰 ： ‘ 昔 夫子 之丧 颜回 也 ， 若丧 其子 而 无服 ， 丧 子路 亦然 。,人物二 家语  终记    子贡曰   昔 夫子 之丧 人物一  若丧 其子 无服  丧 子路 亦然,-1
TRAIN_SENT_ID_248990,,吕洞宾,韩湘子,新 八仙 传奇 内容提要 : 本剧 讲述 了 李玄 、 吕洞宾 、 铁拐李 、 韩湘子 、 何仙姑 等 八人 得道成仙 的 传奇 故事 。,新 八仙 传奇 内容提要  本剧 讲述 李玄  人物一  铁拐李  人物二  何仙姑 八人 得道成仙 传奇 故事,-1
TRAIN_SENT_ID_259650,,公孙胜,罗真人,③ 明 施耐庵 《 水浒 》 第五十三回 《 戴宗 二取 公孙胜 李逵 独劈 罗真人 》 不济事 ！,③ 明 施耐庵  水浒  第五十三回  戴宗 二取 人物一 李逵 独劈 人物二  不济事,-1
TRAIN_SENT_ID_265428,,薛谭,秦青,薜 谭学 讴 译文 : 薛谭 向 秦青 学习 唱歌 ， 还 没有 学尽 秦青 的 技艺 ， 就 自己 说 已经 学完 了 ， 于是 告辞 回去 。,薜 谭学 讴 译文  人物一 人物二 学习 唱歌  没有 学尽 人物二 技艺  说 已经 学完  告辞 回去,-1
TRAIN_SENT_ID_265450,,薛谭,秦青,遏云 译文 : 薛谭 向 秦青 学习 唱歌 ， 还 没有 把 秦青 的 本领 完全 学到 手 ， 自 以为 没有 什么 可学 的 了 ， 于是 告辞 回家 。,遏云 译文  人物一 人物二 学习 唱歌  没有 人物二 本领 完全 学到 手  没有 可学  告辞 回家,-1
TRAIN_SENT_ID_259632,,公孙胜,罗真人,⑤ 明 施耐庵 《 水浒 》 第五十三回 《 戴宗 二取 公孙胜 李逵 独劈 罗真人 》 戴宗 又 苦苦 哀告 道 ： “ 若 是 哥哥 不肯 去 时 ， 宋公明 毕 被 高廉 捉 了 。 ”,⑤ 明 施耐庵  水浒  第五十三回  戴宗 二取 人物一 李逵 独劈 人物二  戴宗 苦苦 哀告 道   哥哥 不肯 时  宋公明 毕 高廉 捉,-1
TRAIN_SENT_ID_265443,,薛谭,秦青,歌云 译文 : 薛谭 向 秦青 学习 唱歌 ， 还 没有 把 秦青 的 本领 完全 学到 手 ， 自 以为 没有 什么 可学 的 了 ， 于是 告辞 回家 。,歌云 译文  人物一 人物二 学习 唱歌  没有 人物二 本领 完全 学到 手  没有 可学  告辞 回家,-1
TRAIN_SENT_ID_256838,,仲由,孔子,1 . 仲由 ， 字 子路 ， 又 字 季路 ， 少 孔子 九岁 。,人物一  字 子路  字 季路  少 人物二 九岁,-1
TRAIN_SENT_ID_265469,,薛谭,秦青,一天 ， 他 的 学生 薛谭 认为 学完 了 他 的 歌唱 技巧 ， 请求 回家 ， 秦青 没有 阻止 ， 为此 ， 秦青 便 在 郊外 设宴 给 学生 薛谭 送行 。,一天  学生 人物一 认为 学完 歌唱 技巧  请求 回家  人物二 没有 阻止   人物二 便 郊外 设宴 学生 人物一 送行,-1
