rule_id,rule,pattern,frequence,original_label
295,人物一/人物二/唱歌,.*人物一.*人物二.*唱歌.*,17,-1
328,主要/人物二/人物一,.*主要.*人物二.*人物一.*,16,0
329,二取/人物一/人物二,.*二取.*人物一.*人物二.*,16,-1
330,二取/人物一/李逵/人物二,.*二取.*人物一.*李逵.*人物二.*,16,-1
331,人物一/人物二/之弟,.*人物一.*人物二.*之弟.*,16,1
333,人物一/人物二/性格,.*人物一.*人物二.*性格.*,16,-1
334,人物一/前/人物二,.*人物一.*前.*人物二.*,16,0
338,人物一/角色/人物二,.*人物一.*角色.*人物二.*,16,0
342,人物二/人物一/月,.*人物二.*人物一.*月.*,16,0
344,学生/人物一/人物二,.*学生.*人物一.*人物二.*,16,-1
353,二取/人物一/李逵/独劈/人物二,.*二取.*人物一.*李逵.*独劈.*人物二.*,15,-1
354,二取/人物一/独劈/人物二,.*二取.*人物一.*独劈.*人物二.*,15,-1
355,人物/生平/人物二/人物一,.*人物.*生平.*人物二.*人物一.*,15,1
356,人物/经历/人物二/人物一,.*人物.*经历.*人物二.*人物一.*,15,1
357,人物一/人物二/一个,.*人物一.*人物二.*一个.*,15,0
358,人物一/人物二/一起,.*人物一.*人物二.*一起.*,15,1
359,人物一/人物二/中国,.*人物一.*人物二.*中国.*,15,0
360,人物一/人物二/姐姐,.*人物一.*人物二.*姐姐.*,15,1
361,人物一/人物二/死,.*人物一.*人物二.*死.*,15,0
363,人物一/人物二/门下,.*人物一.*人物二.*门下.*,15,-1
364,人物一/何仙姑/人物二,.*人物一.*何仙姑.*人物二.*,15,-1
365,人物一/已故/人物二,.*人物一.*已故.*人物二.*,15,-1
366,人物一/李逵/独劈/人物二,.*人物一.*李逵.*独劈.*人物二.*,15,-1
367,人物一/独劈/人物二,.*人物一.*独劈.*人物二.*,15,-1
368,人物一/经历/人物二,.*人物一.*经历.*人物二.*,15,1
369,人物一/问/人物二,.*人物一.*问.*人物二.*,15,-1
370,人物一/鲁国/人物二/弟子,.*人物一.*鲁国.*人物二.*弟子.*,15,-1
371,人物二/人物一/三,.*人物二.*人物一.*三.*,15,0
372,人物二/人物一/回,.*人物二.*人物一.*回.*,15,0
373,人物二/人物一/子贡,.*人物二.*人物一.*子贡.*,15,-1
374,人物二/人物一/身上,.*人物二.*人物一.*身上.*,15,0
375,人物二/同治/人物一,.*人物二.*同治.*人物一.*,15,1
376,人物二/王/人物一,.*人物二.*王.*人物一.*,15,1
377,八仙/人物一/蓝采和/人物二,.*八仙.*人物一.*蓝采和.*人物二.*,15,-1
378,八仙/铁拐李/汉/蓝采和/人物一/人物二,.*八仙.*铁拐李.*汉.*蓝采和.*人物一.*人物二.*,15,-1
379,八仙/铁拐李/钟离/蓝采和/人物一/人物二,.*八仙.*铁拐李.*钟离.*蓝采和.*人物一.*人物二.*,15,-1
380,年/月/人物一/人物二,.*年.*月.*人物一.*人物二.*,15,0
381,戴宗/二取/人物一/李逵/独劈/人物二,.*戴宗.*二取.*人物一.*李逵.*独劈.*人物二.*,15,-1
382,戴宗/二取/人物一/独劈/人物二,.*戴宗.*二取.*人物一.*独劈.*人物二.*,15,-1
383,戴宗/人物一/李逵/独劈/人物二,.*戴宗.*人物一.*李逵.*独劈.*人物二.*,15,-1
384,戴宗/人物一/独劈/人物二,.*戴宗.*人物一.*独劈.*人物二.*,15,-1
385,水浒/戴宗/人物一/人物二,.*水浒.*戴宗.*人物一.*人物二.*,15,-1
386,注释/人物一/人物二,.*注释.*人物一.*人物二.*,15,-1
387,第五十三回/二取/人物一/人物二,.*第五十三回.*二取.*人物一.*人物二.*,15,-1
388,第五十三回/二取/人物一/李逵/人物二,.*第五十三回.*二取.*人物一.*李逵.*人物二.*,15,-1
389,第五十三回/戴宗/二取/人物一/人物二,.*第五十三回.*戴宗.*二取.*人物一.*人物二.*,15,-1
390,第五十三回/戴宗/二取/人物一/李逵/人物二,.*第五十三回.*戴宗.*二取.*人物一.*李逵.*人物二.*,15,-1
391,角色/人物一/人物二,.*角色.*人物一.*人物二.*,15,0
392,译文/人物一/人物二,.*译文.*人物一.*人物二.*,15,-1
393,译文/人物二/人物一,.*译文.*人物二.*人物一.*,15,-1
394,铁拐李/汉/张果老/蓝采和/人物一/人物二,.*铁拐李.*汉.*张果老.*蓝采和.*人物一.*人物二.*,15,-1
395,铁拐李/钟离/张果老/蓝采和/人物一/人物二,.*铁拐李.*钟离.*张果老.*蓝采和.*人物一.*人物二.*,15,-1
396,人物/生平/人物二/王姬/人物一/发,.*人物.*生平.*人物二.*王姬.*人物一.*发.*,14,1
397,人物/生平/人物二/王姬/人物一/王姬,.*人物.*生平.*人物二.*王姬.*人物一.*王姬.*,14,1
398,人物/生平/人物二/王姬/昌/人物一,.*人物.*生平.*人物二.*王姬.*昌.*人物一.*,14,1
399,人物一/人物一/年/人物二,.*人物一.*人物一.*年.*人物二.*,14,-1
400,人物一/人物二/人物,.*人物一.*人物二.*人物.*,14,0
401,人物一/人物二/告辞,.*人物一.*人物二.*告辞.*,14,-1
402,人物一/人物二/学习/唱歌,.*人物一.*人物二.*学习.*唱歌.*,14,-1
403,人物一/介绍/人物二,.*人物一.*介绍.*人物二.*,14,0
404,人物一/唱歌/人物二,.*人物一.*唱歌.*人物二.*,14,-1
405,人物一/子路/鲁国/人物二,.*人物一.*子路.*鲁国.*人物二.*,14,-1
406,人物一/字/子路/鲁国/人物二,.*人物一.*字.*子路.*鲁国.*人物二.*,14,-1
407,人物一/字/鲁国/人物二,.*人物一.*字.*鲁国.*人物二.*,14,-1
408,人物一/日/人物二,.*人物一.*日.*人物二.*,14,0
409,人物一/赵炎/人物二,.*人物一.*赵炎.*人物二.*,14,-1
410,人物二/一个/人物一,.*人物二.*一个.*人物一.*,14,0
411,人物二/人物一/师父,.*人物二.*人物一.*师父.*,14,-1
412,人物二/人物一/道,.*人物二.*人物一.*道.*,14,-1
