,rule_id,rule,frequence,label
440,440,人物一/人物二/姐姐,13,0
443,443,人物一/人物二/故事,13,0
444,444,人物一/人物二/日,13,0
446,446,人物一/妹妹/人物二,13,0
457,457,人物二/儿子/人物一,13,0
474,474,年/人物二/弟子/人物一,13,0
476,476,施耐庵/二取/人物一/人物二,13,0
477,477,施耐庵/二取/人物一/李逵/人物二,13,0
478,478,施耐庵/二取/人物一/李逵/独劈/人物二,13,0
479,479,施耐庵/二取/人物一/独劈/人物二,13,0
480,480,施耐庵/人物一/人物二,13,0
481,481,施耐庵/人物一/李逵/人物二,13,0
482,482,施耐庵/人物一/李逵/独劈/人物二,13,0
483,483,施耐庵/人物一/独劈/人物二,13,0
484,484,施耐庵/戴宗/二取/人物一/人物二,13,0
485,485,施耐庵/戴宗/二取/人物一/李逵/人物二,13,0
486,486,施耐庵/戴宗/二取/人物一/独劈/人物二,13,0
487,487,施耐庵/戴宗/人物一/人物二,13,0
488,488,施耐庵/戴宗/人物一/李逵/人物二,13,0
489,489,施耐庵/戴宗/人物一/李逵/独劈/人物二,13,0
490,490,施耐庵/戴宗/人物一/独劈/人物二,13,0
491,491,施耐庵/水浒/二取/人物一/人物二,13,0
492,492,施耐庵/水浒/二取/人物一/李逵/人物二,13,0
493,493,施耐庵/水浒/二取/人物一/独劈/人物二,13,0
494,494,施耐庵/水浒/人物一/人物二,13,0
495,495,施耐庵/水浒/人物一/李逵/人物二,13,0
496,496,施耐庵/水浒/人物一/李逵/独劈/人物二,13,0
497,497,施耐庵/水浒/人物一/独劈/人物二,13,0
498,498,施耐庵/水浒/戴宗/二取/人物一/人物二,13,0
499,499,施耐庵/水浒/戴宗/人物一/人物二,13,0
500,500,施耐庵/水浒/戴宗/人物一/李逵/人物二,13,0
501,501,施耐庵/水浒/戴宗/人物一/独劈/人物二,13,0
502,502,施耐庵/水浒/第五十三回/二取/人物一/人物二,13,0
503,503,施耐庵/水浒/第五十三回/人物一/人物二,13,0
504,504,施耐庵/水浒/第五十三回/人物一/李逵/人物二,13,0
505,505,施耐庵/水浒/第五十三回/人物一/独劈/人物二,13,0
506,506,施耐庵/水浒/第五十三回/戴宗/人物一/人物二,13,0
507,507,施耐庵/第五十三回/二取/人物一/人物二,13,0
508,508,施耐庵/第五十三回/二取/人物一/李逵/人物二,13,0
509,509,施耐庵/第五十三回/二取/人物一/独劈/人物二,13,0
510,510,施耐庵/第五十三回/人物一/人物二,13,0
511,511,施耐庵/第五十三回/人物一/李逵/人物二,13,0
512,512,施耐庵/第五十三回/人物一/李逵/独劈/人物二,13,0
513,513,施耐庵/第五十三回/人物一/独劈/人物二,13,0
514,514,施耐庵/第五十三回/戴宗/二取/人物一/人物二,13,0
515,515,施耐庵/第五十三回/戴宗/人物一/人物二,13,0
516,516,施耐庵/第五十三回/戴宗/人物一/李逵/人物二,13,0
517,517,施耐庵/第五十三回/戴宗/人物一/独劈/人物二,13,0
611,611,第五十三回/二取/人物一/李逵/独劈/人物二,13,0
612,612,第五十三回/二取/人物一/独劈/人物二,13,0
613,613,第五十三回/人物一/李逵/独劈/人物二,13,0
614,614,第五十三回/人物一/独劈/人物二,13,0
615,615,第五十三回/戴宗/二取/人物一/独劈/人物二,13,0
617,617,第五十三回/戴宗/人物一/独劈/人物二,13,0
