rule_id,rule,pattern,frequence,original_label
257,人物一/人物二/妹妹,.*人物一.*人物二.*妹妹.*,17,1
322,人物/生平/人物二/人物一,.*人物.*生平.*人物二.*人物一.*,15,1
323,人物/经历/人物二/人物一,.*人物.*经历.*人物二.*人物一.*,15,1
324,人物一/人物/人物一/人物二,.*人物一.*人物.*人物一.*人物二.*,15,0
325,人物一/人物二/门下,.*人物一.*人物二.*门下.*,15,-1
326,人物一/何仙姑/人物二,.*人物一.*何仙姑.*人物二.*,15,-1
327,人物一/年/拜/人物二,.*人物一.*年.*拜.*人物二.*,15,-1
328,人物一/生于/人物二,.*人物一.*生于.*人物二.*,15,0
342,二取/人物一/人物二,.*二取.*人物一.*人物二.*,14,-1
343,二取/人物一/李逵/人物二,.*二取.*人物一.*李逵.*人物二.*,14,-1
344,人物/人物二/人物一/发,.*人物.*人物二.*人物一.*发.*,14,1
345,人物/人物二/人物一/王姬,.*人物.*人物二.*人物一.*王姬.*,14,1
346,人物/人物二/人物一/王姬/发,.*人物.*人物二.*人物一.*王姬.*发.*,14,1
347,人物/人物二/昌/人物一,.*人物.*人物二.*昌.*人物一.*,14,1
348,人物/人物二/昌/人物一/发,.*人物.*人物二.*昌.*人物一.*发.*,14,1
349,人物/人物二/昌/人物一/王姬,.*人物.*人物二.*昌.*人物一.*王姬.*,14,1
350,人物/人物二/昌/人物一/王姬/发,.*人物.*人物二.*昌.*人物一.*王姬.*发.*,14,1
351,人物/人物二/王姬/人物一,.*人物.*人物二.*王姬.*人物一.*,14,1
352,人物/人物二/王姬/人物一/发,.*人物.*人物二.*王姬.*人物一.*发.*,14,1
353,人物/人物二/王姬/人物一/王姬,.*人物.*人物二.*王姬.*人物一.*王姬.*,14,1
354,人物/人物二/王姬/人物一/王姬/发,.*人物.*人物二.*王姬.*人物一.*王姬.*发.*,14,1
355,人物/人物二/王姬/昌/人物一,.*人物.*人物二.*王姬.*昌.*人物一.*,14,1
356,人物/人物二/王姬/昌/人物一/发,.*人物.*人物二.*王姬.*昌.*人物一.*发.*,14,1
357,人物/人物二/王姬/昌/人物一/王姬,.*人物.*人物二.*王姬.*昌.*人物一.*王姬.*,14,1
358,人物/生平/人物二/人物一/发,.*人物.*生平.*人物二.*人物一.*发.*,14,1
359,人物/生平/人物二/人物一/王姬,.*人物.*生平.*人物二.*人物一.*王姬.*,14,1
360,人物/生平/人物二/人物一/王姬/发,.*人物.*生平.*人物二.*人物一.*王姬.*发.*,14,1
361,人物/生平/人物二/昌/人物一,.*人物.*生平.*人物二.*昌.*人物一.*,14,1
362,人物/生平/人物二/昌/人物一/发,.*人物.*生平.*人物二.*昌.*人物一.*发.*,14,1
363,人物/生平/人物二/昌/人物一/王姬,.*人物.*生平.*人物二.*昌.*人物一.*王姬.*,14,1
364,人物/生平/人物二/王姬/人物一,.*人物.*生平.*人物二.*王姬.*人物一.*,14,1
365,人物/生平/人物二/王姬/人物一/发,.*人物.*生平.*人物二.*王姬.*人物一.*发.*,14,1
366,人物/生平/人物二/王姬/人物一/王姬,.*人物.*生平.*人物二.*王姬.*人物一.*王姬.*,14,1
367,人物/生平/人物二/王姬/昌/人物一,.*人物.*生平.*人物二.*王姬.*昌.*人物一.*,14,1
368,人物一/人物二/一个,.*人物一.*人物二.*一个.*,14,0
369,人物一/人物二/一起,.*人物一.*人物二.*一起.*,14,1
370,人物一/人物二/唱歌,.*人物一.*人物二.*唱歌.*,14,-1
371,人物一/人物二/张,.*人物一.*人物二.*张.*,14,0
372,人物一/日/人物二,.*人物一.*日.*人物二.*,14,0
373,人物一/月/日/人物二,.*人物一.*月.*日.*人物二.*,14,0
374,人物一/赵炎/人物二,.*人物一.*赵炎.*人物二.*,14,-1
375,人物二/人物一/回,.*人物二.*人物一.*回.*,14,0
376,人物二/人物一/子,.*人物二.*人物一.*子.*,14,-1
377,人物二/人物一/道,.*人物二.*人物一.*道.*,14,-1
378,人物二/同治/写给/人物一,.*人物二.*同治.*写给.*人物一.*,14,1
379,人物二/女儿/人物一,.*人物二.*女儿.*人物一.*,14,1
380,何仙姑/蓝采和/人物一/人物二,.*何仙姑.*蓝采和.*人物一.*人物二.*,14,-1
381,八仙/汉/张果老/蓝采和/人物一/人物二,.*八仙.*汉.*张果老.*蓝采和.*人物一.*人物二.*,14,-1
382,八仙/钟离/张果老/蓝采和/人物一/人物二,.*八仙.*钟离.*张果老.*蓝采和.*人物一.*人物二.*,14,-1
383,八仙/铁拐李/汉/蓝采和/人物一/人物二,.*八仙.*铁拐李.*汉.*蓝采和.*人物一.*人物二.*,14,-1
384,八仙/铁拐李/钟离/蓝采和/人物一/人物二,.*八仙.*铁拐李.*钟离.*蓝采和.*人物一.*人物二.*,14,-1
385,张果老/人物一/人物二/何仙姑,.*张果老.*人物一.*人物二.*何仙姑.*,14,-1
386,张果老/何仙姑/蓝采和/人物一/人物二,.*张果老.*何仙姑.*蓝采和.*人物一.*人物二.*,14,-1
387,戴宗/二取/人物一/人物二,.*戴宗.*二取.*人物一.*人物二.*,14,-1
388,戴宗/二取/人物一/李逵/人物二,.*戴宗.*二取.*人物一.*李逵.*人物二.*,14,-1
389,指/人物一/人物二,.*指.*人物一.*人物二.*,14,-1
390,日/人物一/人物二,.*日.*人物一.*人物二.*,14,0
391,月/日/人物一/人物二,.*月.*日.*人物一.*人物二.*,14,1
392,注释/人物一/人物二,.*注释.*人物一.*人物二.*,14,-1
393,生平/人物二/人物一/发,.*生平.*人物二.*人物一.*发.*,14,1
394,生平/人物二/人物一/王姬,.*生平.*人物二.*人物一.*王姬.*,14,1
395,生平/人物二/人物一/王姬/发,.*生平.*人物二.*人物一.*王姬.*发.*,14,1
396,生平/人物二/昌/人物一,.*生平.*人物二.*昌.*人物一.*,14,1
397,生平/人物二/昌/人物一/发,.*生平.*人物二.*昌.*人物一.*发.*,14,1
398,生平/人物二/昌/人物一/王姬,.*生平.*人物二.*昌.*人物一.*王姬.*,14,1
399,生平/人物二/昌/人物一/王姬/发,.*生平.*人物二.*昌.*人物一.*王姬.*发.*,14,1
400,生平/人物二/王姬/人物一,.*生平.*人物二.*王姬.*人物一.*,14,1
401,生平/人物二/王姬/人物一/发,.*生平.*人物二.*王姬.*人物一.*发.*,14,1
402,生平/人物二/王姬/人物一/王姬,.*生平.*人物二.*王姬.*人物一.*王姬.*,14,1
403,生平/人物二/王姬/人物一/王姬/发,.*生平.*人物二.*王姬.*人物一.*王姬.*发.*,14,1
404,生平/人物二/王姬/昌/人物一,.*生平.*人物二.*王姬.*昌.*人物一.*,14,1
405,生平/人物二/王姬/昌/人物一/发,.*生平.*人物二.*王姬.*昌.*人物一.*发.*,14,1
406,生平/人物二/王姬/昌/人物一/王姬,.*生平.*人物二.*王姬.*昌.*人物一.*王姬.*,14,1
407,译文/人物二/说/人物一,.*译文.*人物二.*说.*人物一.*,14,-1
408,钟离/人物一/蓝采和/人物二,.*钟离.*人物一.*蓝采和.*人物二.*,14,-1
409,钟离权/人物一/人物二,.*钟离权.*人物一.*人物二.*,14,-1
410,铁拐李/人物一/蓝采和/人物二,.*铁拐李.*人物一.*蓝采和.*人物二.*,14,-1
411,汉/何仙姑/蓝采和/人物一/人物二,.*汉.*何仙姑.*蓝采和.*人物一.*人物二.*,13,-1
412,汉/何仙姑/蓝采和/人物一/人物二/曹国舅,.*汉.*何仙姑.*蓝采和.*人物一.*人物二.*曹国舅.*,13,-1
413,汉/钟离/人物一/人物二/何仙姑,.*汉.*钟离.*人物一.*人物二.*何仙姑.*,13,-1
414,汉/钟离/何仙姑/蓝采和/人物一/人物二,.*汉.*钟离.*何仙姑.*蓝采和.*人物一.*人物二.*,13,-1
415,译文/人物一/人物二,.*译文.*人物一.*人物二.*,13,-1
416,钟离/何仙姑/蓝采和/人物一/人物二,.*钟离.*何仙姑.*蓝采和.*人物一.*人物二.*,13,-1
417,钟离/何仙姑/蓝采和/人物一/人物二/曹国舅,.*钟离.*何仙姑.*蓝采和.*人物一.*人物二.*曹国舅.*,13,-1
418,铁拐李/人物一/张果老/人物二,.*铁拐李.*人物一.*张果老.*人物二.*,13,-1
