sent_id,entity1,entity2,sent,processed_sent,label,soft_match_score,soft_match
TRAIN_SENT_ID_273624,马阔海,马青山,召唤 人 ： 柯胜 （ 主要 ） 、 马青山 、 马阔海 、 小 李子,召唤  柯胜  主要   人物二  人物一  李子,1,0.7279565519756741,-1
TRAIN_SENT_ID_264602,凌波,凌音,凌音 听从 凌波 的话 ， 并 与 要 下山 除妖 的 凌波 约定 ， 二人 再见 时要 互相 聊 路途 上 的 新鲜事 。,人物二 听从 人物一  下山 除妖 人物一 约定  二人 再见 时要 互相 聊 路途 新鲜事,1,0.6468260041598616,0
TRAIN_SENT_ID_267432,陆展元,陆立鼎,陆家庄 : 陆家庄 在 《 神雕 》 中是 陆展元 、 陆立鼎 两 兄弟 的 庄院 ， 小说 第一回 中 写道 的 故事情节 就是 在 这府院 发生 的 。,陆家庄  陆家庄  神雕  中是 人物一  人物二 两 兄弟 庄院  小说 第一回 中 写道 故事情节 这府院 发生,1,0.6407800049617373,0
TRAIN_SENT_ID_265448,薛谭,秦青,列子 · 汤问 注释 : ① 薛谭 、 秦青 ： 古代 传说 中 秦国 的 两名 善歌 的 人 。,列子  汤问 注释  ① 人物一  人物二  古代 传说 中 秦国 两名 善歌,-1,0.7104928970336915,-1
TRAIN_SENT_ID_252985,颜回,孔子,第四 部分 是 第 11 ～ 17 自然段 ， 写 孔子 听 弟子 子路 、 颜回 畅谈 志向 ， 兴奋 之 至 。,第四 部分    自然段  写 人物二 听 弟子 子路  人物一 畅谈 志向  兴奋,-1,0.75213692718082,-1
TRAIN_SENT_ID_279255,杨诺思,杨永晴,2008 年 4 月 杨永晴 堂姐 杨诺思 透露 陈冠希 与 杨永晴 感情 未 变 ， 没有 分手 。,年  月 人物二 堂姐 人物一 透露 陈冠希 人物二 感情 未 变  没有 分手,1,0.6802783382350001,0
TRAIN_SENT_ID_259528,梅超风,杨康,后 因 捕获 大 金 赵王 完颜洪烈 养子 杨康 而 引康 之师 、 陆氏 师姐 、 梅超风 来 救 。,捕获 金 赵王 完颜洪烈 养子 人物二 引康 之师  陆氏 师姐  人物一 救,-1,0.722838184568617,-1
TRAIN_SENT_ID_268838,骆羽,骆赢,混双 ： 何汉斌 / 包宜鑫 刘成 / 骆赢 李根 / 骆羽,混双  何汉斌  包宜鑫 刘成  人物二 李根  人物一,1,0.7926724606090122,-1
TRAIN_SENT_ID_252515,颜回,孔子,孔子 最 欣赏 颜回 的 地方 ， 就是 “ 不 迁怒 ” 与 “ 不 贰 过 ” 。,人物二 欣赏 人物一 地方   迁怒   贰,-1,0.7287659247716268,-1
TRAIN_SENT_ID_251901,曹薰铉,李昌镐,李昌镐 亚洲杯 冠军 : 1995 年 7 月 14 日 夺得 第七届 亚洲杯 快棋赛 冠军 ， 对手 依次 为 小林觉 、 马晓春 、 曹薰铉 。,人物二 亚洲杯 冠军   年  月  日 夺得 第七届 亚洲杯 快棋赛 冠军  对手 依次 小林觉  马晓春  人物一,-1,0.6306897812876208,0
TRAIN_SENT_ID_266006,王恬,王洽,注 ： 中间 二 行为 王恬 《 得示 帖 》 ， 左边 两 行为 王洽 《 辱告 帖 》 ， 选 自 《 淳化阁 帖 》,注  中间 二 行为 人物一  得示 帖   左边 两 行为 人物二  辱告 帖   选  淳化阁 帖,1,0.7580736835797628,-1
TRAIN_SENT_ID_275898,王子豪,王子杰,2013 年 10 月 ， 王子杰 与 哥哥 王子豪 假期 在 泰国 旅行 时 发生 翻车 意外 ， 子杰 伤势 严重 要 留医 观察 。,年  月  人物二 哥哥 人物一 假期 泰国 旅行 时 发生 翻车 意外  子杰 伤势 严重 留医 观察,1,0.6610962008607799,0
