sent_id,sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_265448,,薛谭,秦青,列子 · 汤问 注释 : ① 薛谭 、 秦青 ： 古代 传说 中 秦国 的 两名 善歌 的 人 。,列子  汤问 注释  ① 人物一  人物二  古代 传说 中 秦国 两名 善歌,-1
TRAIN_SENT_ID_252985,,颜回,孔子,第四 部分 是 第 11 ～ 17 自然段 ， 写 孔子 听 弟子 子路 、 颜回 畅谈 志向 ， 兴奋 之 至 。,第四 部分    自然段  写 人物二 听 弟子 子路  人物一 畅谈 志向  兴奋,-1
TRAIN_SENT_ID_279255,,杨诺思,杨永晴,2008 年 4 月 杨永晴 堂姐 杨诺思 透露 陈冠希 与 杨永晴 感情 未 变 ， 没有 分手 。,年  月 人物二 堂姐 人物一 透露 陈冠希 人物二 感情 未 变  没有 分手,1
TRAIN_SENT_ID_251901,,曹薰铉,李昌镐,李昌镐 亚洲杯 冠军 : 1995 年 7 月 14 日 夺得 第七届 亚洲杯 快棋赛 冠军 ， 对手 依次 为 小林觉 、 马晓春 、 曹薰铉 。,人物二 亚洲杯 冠军   年  月  日 夺得 第七届 亚洲杯 快棋赛 冠军  对手 依次 小林觉  马晓春  人物一,1
TRAIN_SENT_ID_275898,,王子豪,王子杰,2013 年 10 月 ， 王子杰 与 哥哥 王子豪 假期 在 泰国 旅行 时 发生 翻车 意外 ， 子杰 伤势 严重 要 留医 观察 。,年  月  人物二 哥哥 人物一 假期 泰国 旅行 时 发生 翻车 意外  子杰 伤势 严重 留医 观察,1
TRAIN_SENT_ID_256856,,仲由,孔子,( 5 ) 子路 ： 孔子 的 弟子 ， 名 仲由 ， 字 子路 。,子路  人物二 弟子  名 人物一  字 子路,-1
TRAIN_SENT_ID_261721,,汤镇业,汤镇宗,汤镇宗 和 弟弟 汤镇业 同年 一起 上学 ， 高中毕业 后 在 一家 船务 公司 做 了 三年 多 的 职员 。,人物二 弟弟 人物一 同年 一起 上学  高中毕业 一家 船务 公司 做 三年 职员,1
TRAIN_SENT_ID_251825,,梅超风,黄药师,而后 黄药师 娶 冯衡 为 妻 ， 并 有 曲灵风 、 陈玄风 、 梅超风 、 陆乘风 、 武 罡风 、 冯默风 六大 弟子 。,人物二 娶 冯衡 妻  曲灵风  陈玄风  人物一  陆乘风  武 罡风  冯默风 六大 弟子,-1
TRAIN_SENT_ID_256509,,周武,周文,冉季载 ， 即 聃 季载 ， 本名 姬载 ， 为 周朝 诸侯国 聃 国 开国 君主 ， 他 是 周文 王姬 昌 的 第十 子 、 周武 王姬 发 的 同 母弟 。,冉季载  聃 季载  本名 姬载  周朝 诸侯国 聃 国 开国 君主  人物二 王姬 昌 第十 子  人物一 王姬 发 母弟,1
TRAIN_SENT_ID_276989,,樊迟,孔子,孔子 的 弟子 樊迟 ， 问 孔子 怎样 叫作 仁 ？,人物二 弟子 人物一  问 人物二 叫作 仁,-1
TRAIN_SENT_ID_258119,,孙少安,孙兰香,（ 小说 《 平凡 的 世界 》 中 人物 ） : 孙兰香 ， 女 ， 1962 年生 ， 路遥 《 平凡 的 世界 》 中 的 人物 ， 是 主人公 孙少安 、 孙少平 的 妹妹 。,小说  平凡 世界  中 人物   人物二  女   年生  路遥  平凡 世界  中 人物  主人公 人物一  孙少平 妹妹,1
TRAIN_SENT_ID_255296,,卫夫人,王羲之,初 月 帖 ( 局部 ) 王羲之 早年 又 从 卫夫人 学书 。,初 月 帖  局部  人物二 早年 人物一 学书,1
TRAIN_SENT_ID_253011,,颜回,孔子,颜回 是 孔子 最 得意 的 弟子 ， 其 学派 的 最 主要 特点 就是 安贫乐道 ， 重在 下工夫 实践 孔子 的 仁德 思想 。,人物一 人物二 得意 弟子  学派 主要 特点 安贫乐道  重在 下工夫 实践 人物二 仁德 思想,-1
TRAIN_SENT_ID_265412,,薛谭,秦青,薛谭 学 讴于 秦青,人物一 学 讴于 人物二,-1
TRAIN_SENT_ID_253038,,颜回,孔子,孔子 弟子 中姓 颜幸 立像 颜 的 共有 八人 ， 他们 是 ： 颜无繇 、 颜回 、 颜幸 、 颜高 、 颜祖 、 颜之仆 、 颜哙 、 颜何 。,人物二 弟子 中姓 颜幸 立像 颜 共有 八人   颜无繇  人物一  颜幸  颜高  颜祖  颜之仆  颜哙  颜何,-1
TRAIN_SENT_ID_253141,,颜回,孔子,殿内 迎门 原来 供奉 着 大成 至圣先师 孔于 的 画像 ， 旁侧 侍立 着 孔子 得意 弟子 颜回 、 子思 、 曾子 和 大名鼎鼎 的 “ 亚圣 ” 孟子 的 牌位 。,殿内 迎门 原来 供奉 大成 至圣先师 孔于 画像  旁侧 侍立 人物二 得意 弟子 人物一  子思  曾子 大名鼎鼎  亚圣  孟子 牌位,-1
TRAIN_SENT_ID_255347,,贾午,贾南风,但 贾南风 不 听 ， 与 充华 赵粲 和 妹妹 贾午 一同 谋害 太子 。,人物二 听  充华 赵粲 妹妹 人物一 一同 谋害 太子,1
TRAIN_SENT_ID_255194,,赵海燕,赵本山,节目 结束 后 ， 赵本山 脱帽 谢幕 ， 并 携 赵家 班 弟子 赵海燕 、 宋小宝 、 小 沈阳 、 程野 给 全国 观众 拜年 ， 祝 大家 新年快乐 。,节目 结束  人物二 脱帽 谢幕  携 赵家 班 弟子 人物一  宋小宝  沈阳  程野 全国 观众 拜年  祝 新年快乐,-1
TRAIN_SENT_ID_252983,,颜回,孔子,， 李贺 欲效 终军 上书 言事 ， 可叹 的 是 ， 他 年 未 十八 ， 却 已 如 孔子 的 学生 颜回 一样 鬓发 斑白 ， 垂 垂老 相 。,李贺 欲效 终军 上书 言事  可叹  年 未 十八  人物二 学生 人物一 鬓发 斑白  垂 垂老 相,-1
TRAIN_SENT_ID_253895,,赵合德,赵飞燕,赵飞燕 成为 了 皇后 ， 虽然 获得 了 作为 女人 的 最 显赫 地位 ， 但 成帝 对 她 的 宠爱 却 渐渐 不如 以往 ， 成帝 更为 宠爱 她 的 妹妹 赵合德 。,人物二 成为 皇后  获得 女人 显赫 地位  成帝 宠爱 渐渐 以往  成帝 更为 宠爱 妹妹 人物一,1
