sent_id,entity1,entity2,sent,processed_sent,label,sent_id.1
TRAIN_SENT_ID_273598,陈建州,范玮琪,"圈中 好友 ： 罗志祥 、 阿雅 、 陈建州 、 范玮琪 、 范晓萱 、 吴佩慈 、 makiyo 、 何润东 、 黄晓明 , 周渝民 、",圈中 好友  罗志祥  阿雅  人物一  人物二  范晓萱  吴佩慈    何润东  黄晓明  周渝民,1,
TRAIN_SENT_ID_276817,唐姬,刘发,唐姬 毕竟 身份 微贱 ， 难得 天子 宠爱 ， 故 刘发 在 景帝 前元 二年 （ 公园 前 155 年 ） 被 封 在 长沙 这个 低湿 贫困 之地 。,人物一 毕竟 身份 微贱  难得 天子 宠爱  人物二 景帝 前元 二年  公园 前  年  封 长沙 低湿 贫困 之地,-1,
TRAIN_SENT_ID_272233,金正恩,金正日,其 继任者 金正日 、 金正恩 严格执行 并 加以 阐释 ， 作为 国家 及 人民 的 唯一 的 活动 指导 理论 ， 赋予 其 至高无上 的 地位 。,继任者 人物二  人物一 严格执行 阐释  国家 人民 唯一 活动 指导 理论  赋予 至高无上 地位,-1,
TRAIN_SENT_ID_258559,刘禅,刘备,"这 就是 史上 有名 的 当阳 长坂坡 之战 , 话 说 : 赵云 救回 刘禅 , 还给 刘备 , 刘备 说 : “ 为了 救 你 差点 害 我 损失 一名 武将 ” 。",史上 有名 当阳 长坂坡 之战  话 说  赵云 救回 人物一  还给 人物二  人物二 说   救 差点 害 损失 一名 武将,-1,
TRAIN_SENT_ID_259577,冯小刚,徐帆,当 婚姻 与 事业 冲突 时 徐帆 VS 冯小刚,婚姻 事业 冲突 时 人物二  人物一,1,
TRAIN_SENT_ID_271871,阎婆惜,宋江,宋江 杀死 阎婆惜 后 ， 被 阎婆告 到 官府 。,人物二 杀死 人物一  阎婆告 官府,1,
TRAIN_SENT_ID_256449,刘禅,甘夫人,Q ： 在 发动 【 甘夫人 】 的 技能 “ 淑慎 ” 后 ， 在 牌 堆 中 找到 了 【 刘备 】 或 【 刘禅 】 ， 我 必须 展示 之 并 放入 手牌 吗 ？,发动  人物二  技能  淑慎   牌 堆 中 找到  刘备   人物一   必须 展示 放入 手牌,-1,
TRAIN_SENT_ID_276260,西门吹雪,孙秀青,西门吹雪 和 孙秀青 （ 黄元申 版 ）,人物一 人物二  黄元申 版,1,
TRAIN_SENT_ID_257423,袁克文,袁世凯,2 袁克文 “ 极端 反对 ” 袁世凯 称帝 ?,人物一  极端 反对  人物二 称帝,-1,
TRAIN_SENT_ID_273404,杨乐乐,汪涵,小 酸菜 是 汪涵 与 杨乐乐 儿子 的 名字 。,酸菜 人物二 人物一 儿子 名字,1,
TRAIN_SENT_ID_271835,阎婆惜,宋江,左口 宋江 怒 杀 阎婆惜 ( 1950 ) 花街 慈母 ( 1950 ) ....,左口 人物二 怒 杀 人物一    花街 慈母,1,
TRAIN_SENT_ID_269312,陆雪琪,张小凡,原著 里 张小凡 和 陆雪琪 仅育 有 一子 ， 名叫 张小鼎 。,原著 里 人物二 人物一 仅育 一子  名叫 张小鼎,1,
TRAIN_SENT_ID_276713,刘梅,夏东海,谓 称 ： 梅梅 （ 夏东海 用 ） 、 妈妈 、 妈 （ 刘星 、 夏雨 、 夏雪 用 ） 、 刘梅 、 阿姨 （ 通用 ）,谓 称  梅梅  人物二   妈妈  妈  刘星  夏雨  夏雪   人物一  阿姨  通用,1,
TRAIN_SENT_ID_268683,孔子,颜徵在,叔 梁纥 先 娶 施氏 ， 无子 ， 其妾 生 男 ， 病足 ， 复娶 颜徵在 ， 生 孔子 。,叔 梁纥 先 娶 施氏  无子  其妾 生 男  病足  复娶 人物二  生 人物一,-1,
TRAIN_SENT_ID_278599,岳灵珊,岳不群,1 人物 生平 : 岳灵珊 为 华山派 掌门 岳不群 和 宁中则 的 独女 ， 从小 与 大 师兄 令狐冲 是 青梅竹马 ， 与 令狐冲 合创 冲灵 剑法 。,人物 生平  人物一 华山派 掌门 人物二 宁中则 独女  从小 师兄 令狐冲 青梅竹马  令狐冲 合创 冲灵 剑法,-1,
TRAIN_SENT_ID_275689,林立衡,叶群,林立衡 反抗 ， 遭 叶群 辱骂 毒打 ， 愤恨 自杀 ， 幸 被 抢救 过来 。,人物一 反抗  遭 人物二 辱骂 毒打  愤恨 自杀  幸 抢救 过来,-1,
TRAIN_SENT_ID_262868,熊美玲,林秋离,No.177 诚实 心 林秋离 熊美玲 大学城 、 蓝丽 婷,诚实 心 人物二 人物一 大学城  蓝丽 婷,1,
TRAIN_SENT_ID_269593,路易十六,路易十七,路易十七 是 路易十六 和玛丽 · 安托尼 特 王后 最小 的 儿子 。,人物二 人物一 和玛丽  安托尼 特 王后 最小 儿子,-1,
TRAIN_SENT_ID_286218,李喜儿,李宗盛,2 掌 掴 同学 被 拍 : 林忆莲 与 李宗盛 离婚 后 ， 一 肩挑 起 家计 ， 独力 李喜儿 掌 掴 同学 扶养 女儿 ， 分身乏术 下 ， 喜儿 只能 交由 菲佣 全天候 照料 。,掌 掴 同学 拍  林忆莲 人物二 离婚  肩挑 家计  独力 人物一 掌 掴 同学 扶养 女儿  分身乏术  喜儿 只能 交由 菲佣 全天候 照料,-1,
TRAIN_SENT_ID_252371,江别鹤,江玉郎,第二章 （ 到 紫霄 大殿 ， 对战 江别鹤 、 江玉郎 、 玄真 道长 ）,第二章  紫霄 大殿  对战 人物一  人物二  玄真 道长,-1,
TRAIN_SENT_ID_249451,后稷,姜嫄,揉 谷乡 地理位置 优越 ， 环境优美 ， 历史 文化 悠久 ， 自古 就是 姜嫄 腹地 ， 后稷 之根 所在 。,揉 谷乡 地理位置 优越  环境优美  历史 文化 悠久  自古 人物二 腹地  人物一 之根,-1,
TRAIN_SENT_ID_268227,王小利,李琳,李琳 王小利 分开 ： 哎 老头 你 回来 啊,人物二 人物一 分开  老头 回来,1,
TRAIN_SENT_ID_274852,晏几道,晏殊,朱敦儒 、 欧阳修 、 冯延巳 、 晏殊 、 晏几道 、 苏轼 、 吕本中 、 纳兰容若 、 毛泽东 等 相关 文学 大家 先后 以 采桑子 为 词牌 作 诗词 。,朱敦儒  欧阳修  冯延巳  人物二  人物一  苏轼  吕本中  纳兰容若  毛泽东 相关 文学 先后 采桑子 词牌 作 诗词,-1,
TRAIN_SENT_ID_264348,贾环,赵姨娘,表妹 ： 贾探春 （ 名义 表妹 ， 贾政之 女 ， 庶出 ， 赵姨娘 所 生 ， 贾环 亲姐 ）,表妹  贾探春  名义 表妹  贾政之 女  庶出  人物二 生  人物一 亲姐,-1,
TRAIN_SENT_ID_284925,邹兰芳,吴宓,吴宓 与 邹兰芳 : 1999 年 ， 台 岛内 掀起 一股 “ 吴宓 热 ” 。,人物二 人物一   年  台 岛内 掀起 一股  人物二 热,1,
TRAIN_SENT_ID_270858,姜承,欧阳倩,浣 雪 便 打趣 说 是否 希望 姜承 送 ， 欧阳倩 很 是 尴尬 ， 让 浣 雪别 再说 了 。,浣 雪 便 打趣 说 是否 希望 人物一 送  人物二 尴尬  浣 雪别,1,
TRAIN_SENT_ID_256021,蒋介石,宋美龄,可是 ， 当 宋美龄 进入 了 蒋介石 的 视野 后 ， 这 三个 女人 便 都 变得 轻如鸿毛 了 。,人物二 进入 人物一 视野  三个 女人 便 变得 轻如鸿毛,1,
TRAIN_SENT_ID_272725,徐天宏,周绮,武 诸葛 变成 了 傻 女婿 ， 又 是 一桩 徐天宏 和 周绮 2 美事 趣事 。,武 诸葛 变成 傻 女婿  一桩 人物一 人物二  美事 趣事,1,
TRAIN_SENT_ID_258031,黄睿靓,陈致中,检方 传讯 扁子媳 陈致中 、 黄睿靓 是 势在必行 了 。,检方 传讯 扁子媳 人物二  人物一 势在必行,1,
TRAIN_SENT_ID_260898,贾珍,贾蓉,那 小厮 们 都 知道 贾珍 素日 的 性子 ， 违拗 不得 ， 就 有 个 小厮 上来 向 贾蓉 脸上 啐 了 一口 。,小厮 知道 人物一 素日 性子  违拗  小厮 上来 人物二 脸上 一口,-1,
