rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
718,受/人物二/人物一,.*受.*人物二.*人物一.*,6,0,509,1287,-1
767,朝鲜/人物二/人物一,.*朝鲜.*人物二.*人物一.*,6,-1,592,1413,-1
780,人物二/本名/前/秘书长/侨务/人物一,.*人物二.*本名.*前.*秘书长.*侨务.*人物一.*,5,-1,470,1328,-1
781,人物二/本名/前/秘书长/委员会/人物一,.*人物二.*本名.*前.*秘书长.*委员会.*人物一.*,5,-1,462,1265,-1
782,人物二/本名/前/秘书长/委员长/人物一,.*人物二.*本名.*前.*秘书长.*委员长.*人物一.*,5,-1,519,1365,-1
783,人物二/本名/前/秘书长/行政院/人物一,.*人物二.*本名.*前.*秘书长.*行政院.*人物一.*,5,-1,467,1308,-1
784,人物二/本名/前/行政院/人物一,.*人物二.*本名.*前.*行政院.*人物一.*,5,-1,512,1426,-1
785,人物二/本名/前/行政院/人物一/之女,.*人物二.*本名.*前.*行政院.*人物一.*之女.*,5,-1,360,1165,-1
786,人物二/本名/前/行政院/侨务/人物一,.*人物二.*本名.*前.*行政院.*侨务.*人物一.*,5,-1,498,1391,-1
787,人物二/本名/前/行政院/委员会/人物一,.*人物二.*本名.*前.*行政院.*委员会.*人物一.*,5,-1,502,1333,-1
788,人物二/本名/前/行政院/委员长/人物一,.*人物二.*本名.*前.*行政院.*委员长.*人物一.*,5,-1,552,1441,-1
789,人物二/本名/副董事长/中华民国/人物一,.*人物二.*本名.*副董事长.*中华民国.*人物一.*,5,-1,537,1495,-1
790,人物二/本名/副董事长/中华民国/人物一/之女,.*人物二.*本名.*副董事长.*中华民国.*人物一.*之女.*,5,-1,371,1227,-1
791,人物二/本名/副董事长/中华民国/侨务/人物一,.*人物二.*本名.*副董事长.*中华民国.*侨务.*人物一.*,5,-1,487,1405,-1
792,人物二/本名/副董事长/中华民国/委员会/人物一,.*人物二.*本名.*副董事长.*中华民国.*委员会.*人物一.*,5,-1,482,1349,-1
793,人物二/本名/副董事长/中华民国/委员长/人物一,.*人物二.*本名.*副董事长.*中华民国.*委员长.*人物一.*,5,-1,551,1455,-1
