rule_id,rule,pattern,frequence,original_label
181,人物一/生/人物二,.*人物一.*生.*人物二.*,13,0
241,前/人物一/人物二,.*前.*人物一.*人物二.*,11,0
249,一个/人物一/人物二,.*一个.*人物一.*人物二.*,10,0
251,个人/年/人物一/人物二,.*个人.*年.*人物一.*人物二.*,10,1
252,个人/生活/年/人物一/人物二,.*个人.*生活.*年.*人物一.*人物二.*,10,1
253,人物/生平/人物二/人物一,.*人物.*生平.*人物二.*人物一.*,10,-1
254,人物一/个人/生活/人物一/人物二,.*人物一.*个人.*生活.*人物一.*人物二.*,10,1
258,人物一/人物二/做,.*人物一.*人物二.*做.*,10,-1
265,人物一/年/人物二/结婚,.*人物一.*年.*人物二.*结婚.*,10,1
266,人物一/生于/人物二,.*人物一.*生于.*人物二.*,10,-1
267,人物一/生活/人物一/人物二,.*人物一.*生活.*人物一.*人物二.*,10,1
268,人物一/说/人物二,.*人物一.*说.*人物二.*,10,0
274,人物二/人物一/生于,.*人物二.*人物一.*生于.*,10,0
278,人物二/立/人物一,.*人物二.*立.*人物一.*,10,-1
279,年/人物一/人物一/人物二,.*年.*人物一.*人物一.*人物二.*,10,0
281,年/人物二/人物二/人物一,.*年.*人物二.*人物二.*人物一.*,10,0
288,生平/人物二/人物一,.*生平.*人物二.*人物一.*,10,-1
290,个人/人物一/妻子/人物二,.*个人.*人物一.*妻子.*人物二.*,9,1
291,中国/人物一/人物二,.*中国.*人物一.*人物二.*,9,0
292,人物一/人物二/出生,.*人物一.*人物二.*出生.*,9,0
293,人物一/人物二/前,.*人物一.*人物二.*前.*,9,0
294,人物一/人物二/婚后,.*人物一.*人物二.*婚后.*,9,1
295,人物一/人物二/已经,.*人物一.*人物二.*已经.*,9,1
296,人物一/人物二/生活,.*人物一.*人物二.*生活.*,9,0
297,人物一/名/人物二,.*人物一.*名.*人物二.*,9,-1
298,人物一/女/人物二,.*人物一.*女.*人物二.*,9,0
299,人物一/妻子/人物二/人物一,.*人物一.*妻子.*人物二.*人物一.*,9,1
300,人物一/娶/人物二,.*人物一.*娶.*人物二.*,9,1
301,人物一/家族/人物二,.*人物一.*家族.*人物二.*,9,-1
302,人物一/年/人物二/人物一,.*人物一.*年.*人物二.*人物一.*,9,0
303,人物一/年/年/人物二,.*人物一.*年.*年.*人物二.*,9,-1
304,人物一/成为/人物二,.*人物一.*成为.*人物二.*,9,-1
305,人物一/死后/人物二,.*人物一.*死后.*人物二.*,9,-1
306,人物一/离婚/人物二,.*人物一.*离婚.*人物二.*,9,1
307,人物一/经历/人物二,.*人物一.*经历.*人物二.*,9,-1
308,人物二/人物一/孩子,.*人物二.*人物一.*孩子.*,9,0
309,人物二/人物一/月/日,.*人物二.*人物一.*月.*日.*,9,1
310,人物二/其子/人物一,.*人物二.*其子.*人物一.*,9,-1
312,人物二/杀/人物一,.*人物二.*杀.*人物一.*,9,-1
313,人物二/演员/人物一,.*人物二.*演员.*人物一.*,9,0
314,人物二/离婚/人物一,.*人物二.*离婚.*人物一.*,9,1
315,介绍/人物一/人物二,.*介绍.*人物一.*人物二.*,9,0
316,国家/人物二/人物一,.*国家.*人物二.*人物一.*,9,1
317,岁/人物二/人物一,.*岁.*人物二.*人物一.*,9,1
321,没有/人物二/人物一,.*没有.*人物二.*人物一.*,9,-1
322,丈夫/人物一/人物二,.*丈夫.*人物一.*人物二.*,8,1
323,个人/人物一/人物二/结婚,.*个人.*人物一.*人物二.*结婚.*,8,1
324,个人/生活/人物一/人物二/结婚,.*个人.*生活.*人物一.*人物二.*结婚.*,8,1
325,个人/生活/人物一/妻子/人物二,.*个人.*生活.*人物一.*妻子.*人物二.*,8,1
326,之后/人物二/人物一,.*之后.*人物二.*人物一.*,8,1
327,之子/人物一/人物二,.*之子.*人物一.*人物二.*,8,-1
328,人物一/一直/人物二,.*人物一.*一直.*人物二.*,8,-1
329,人物一/人物二/一女,.*人物一.*人物二.*一女.*,8,1
330,人物一/人物二/中国,.*人物一.*人物二.*中国.*,8,1
331,人物一/人物二/会,.*人物一.*人物二.*会.*,8,0
332,人物一/人物二/便,.*人物一.*人物二.*便.*,8,0
333,人物一/人物二/先生,.*人物一.*人物二.*先生.*,8,0
334,人物一/人物二/夫妇,.*人物一.*人物二.*夫妇.*,8,1
335,人物一/人物二/女,.*人物一.*人物二.*女.*,8,0
336,人物一/人物二/婚姻,.*人物一.*人物二.*婚姻.*,8,1
337,人物一/人物二/完婚,.*人物一.*人物二.*完婚.*,8,1
338,人物一/人物二/将军,.*人物一.*人物二.*将军.*,8,-1
339,人物一/人物二/年/人物二,.*人物一.*人物二.*年.*人物二.*,8,0
340,人物一/人物二/没有,.*人物一.*人物二.*没有.*,8,0
341,人物一/人物二/父子,.*人物一.*人物二.*父子.*,8,-1
342,人物一/人物二/皇后,.*人物一.*人物二.*皇后.*,8,-1
343,人物一/介绍/人物二,.*人物一.*介绍.*人物二.*,8,0
345,人物一/婚礼/人物二,.*人物一.*婚礼.*人物二.*,8,1
346,人物一/月/人物一/人物二,.*人物一.*月.*人物一.*人物二.*,8,0
347,人物一/父母/人物二,.*人物一.*父母.*人物二.*,8,-1
349,人物一/著名/人物二,.*人物一.*著名.*人物二.*,8,0
350,人物二/个人/人物二/人物一,.*人物二.*个人.*人物二.*人物一.*,8,1
351,人物二/个人/生活/人物一,.*人物二.*个人.*生活.*人物一.*,8,1
352,人物二/人物一/之后,.*人物二.*人物一.*之后.*,8,0
