sent_id,sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_248901,,窦滔,苏蕙,“ 机中 织锦 秦川 女 ， 碧纱 如烟 隔 窗语 ” ， 这 织锦 的 秦川 女 ， 固可 指为 苻 秦时 窦滔 妻 苏蕙 ， 更 可 看作 唐时 关中 一带 征夫 远戍 的 思妇 。,机中 织锦 秦川 女  碧纱 如烟 隔 窗语   织锦 秦川 女  固可 指为 苻 秦时 人物一 妻 人物二  更 看作 唐时 关中 一带 征夫 远戍 思妇,1
TRAIN_SENT_ID_284574,,孔原,许明,邓小平 与 卓琳 的 婚礼 在 杨家岭 毛泽东 的 窑洞 前 举行 ， 同时 举行 婚礼 的 还有 中央军委 总政治部 组织部长 孔原 和 许明 。,邓小平 卓琳 婚礼 杨家岭 毛泽东 窑洞 前 举行  举行 婚礼 中央军委 总政治部 组织部长 人物一 人物二,1
TRAIN_SENT_ID_270750,,梁萧,花晓霜,三百年 前 ， “ 西昆仑 ” 梁萧 携妻 花晓霜 远走 大洋 ......,三百年 前   西昆仑  人物一 携妻 人物二 远走 大洋,1
TRAIN_SENT_ID_248853,,窦滔,苏蕙,机中 锦字 指晋 窦滔 妻 苏蕙 所 作 织锦 回文 《 璇玑 图 》 。,机中 锦字 指晋 人物一 妻 人物二 作 织锦 回文  璇玑 图,1
TRAIN_SENT_ID_251302,,廖仲恺,何香凝,廖仲恺 与 妻 何香凝 墓 ， 现 位于 南京 紫金山 南麓 天堡 城下 。,人物一 妻 人物二 墓  现 位于 南京 紫金山 南麓 天堡 城下,1
TRAIN_SENT_ID_257333,,贾珍,尤氏,宁国府 梅花 盛开 ， 贾珍 妻 尤氏 请 贾母 等 赏玩 。,宁国府 梅花 盛开  人物一 妻 人物二 请 贾母 赏玩,1
TRAIN_SENT_ID_257356,,贾珍,尤氏,尤二姐 ， 贾珍 妻 尤氏 的 异母 妹 ， 是 尤老娘 前夫 所 生 ， 后 尤老娘 改嫁 尤家时 随来 。,尤二姐  人物一 妻 人物二 异母 妹  尤老娘 前夫 生  尤老娘 改嫁 尤家时 随来,1
TRAIN_SENT_ID_258286,,陈建斌,蒋勤勤,重要 事件 : 2005 年底 ， 卓伟 去 了 《 新 京报 》 ， 狗 仔 不 丢人 很快 挖到 了 演员 陈建斌 和 蒋勤勤 恋爱 的 独家新闻 。,重要 事件   年底  卓伟  新 京报   狗 仔 丢人 很快 挖到 演员 人物一 人物二 恋爱 独家新闻,1
TRAIN_SENT_ID_282179,,杨铁心,杨康,杨康 主线 : 化名 穆易 的 杨铁心 带 着 养女 穆念慈 在 北京 摆 下 比武招亲 ， 并 说 只要 打败 即可 取得 穆念慈 ， 一路上 也 从未 有人 打败 穆念慈 。,人物二 主线  化名 穆易 人物一 带 养女 穆念慈 北京 摆 比武招亲  说 打败 即可 取得 穆念慈  一路上 从未 有人 打败 穆念慈,-1
TRAIN_SENT_ID_252184,,秦嘉,徐淑,诗品 卷 中 : ◇ 汉上计 秦嘉 嘉妻 徐淑,诗品 卷 中  ◇ 汉上计 人物一 嘉妻 人物二,1
TRAIN_SENT_ID_252179,,秦嘉,徐淑,秦嘉 当时 曾 派车去 接 她 ， 还给 她 写 了 一封信 ( 《 与 妻 徐淑 书 》 ) 。,人物一 当时 派车去 接  还给 写 一封信   妻 人物二 书,1
TRAIN_SENT_ID_279455,,郭啸天,李萍,段天德 挟 郭啸天 之妻 李萍 逃入 嘉兴 法华寺 避难 ， 丘处机 闻讯 ， 追 到 嘉兴 欲 救 郭 杨二人 之妻 ， 与 住持 焦木大师 误会 。,段天德 挟 人物一 之妻 人物二 逃入 嘉兴 法华寺 避难  丘处机 闻讯  追 嘉兴 欲 救 郭 杨二人 之妻  住持 焦木大师 误会,1
TRAIN_SENT_ID_256424,,刘禅,甘夫人,不久 之后 ， 赵云 果然 怀抱 刘备 的 幼子 刘禅 ， 保护 着 刘备 的 妻子 甘夫人 ， 三人 都 平安地 回到 刘备 身边 。,不久 之后  赵云 怀抱 刘备 幼子 人物一  保护 刘备 妻子 人物二  三人 平安地 回到 刘备 身边,-1
TRAIN_SENT_ID_265997,,杨绛,钱钟书,"6 作者简介 : 杨绛 , ( 1911 — — ) ， 钱钟书 夫人 ， 原名 杨 季康 ， 著名 的 作家 、 评论家 、 翻译家 、 学者 。",作者简介  人物一        人物二 夫人  原名 杨 季康  著名 作家  评论家  翻译家  学者,1
TRAIN_SENT_ID_275790,,田灵儿,田不易,田灵儿 ： 齐昊 之妻 ， 田不易 和 苏茹 之女 。,人物一  齐昊 之妻  人物二 苏茹 之女,-1
