rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
0,年/人物二/人物一,.*年.*人物二.*人物一.*,351,0,4063,2224,1
1,年/人物一/人物二,.*年.*人物一.*人物二.*,273,0,4073,2181,1
2,月/人物二/人物一,.*月.*人物二.*人物一.*,153,0,3494,1272,1
3,人物一/年/人物二,.*人物一.*年.*人物二.*,134,0,4049,2159,1
4,年/月/人物二/人物一,.*年.*月.*人物二.*人物一.*,128,0,2700,1003,1
5,月/人物一/人物二,.*月.*人物一.*人物二.*,123,1,3505,1270,1
6,人物一/父亲/人物二,.*人物一.*父亲.*人物二.*,116,-1,744,984,-1
7,人物二/儿子/人物一,.*人物二.*儿子.*人物一.*,108,-1,601,1167,-1
8,日/人物二/人物一,.*日.*人物二.*人物一.*,107,1,3338,1207,1
9,人物一/人物二/年,.*人物一.*人物二.*年.*,106,0,4051,2163,1
10,人物二/之子/人物一,.*人物二.*之子.*人物一.*,105,-1,370,915,-1
11,人物二/年/人物一,.*人物二.*年.*人物一.*,105,0,4038,2157,1
12,月/日/人物二/人物一,.*月.*日.*人物二.*人物一.*,103,1,1651,476,1
13,人物二/人物一/年,.*人物二.*人物一.*年.*,102,0,4055,2173,1
14,人物一/人物二/之子,.*人物一.*人物二.*之子.*,101,-1,372,908,-1
15,年/月/人物一/人物二,.*年.*月.*人物一.*人物二.*,100,1,2702,1005,1
16,人物一/人物二/女儿,.*人物一.*人物二.*女儿.*,88,0,750,759,-1
17,人物二/妻子/人物一,.*人物二.*妻子.*人物一.*,87,1,1786,862,1
18,年/日/人物二/人物一,.*年.*日.*人物二.*人物一.*,87,1,2776,1053,1
19,年/月/日/人物二/人物一,.*年.*月.*日.*人物二.*人物一.*,87,1,1711,584,1
20,人物一/人物二/儿子,.*人物一.*人物二.*儿子.*,84,-1,605,1146,-1
21,人物/人物一/人物二,.*人物.*人物一.*人物二.*,83,0,1483,1043,1
22,人物/人物二/人物一,.*人物.*人物二.*人物一.*,83,0,1438,1076,1
23,中/人物二/人物一,.*中.*人物二.*人物一.*,82,0,810,456,1
