rule_id,rule,frequence,label
0,年/人物二/人物一,351,0
1,年/人物一/人物二,273,0
2,月/人物二/人物一,153,0
3,人物一/年/人物二,134,0
4,年/月/人物二/人物一,128,0
5,月/人物一/人物二,123,0
6,人物一/父亲/人物二,116,0
7,人物二/儿子/人物一,108,0
8,日/人物二/人物一,107,0
9,人物一/人物二/年,106,0
10,人物二/之子/人物一,105,0
11,人物二/年/人物一,105,0
12,月/日/人物二/人物一,103,0
13,人物二/人物一/年,102,0
14,人物一/人物二/之子,101,0
15,年/月/人物一/人物二,100,0
16,人物一/人物二/女儿,88,0
17,人物二/妻子/人物一,87,0
18,年/日/人物二/人物一,87,0
19,年/月/日/人物二/人物一,87,0
20,人物一/人物二/儿子,84,0
21,人物/人物一/人物二,83,0
22,人物/人物二/人物一,83,0
23,中/人物二/人物一,82,0
24,人物二/夫人/人物一,78,0
25,人物二/女儿/人物一,78,0
26,人物二/人物一/之子,77,0
27,中/人物一/人物二,75,0
28,人物一/妻子/人物二,73,0
29,人物一/人物二/中,72,0
30,人物一/人物/人物二,70,0
31,人物二/人物一/儿子,70,0
32,日/人物一/人物二,69,0
33,月/日/人物一/人物二,69,0
34,人物二/中/人物一,68,0
35,人物一/儿子/人物二,67,0
36,人物二/人物一/中,67,0
37,人物二/父亲/人物一,67,0
38,人物一/中/人物二,63,0
39,人物一/月/人物二,60,0
40,人物一/人物二/结婚,59,0
41,人物一/夫人/人物二,58,0
42,人物二/人物一/女儿,58,0
43,人物一/人物二/夫妇,56,0
44,人物一/年/月/人物二,55,0
45,人物二/月/人物一,55,0
46,年/日/人物一/人物二,55,0
47,年/月/日/人物一/人物二,55,0
48,人物一/之子/人物二,54,0
49,人物二/人物一/结婚,54,0
50,人物一/人物二/时,52,0
51,人物二/人物一/夫妇,50,0
52,人物一/人物二/妻子,49,0
53,人物一/时/人物二,49,0
54,人物二/年/月/人物一,49,0
55,人物一/女儿/人物二,48,0
56,人物一/人物二/之女,46,0
57,人物一/人物二/子,46,0
58,人物一/人物二/月,46,0
59,生活/人物一/人物二,45,0
60,生活/人物二/人物一,45,0
61,人物二/长子/人物一,44,0
62,人物一/人物二/张,43,0
63,人物一/人物二/长子,43,0
64,人物二/人物一/时,43,0
65,人物二/时/人物一,43,0
66,人物二/生/人物一,43,0
67,人物一/人物二/一个,42,0
68,人物一/人物二/夫人,41,0
69,人物一/母亲/人物二,41,0
70,人物二/人物一/张,41,0
71,人物二/母亲/人物一,41,0
72,人物一/人物二/说,40,0
73,人物二/人物/人物一,40,0
74,人物二/人物一/父亲,40,0
75,个人/人物二/人物一,39,0
76,人物一/人物二/父亲,39,0
77,人物二/人物一/月,39,0
78,人物二/日/人物一,39,0
79,个人/人物一/人物二,38,0
80,人物一/人物二/年/月,38,0
81,人物一/人物二/生,37,0
82,说/人物二/人物一,37,0
83,人物二/人物一/一起,36,0
84,人物二/人物一/生,36,0
85,人物二/子/人物一,36,0
86,人物二/月/日/人物一,36,0
87,人物一/人物二/成为,35,0
88,人物一/人物二/母亲,35,0
89,人物一/说/人物二,35,0
90,人物二/一个/人物一,35,0
91,人物二/人物一/两人,35,0
92,人物二/杀/人物一,35,0
93,时/人物二/人物一,35,0
94,说/人物一/人物二,35,0
95,个人/生活/人物一/人物二,34,0
96,个人/生活/人物二/人物一,34,0
97,人物一/人物二/两人,34,0
98,人物一/年/日/人物二,34,0
99,人物一/年/月/日/人物二,34,0
100,人物一/日/人物二,34,0
101,人物一/月/日/人物二,34,0
102,人物一/生/人物二,34,0
103,时/人物一/人物二,34,0
104,人物二/之女/人物一,33,0
105,人物二/人物一/一个,33,0
106,人物二/人物一/太子,33,0
107,人物二/人物一/夫人,33,0
108,人物二/人物一/说,33,0
109,人物二/去世/人物一,33,0
110,人物二/死后/人物一,33,0
111,父亲/人物二/人物一,33,0
112,人物一/嫁给/人物二,32,0
113,人物二/人物一/父子,32,0
114,人物二/娶/人物一,32,0
115,人物二/年/日/人物一,32,0
116,歌手/人物二/人物一,32,0
117,简介/人物二/人物一,32,0
118,人物二/人物一/便,31,0
119,人物二/人物一/母亲,31,0
120,人物二/年/人物二/人物一,31,0
121,人物二/年/月/日/人物一,31,0
122,经历/人物一/人物二,31,0
123,人物一/生活/人物二,30,0
124,人物一/饰/人物二,30,0
125,人物二/人物一/年/月,30,0
126,人物二/人物一/没有,30,0
127,人物二/生活/人物一,30,0
128,后来/人物二/人物一,30,0
129,人物一/丈夫/人物二,29,0
130,人物一/人物二/二人,29,0
131,人物一/人物二/没有,29,0
132,人物一/人物二/爱,29,0
133,人物一/人物二/生活,29,0
134,人物二/人物一/婚礼,29,0
135,经历/人物二/人物一,29,0
136,人物一/个人/人物二,28,0
137,人物二/人物一/之女,28,0
138,人物二/人物一/二人,28,0
139,人物二/人物一/妻子,28,0
140,人物二/人物一/饰,28,0
141,介绍/人物二/人物一,28,0
142,前/人物二/人物一,28,0
143,饰/人物一/人物二,28,0
144,人物一/人物二/一起,27,0
145,人物一/人物二/日,27,0
146,人物一/经历/人物二,27,0
147,人物一/长子/人物二,27,0
148,人物二/人物一/举行,27,0
149,生平/人物二/人物一,27,0
150,人物二/次子/人物一,26,0
151,人物二/说/人物一,26,0
152,后来/人物一/人物二,26,0
153,生平/人物一/人物二,26,0
154,三国/人物二/人物一,25,0
155,人物/生平/人物二/人物一,25,0
156,人物一/个人/生活/人物二,25,0
157,人物一/人物/人物一/人物二,25,0
158,人物一/人物二/次子,25,0
159,人物二/人物一/做,25,0
160,人物二/结婚/人物一,25,0
161,著名/人物二/人物一,25,0
162,人物一/人物二/便,24,0
163,人物一/人物二/月/日,24,0
164,人物一/子/人物二,24,0
165,人物二/便/人物一,24,0
166,人物二/前/人物一,24,0
167,女儿/人物一/人物二,24,0
168,人物/生平/人物一/人物二,23,0
169,人物一/生于/人物二,23,0
170,介绍/人物一/人物二,23,0
171,女儿/人物二/人物一,23,0
172,年/人物二/人物一/结婚,23,0
173,人物一/人物二/已经,22,0
174,人物一/人物二/年/日,22,0
175,人物一/人物二/年/月/日,22,0
176,人物一/人物二/死,22,0
177,人物一/去世/人物二,22,0
178,人物一/香港/人物二,22,0
179,人物二/人物一/成为,22,0
180,人物二/人物一/故事,22,0
181,人物二/人物一/爱,22,0
182,人物二/太子/人物一,22,0
183,人物二/演员/人物一,22,0
184,人物二/香港/人物一,22,0
