sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_275777,李沅芷,余鱼同,李沅芷 和 余鱼同 双双 下马 ， 走 到 李可秀 跟前 ， 跪 了 下去 。,人物一 人物二 双双 下马  走 李可秀 跟前  跪 下去,1
TRAIN_SENT_ID_260880,贾珍,贾蓉,"贾珍 、 贾琏 、 贾环 、 贾蓉 等 皆 是 表礼 一端 , 金银 锞 一对 。 ”",人物一  贾琏  贾环  人物二 皆 表礼 一端  金银 锞 一对,-1
TRAIN_SENT_ID_256032,蒋介石,宋美龄,谁 想到 ， 6 年 后 ， 蒋介石 如痴如醉 地爱上 了 宋美龄 。,想到   年  人物一 如痴如醉 地爱上 人物二,1
TRAIN_SENT_ID_266969,关索,关羽,花鬘 《 龙凤 巾 》 相关 : 关羽 之子 关索 从征 孟获 ， 与 孟获 女 花鬘 交锋 ， 花鬘 坠马 ， 关索 不忍 杀 。,花鬘  龙凤 巾  相关  人物二 之子 人物一 从征 孟获  孟获 女 花鬘 交锋  花鬘 坠马  人物一 不忍 杀,-1
TRAIN_SENT_ID_279154,赵薇,黄有龙,赵薇 与 富商 老公 黄有龙 结婚 后 ， 原本 以为 她 会 从此 安心 做 豪门 阔 太 ， 事业心 很强 的 赵薇 不仅 复出 当 导演 拍电影 ， 参加 各种 活动 。,人物一 富商 老公 人物二 结婚  原本 会 安心 做 豪门 阔 太  事业心 很强 人物一 复出 导演 拍电影  参加 活动,1
TRAIN_SENT_ID_272215,马小玲,况天佑,第七章 马小玲 与 况天佑,第七章 人物一 人物二,1
TRAIN_SENT_ID_283502,张美珠,赵忠祥,张美珠 ， 赵忠祥 妻子 。,人物一  人物二 妻子,1
TRAIN_SENT_ID_265067,李铭顺,范文芳,1995 年 ， 新加坡 电视 机构 ， 李铭顺 饰 杨过 ， 范文芳 饰 小龙女,年  新加坡 电视 机构  人物一 饰 杨过  人物二 饰 小龙女,1
TRAIN_SENT_ID_272205,马小玲,况天佑,该剧 讲述 了 驱魔师 马小玲 与 僵尸 况天佑 为 拯救 世界 共同 对付 女娲 与 将 臣 的 故事 。,该剧 讲述 驱魔师 人物一 僵尸 人物二 拯救 世界 共同 对付 女娲 臣 故事,1
TRAIN_SENT_ID_282079,徐坚,徐熙媛,徐坚 ， 是 台湾 艺人 大S （ 徐熙媛 ） 、 小S （ 徐熙娣 ） 姐妹俩 的 父亲 ， 于 2012 年 10 月 23 日 去世 。,人物一  台湾 艺人  人物二    徐熙娣  姐妹俩 父亲   年  月  日 去世,-1
TRAIN_SENT_ID_255951,蒋介石,宋美龄,蒋介石 回来 之前 ， 宋美龄 已到 了 上海 。,人物一 回来 之前  人物二 已到 上海,1
TRAIN_SENT_ID_268668,潘金莲,武大郎,潘金莲 同 武大郎 确实 不太 般配 ， 再 加上 受 西门庆 引诱 ， 潘金莲 才 出轨 的 。,人物一 人物二 确实 不太 般配  加上 受 西门庆 引诱  人物一 出轨,1
TRAIN_SENT_ID_262526,扶苏,秦始皇,秦始皇 对 扶苏 不满 ， 赵高 趁机 从中 挑拨 ， 使 扶苏 被 派 到 蒙恬 军中 做 监军 。,人物二 人物一 不满  赵高 趁机 从中 挑拨  人物一 派 蒙恬 军中 做 监军,-1
TRAIN_SENT_ID_265894,杨绛,钱钟书,钱钟书 把 钱 一分 两半 装进 两个 纸袋 ， 一边 拍打着 一边 对 杨绛 说 ： “ 走 ， 逛商场 去 。,人物二 钱 一分 两半 装进 两个 纸袋  一边 拍打着 一边 人物一 说   走  逛商场,1
TRAIN_SENT_ID_262644,况天佑,马小玲,僵尸 三 : 于 第三部 中 ， 来到 盘古 之地 的 马小玲 和 况天佑 适逢 瑶池 圣母 冲破 封印 ， 使 天佑 身受 病毒 之苦 。,僵尸 三  第三部 中  来到 盘古 之地 人物二 人物一 适逢 瑶池 圣母 冲破 封印  天佑 身受 病毒 之苦,1
TRAIN_SENT_ID_252313,文姜,鲁桓公,鲁桓公 的 夫人 文姜 ， 是 齐国 的 姑娘 。,人物二 夫人 人物一  齐国 姑娘,1
TRAIN_SENT_ID_268071,樊梨花,薛丁山,《 薛丁山 与 樊梨花 》 饰 胡鲁,人物二 人物一  饰 胡鲁,1
TRAIN_SENT_ID_279193,安琪,齐远,齐远 要求 把 安琪 带走 ， 因为 她 不能 太累 了 ， 如果 记者 有 什么 问题 的话 ， 可以 问问 齐飞 和 其它 三朵 花 。,人物二 要求 人物一 带走  不能 太累  记者 问题  问问 齐飞 三朵 花,1
