sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_281404,钱学森,钱永刚,堂兄 ： 钱永刚 （ 钱学森 的 长子 ） ， 汉族 ， 解放军 某 研究所 高级 工程师 、 上海交通大学 兼职 教授,堂兄  人物二  人物一 长子   汉族  解放军 研究所 高级 工程师  上海交通大学 兼职 教授,-1
TRAIN_SENT_ID_268297,秦始皇,扶苏,难道 太子 忘掉 前朝 秦始皇 的 太子 扶苏 受 冤屈 而 死 的 事情 了 吗 ？ ”,难道 太子 忘掉 前朝 人物一 太子 人物二 受 冤屈 死 事情,-1
TRAIN_SENT_ID_275938,黄日华,黄芷晴,黄芷晴 － 香港 演员 （ 香港 著名演员 黄日华 与 梁洁华 爱女 ）,人物二  香港 演员  香港 著名演员 人物一 梁洁华 爱女,-1
TRAIN_SENT_ID_270184,蒋雯丽,顾长卫,四 、 一对 互相 欣赏 的 夫妻 — — 蒋雯丽 和 顾长卫 夫妇,四  一对 互相 欣赏 夫妻   人物一 人物二 夫妇,1
TRAIN_SENT_ID_270008,张耳,张敖,鲁元公主 《 张耳 陈余 传 》 : 说 张敖 死 在 高后 六年 ， 《 吕后 本纪 》 言 张敖 死 在 高后 七年 ， 此 又 有 异论 也 。,鲁元公主  人物一 陈余 传   说 人物二 死 高后 六年   吕后 本纪  言 人物二 死 高后 七年  异论,-1
TRAIN_SENT_ID_282540,关谷健次郎,关谷神奇,关谷奇迹 ， 关谷神奇 的 曾祖父 ， 关谷 神秘 的 高祖父 ， 关谷健次郎 的 祖父 。,关谷奇迹  人物二 曾祖父  关谷 神秘 高祖父  人物一 祖父,-1
TRAIN_SENT_ID_267972,樊梨花,薛丁山,薛仁贵 收 梨花 ， 令 与 薛丁山 成婚 ， 新婚夜 ， 丁山 误其 杀父 ， 责其 伤天 逆伦 ， 将 樊梨花 气回 寒江关 。,薛仁贵 收 梨花  令 人物二 成婚  新婚夜  丁山 误其 杀父  责其 伤天 逆伦  人物一 气回 寒江关,-1
TRAIN_SENT_ID_277892,樊娴都,樊重,人物 生平 : 樊娴都 ， 其父 樊重 性情温和 厚道 ， 做 事情 很 讲究 法度 。,人物 生平  人物一  其父 人物二 性情温和 厚道  做 事情 讲究 法度,-1
TRAIN_SENT_ID_276791,丁夫人,曹操,何况 曹操 还 让 丁夫人 改嫁 ， 不让 她 守活寡 ， 只是 丁夫人 不肯 ， 她 父母 也 不敢 。,人物二 人物一 改嫁  不让 守活寡  人物一 不肯  父母 不敢,-1
TRAIN_SENT_ID_283927,高崃云,高钦中,高钦中 ， 号 “ 恒溪 ” ， 是 高崃云 的 长子 。,人物二  号  恒溪   人物一 长子,-1
