,rule_id,rule,frequence,label
325,325,人物一/生平/人物二,35,0
357,357,人物一/死后/人物二,33,0
369,369,之后/人物二/人物一,32,0
373,373,人物一/年/年/人物二,32,0
375,375,人物二/人物一/出,32,0
398,398,人物二/人物一/杀,31,0
418,418,祖父/人物二/人物一,31,0
428,428,人物二/人物一/感情,30,0
429,429,人物二/公主/人物一,30,0
430,430,人物二/嫁给/人物一,30,0
435,435,家族/人物二/人物一,30,0
439,439,主演/人物二/人物一,29,0
440,440,人物一/人物二/去世,29,0
442,442,人物一/人物二/父,29,0
443,443,人物一/人物二/著名,29,0
446,446,人物二/人物一/两个,29,0
447,447,人物二/人物一/周仓,29,0
448,448,人物二/人物一/年/年,29,0
449,449,人物二/人物一/来到,29,0
450,450,人物二/人物一/皇帝,29,0
462,462,人物一/之女/人物二,28,0
463,463,人物一/人物二/举行/婚礼,28,0
464,464,人物一/人物二/先生,28,0
465,465,人物一/人物二/北京,28,0
466,466,人物一/人物二/皇后,28,0
467,467,人物一/北京/人物二,28,0
468,468,人物一/月/人物二/人物一,28,0
469,469,人物二/两个/人物一,28,0
470,470,人物二/个人/年/人物一,28,0
471,471,人物二/人物一/即位,28,0
472,472,人物二/人物一/终于,28,0
473,473,人物二/人物一/著名,28,0
474,474,人物二/人物二/人物一/张,28,0
475,475,人物二/子女/人物一,28,0
476,476,人物二/已经/人物一,28,0
477,477,公元/年/人物二/人物一,28,0
478,478,公元前/年/人物二/人物一,28,0
480,480,演员/人物二/人物一,28,0
481,481,一个/人物一/人物二,27,0
482,482,人物一/一直/人物二,27,0
483,483,人物一/人物二/年/年,27,0
484,484,人物一/人物二/担任,27,0
485,485,人物一/出/人物二,27,0
486,486,人物一/出生/人物二,27,0
487,487,人物一/想/人物二,27,0
488,488,人物一/饰/人物二/饰,27,0
489,489,人物一/饰演/人物二,27,0
490,490,人物二/个人/生活/年/人物一,27,0
491,491,人物二/人物一/丞相,27,0
492,492,人物二/人物一/出席,27,0
493,493,人物二/人物一/王,27,0
494,494,人物二/人物一/皇后,27,0
495,495,人物二/人物一/非常,27,0
496,496,人物二/人物二/儿子/人物一,27,0
497,497,人物二/年/名宿/人物一,27,0
498,498,人物二/年/名宿/人物一/之子,27,0
499,499,人物二/年/已故/人物一,27,0
500,500,人物二/年/已故/人物一/之子,27,0
501,501,人物二/年/已故/名宿/人物一,27,0
502,502,人物二/年/已故/名宿/人物一/之子,27,0
503,503,人物二/年/已故/足球/人物一,27,0
504,504,人物二/年/已故/足球/人物一/之子,27,0
505,505,人物二/年/已故/足球/名宿/人物一,27,0
506,506,人物二/年/足球/人物一,27,0
507,507,人物二/年/足球/人物一/之子,27,0
508,508,人物二/年/足球/名宿/人物一,27,0
509,509,人物二/年/足球/名宿/人物一/之子,27,0
510,510,人物二/年/香港/人物一,27,0
511,511,人物二/校长/人物一,27,0
512,512,夫人/人物一/人物二,27,0
513,513,家庭成员/人物二/人物一,27,0
514,514,导演/人物二/人物一,27,0
515,515,年/人物一/人物二/两人,27,0
516,516,当时/人物一/人物二,27,0
517,517,月/人物二/夫人/人物一,27,0
518,518,人物二/绰号/谭/已故/人物一,26,0
519,519,人物二/绰号/谭/已故/人物一/之子,26,0
520,520,人物二/绰号/谭/已故/名宿/人物一,26,0
521,521,人物二/绰号/谭/已故/足球/人物一,26,0
522,522,人物二/绰号/谭/校长/人物一,26,0
523,523,人物二/绰号/谭/校长/人物一/之子,26,0
524,524,人物二/绰号/谭/校长/名宿/人物一,26,0
525,525,人物二/绰号/谭/校长/已故/人物一,26,0
526,526,人物二/绰号/谭/校长/足球/人物一,26,0
527,527,人物二/绰号/谭/足球/人物一,26,0
528,528,人物二/绰号/谭/足球/人物一/之子,26,0
529,529,人物二/绰号/谭/足球/名宿/人物一,26,0
530,530,人物二/绰号/足球/人物一,26,0
531,531,人物二/绰号/足球/人物一/之子,26,0
532,532,人物二/绰号/足球/名宿/人物一,26,0
533,533,人物二/绰号/足球/名宿/人物一/之子,26,0
534,534,人物二/谭/人物一,26,0
535,535,人物二/谭/人物一/之子,26,0
536,536,人物二/谭/名宿/人物一,26,0
537,537,人物二/谭/名宿/人物一/之子,26,0
538,538,人物二/谭/已故/人物一,26,0
539,539,人物二/谭/已故/人物一/之子,26,0
540,540,人物二/谭/已故/名宿/人物一,26,0
541,541,人物二/谭/已故/名宿/人物一/之子,26,0
542,542,人物二/谭/已故/足球/人物一,26,0
543,543,人物二/谭/已故/足球/人物一/之子,26,0
544,544,人物二/谭/已故/足球/名宿/人物一,26,0
545,545,人物二/谭/校长/人物一,26,0
546,546,人物二/谭/校长/人物一/之子,26,0
547,547,人物二/谭/校长/名宿/人物一,26,0
548,548,人物二/谭/校长/名宿/人物一/之子,26,0
549,549,人物二/谭/校长/已故/人物一,26,0
550,550,人物二/谭/校长/已故/人物一/之子,26,0
551,551,人物二/谭/校长/已故/名宿/人物一,26,0
552,552,人物二/谭/校长/已故/足球/人物一,26,0
553,553,人物二/谭/校长/足球/人物一,26,0
554,554,人物二/谭/校长/足球/人物一/之子,26,0
555,555,人物二/谭/校长/足球/名宿/人物一,26,0
556,556,人物二/谭/足球/人物一,26,0
557,557,人物二/谭/足球/人物一/之子,26,0
558,558,人物二/谭/足球/名宿/人物一,26,0
559,559,人物二/谭/足球/名宿/人物一/之子,26,0
560,560,年/人物一/夫人/人物二,26,0
561,561,年/日/人物二/人物一/结婚,26,0
562,562,年/月/日/人物二/人物一/结婚,26,0
563,563,日/人物一/人物二/结婚,26,0
564,564,日/人物二/人物一/结婚,26,0
565,565,月/日/人物一/人物二/结婚,26,0
566,566,月/日/人物二/人物一/结婚,26,0
