rule_id,rule,pattern,frequence,original_label
101,人物二/人物一/日,.*人物二.*人物一.*日.*,74,1
116,年/人物一/人物二/结婚,.*年.*人物一.*人物二.*结婚.*,69,1
122,人物二/人物一/月/日,.*人物二.*人物一.*月.*日.*,64,1
125,人物二/著名/人物一,.*人物二.*著名.*人物一.*,61,-1
130,人物一/年/人物一/人物二,.*人物一.*年.*人物一.*人物二.*,60,0
134,人物二/其子/人物一,.*人物二.*其子.*人物一.*,58,-1
137,人物一/个人/人物一/人物二,.*人物一.*个人.*人物一.*人物二.*,57,1
139,人物二/个人/人物一,.*人物二.*个人.*人物一.*,57,1
143,人物一/生活/人物一/人物二,.*人物一.*生活.*人物一.*人物二.*,56,1
148,人物一/个人/生活/人物一/人物二,.*人物一.*个人.*生活.*人物一.*人物二.*,55,1
149,人物一/人物二/爱情,.*人物一.*人物二.*爱情.*,55,1
156,人物一/人物二/婚礼,.*人物一.*人物二.*婚礼.*,53,1
158,人物二/人物一/年/日,.*人物二.*人物一.*年.*日.*,52,1
159,人物二/人物一/年/月/日,.*人物二.*人物一.*年.*月.*日.*,52,1
162,人物一/人物一/父亲/人物二,.*人物一.*人物一.*父亲.*人物二.*,51,-1
165,人物二/个人/生活/人物一,.*人物二.*个人.*生活.*人物一.*,51,1
166,人物二/人物一/中国,.*人物二.*人物一.*中国.*,51,0
167,妻子/人物一/人物二,.*妻子.*人物一.*人物二.*,51,1
168,年/人物二/人物一/人物二,.*年.*人物二.*人物一.*人物二.*,51,1
169,中国/人物二/人物一,.*中国.*人物二.*人物一.*,50,0
176,人物二/人物一/爱情,.*人物二.*人物一.*爱情.*,49,1
177,内容简介/人物二/人物一,.*内容简介.*人物二.*人物一.*,49,0
181,人物二/人物一/会,.*人物二.*人物一.*会.*,48,0
186,年/人物二/人物一/婚礼,.*年.*人物二.*人物一.*婚礼.*,47,1
188,人物二/人物一/举行/婚礼,.*人物二.*人物一.*举行.*婚礼.*,46,1
189,人物二/人物一/孩子,.*人物二.*人物一.*孩子.*,46,0
191,个人/年/人物一/人物二,.*个人.*年.*人物一.*人物二.*,45,1
192,人物一/人物二/中国,.*人物一.*人物二.*中国.*,45,1
194,人物一/岁/人物二,.*人物一.*岁.*人物二.*,45,0
196,人物二/岁/人物一,.*人物二.*岁.*人物一.*,45,0
198,妻子/人物二/人物一,.*妻子.*人物二.*人物一.*,45,0
199,年/人物一/人物二/人物一,.*年.*人物一.*人物二.*人物一.*,45,1
200,年/人物二/人物二/人物一,.*年.*人物二.*人物二.*人物一.*,45,0
201,生活/年/人物一/人物二,.*生活.*年.*人物一.*人物二.*,45,1
202,简介/人物一/人物二,.*简介.*人物一.*人物二.*,45,0
203,人物一/演员/人物二,.*人物一.*演员.*人物二.*,44,0
205,人物二/人物一/正式,.*人物二.*人物一.*正式.*,44,1
206,人物二/生活/人物二/人物一,.*人物二.*生活.*人物二.*人物一.*,44,1
208,儿子/人物一/人物二,.*儿子.*人物一.*人物二.*,44,-1
209,岁/人物二/人物一,.*岁.*人物二.*人物一.*,44,0
210,个人/生活/年/人物一/人物二,.*个人.*生活.*年.*人物一.*人物二.*,43,1
211,人物一/人物二/上海,.*人物一.*人物二.*上海.*,43,1
212,人物二/人物一/生活,.*人物二.*人物一.*生活.*,43,0
213,人物二/人物一/离婚,.*人物二.*人物一.*离婚.*,43,1
214,饰演/人物一/人物二,.*饰演.*人物一.*人物二.*,43,1
215,人物一/人物二/夫妻,.*人物一.*人物二.*夫妻.*,42,1
217,人物二/人物一/参加,.*人物二.*人物一.*参加.*,42,0
218,人物二/先生/人物一,.*人物二.*先生.*人物一.*,42,0
220,年/人物二/人物一/举行,.*年.*人物二.*人物一.*举行.*,42,1
221,月/人物二/人物一/举行,.*月.*人物二.*人物一.*举行.*,42,1
222,人物一/人物二/岁,.*人物一.*人物二.*岁.*,41,0
225,人物一/著名/人物二,.*人物一.*著名.*人物二.*,41,0
226,人物二/个人/人物二/人物一,.*人物二.*个人.*人物二.*人物一.*,41,1
228,人物二/人物一/岁,.*人物二.*人物一.*岁.*,40,0
229,人物二/公子/人物一,.*人物二.*公子.*人物一.*,40,-1
230,人物二/生于/人物一,.*人物二.*生于.*人物一.*,40,-1
231,月/人物一/人物二/结婚,.*月.*人物一.*人物二.*结婚.*,40,1
232,月/人物二/人物一/婚礼,.*月.*人物二.*人物一.*婚礼.*,40,1
234,人物一/人物二/孩子,.*人物一.*人物二.*孩子.*,39,0
235,人物一/人物二/离婚,.*人物一.*人物二.*离婚.*,39,1
236,人物一/女/人物二,.*人物一.*女.*人物二.*,39,0
237,人物二/人物一/已经,.*人物二.*人物一.*已经.*,39,1
238,儿子/人物二/人物一,.*儿子.*人物二.*人物一.*,39,-1
239,年/人物二/女儿/人物一,.*年.*人物二.*女儿.*人物一.*,39,-1
240,人物一/中国/人物二,.*人物一.*中国.*人物二.*,38,0
241,人物一/年/人物二/人物一,.*人物一.*年.*人物二.*人物一.*,38,0
242,人物二/个人/生活/人物二/人物一,.*人物二.*个人.*生活.*人物二.*人物一.*,38,1
243,人物二/人物一/之后,.*人物二.*人物一.*之后.*,38,0
244,人物二/人物一/死,.*人物二.*人物一.*死.*,38,0
246,日/人物二/人物一/举行,.*日.*人物二.*人物一.*举行.*,38,1
247,月/日/人物二/人物一/举行,.*月.*日.*人物二.*人物一.*举行.*,38,1
248,饰/人物一/饰/人物二,.*饰.*人物一.*饰.*人物二.*,38,1
249,个人/年/人物二/人物一,.*个人.*年.*人物二.*人物一.*,37,1
250,人物一/人物二/饰,.*人物一.*人物二.*饰.*,37,1
252,人物一/结婚/人物二,.*人物一.*结婚.*人物二.*,37,1
253,人物二/后主/人物一,.*人物二.*后主.*人物一.*,37,-1
254,人物二/月/人物二/人物一,.*人物二.*月.*人物二.*人物一.*,37,1
255,年/月/人物二/人物一/举行,.*年.*月.*人物二.*人物一.*举行.*,37,1
256,年/月/人物二/人物一/婚礼,.*年.*月.*人物二.*人物一.*婚礼.*,37,1
257,母亲/人物二/人物一,.*母亲.*人物二.*人物一.*,37,-1
258,生活/年/人物二/人物一,.*生活.*年.*人物二.*人物一.*,37,1
259,人物一/一个/人物二,.*人物一.*一个.*人物二.*,36,0
260,人物一/家庭成员/人物二,.*人物一.*家庭成员.*人物二.*,36,-1
261,人物二/丈夫/人物一,.*人物二.*丈夫.*人物一.*,36,1
262,人物二/人物一/北京,.*人物二.*人物一.*北京.*,36,1
263,信息/人物二/人物一,.*信息.*人物二.*人物一.*,36,-1
264,年/人物二/人物一/举行/婚礼,.*年.*人物二.*人物一.*举行.*婚礼.*,36,1
265,年/月/人物一/人物二/结婚,.*年.*月.*人物一.*人物二.*结婚.*,36,1
266,演员/人物一/人物二,.*演员.*人物一.*人物二.*,36,1
267,父亲/人物一/人物二,.*父亲.*人物一.*人物二.*,36,-1
268,个人/生活/年/人物二/人物一,.*个人.*生活.*年.*人物二.*人物一.*,35,1
269,人物一/人物二/举行,.*人物一.*人物二.*举行.*,35,1
270,人物一/人物二/之后,.*人物一.*人物二.*之后.*,35,1
271,人物一/人物二/之妻,.*人物一.*人物二.*之妻.*,35,0
272,人物二/人物一/丈夫,.*人物二.*人物一.*丈夫.*,35,0
273,人物二/女/人物一,.*人物二.*女.*人物一.*,35,-1
274,年/人物二/人物一/人物一,.*年.*人物二.*人物一.*人物一.*,35,0
275,日/人物二/人物一/婚礼,.*日.*人物二.*人物一.*婚礼.*,35,1
276,月/日/人物二/人物一/婚礼,.*月.*日.*人物二.*人物一.*婚礼.*,35,1
277,饰演/人物二/人物一,.*饰演.*人物二.*人物一.*,35,0
278,人物一/人物一/人物二/之子,.*人物一.*人物一.*人物二.*之子.*,34,-1
279,人物一/人物一/人物二/年,.*人物一.*人物一.*人物二.*年.*,34,0
280,人物一/人物二/一直,.*人物一.*人物二.*一直.*,34,0
282,人物二/人物一/先生,.*人物二.*人物一.*先生.*,34,-1
283,人物二/人物一/长子,.*人物二.*人物一.*长子.*,34,-1
284,人物二/立/人物一,.*人物二.*立.*人物一.*,34,-1
285,年/日/人物二/人物一/举行,.*年.*日.*人物二.*人物一.*举行.*,34,1
286,年/月/日/人物二/人物一/举行,.*年.*月.*日.*人物二.*人物一.*举行.*,34,1
287,香港/人物一/人物二,.*香港.*人物一.*人物二.*,34,0
288,香港/人物二/人物一,.*香港.*人物二.*人物一.*,34,0
