sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_260780,李格非,李清照,章丘 名人 先后 有 邹衍 、 房玄龄 、 李格非 、 李清照 、 刘敏中 、 李开先 、 马国翰 等 。,章丘 名人 先后 邹衍  房玄龄  人物一  人物二  刘敏中  李开先  马国翰,-1
TRAIN_SENT_ID_281404,钱学森,钱永刚,堂兄 ： 钱永刚 （ 钱学森 的 长子 ） ， 汉族 ， 解放军 某 研究所 高级 工程师 、 上海交通大学 兼职 教授,堂兄  人物二  人物一 长子   汉族  解放军 研究所 高级 工程师  上海交通大学 兼职 教授,-1
TRAIN_SENT_ID_250300,秦始皇,胡亥,好 在 胡亥 也 不愧 是 秦始皇 帝 的 儿子 ， 他 差不多 是 用不着 我教 ， 便是 天生 的 一个 坏蛋 。,人物二 不愧 人物一 帝 儿子  差不多 用不着 我教  便是 天生 一个 坏蛋,-1
TRAIN_SENT_ID_254177,邢夫人,贾赦,《 红楼梦 》 第四 六 回 ： “ 凤姐 知道 邢夫人 禀性 愚弱 ， 只知 奉承 贾赦 以 自保 。 ”,红楼梦  第四 六 回   凤姐 知道 人物一 禀性 愚弱  只知 奉承 人物二 自保,1
TRAIN_SENT_ID_250250,秦始皇,胡亥,秦始皇 驾崩 于 巡游 路上 ， 赵高 伪造 诏书 将 真正 的 王位继承 人 扶苏 赐死 ， 立 始皇 幼子 胡亥 为 皇帝 。,人物一 驾崩 巡游 路上  赵高 伪造 诏书 真正 王位继承 扶苏 赐死  立 始皇 幼子 人物二 皇帝,-1
TRAIN_SENT_ID_272544,宋江,宋太公,在 宋江 家中 住 了 一夜 ， 宋太公 托 石勇 给 宋江 送信 。,人物一 家中 住 一夜  人物二 托 石勇 人物一 送信,-1
TRAIN_SENT_ID_283737,刘德成,刘铁男,随后 ， 中 金 石化 董事长 孙永根 出资 人民币 33 万余元 为 刘德成 购买 尼桑 牌 天籁 轿车 一辆 ， 刘铁男 对此 知情 。,中 金 石化 董事长 孙永根 出资 人民币  万余元 人物一 购买 尼桑 牌 天籁 轿车 一辆  人物二 对此 知情,-1
TRAIN_SENT_ID_274886,晏几道,晏殊,南宋 以后 主张 典雅 的 词人 ， 反对 柳永 、 周邦彦 词 的 “ 软媚 ” ， 故未选 柳永 、 晏殊 、 晏几道 、 秦观 等 人词 。,南宋 以后 主张 典雅 词人  反对 柳永  周邦彦 词  软媚   故未选 柳永  人物二  人物一  秦观 人词,-1
TRAIN_SENT_ID_283894,曾柔,韦小宝,2 精彩 表现 : 丽春院 大床 压塌 后 ， 当 韦小宝 逼 着 阿 珂 承认 其 婚事 ， 曾柔 一改 往日 的 2014 韩栋 版 鹿鼎记 曾柔 ( 2 张 ),精彩 表现  丽春院 大床 压塌  人物二 逼 珂 承认 婚事  人物一 一改 往日  韩栋 版 鹿鼎记 人物一   张,1
TRAIN_SENT_ID_276743,丁夫人,曹操,丁氏 逝世 : 几年 后 ， 丁家 传来 丁夫人 病逝 的 消息 ， 至此 ， 曹操 的 悔 痛之心 更是 无以复加 。,丁氏 逝世  几年  丁家 传来 人物一 病逝 消息  至此  人物二 悔 痛之心 更是 无以复加,1
