sent_id,sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_285877,,殷琰,殷道鸾,殷道鸾 史书 记载 : 殷道鸾 宋书 记载 : 《 宋书 · 卷 八十七 · 列传 第四十七 》 ： 殷琰 ， 陈郡长 平人 也 。,人物二 史书 记载  人物二 宋书 记载   宋书  卷 八十七  列传 第四十七   人物一  陈郡长 平人,-1
TRAIN_SENT_ID_263319,,胡亥,秦始皇,陵园 工程 修造 了 39 年 ， 一直 至 秦始皇 临死 之际 尚未 竣工 ， 二世 皇帝 胡亥 继位 ， 接着 又 修建 了 一年 多才 基本 完工 。,陵园 工程 修造  年  一直 人物二 临死 之际 尚未 竣工  二世 皇帝 人物一 继位  修建 一年 多才 基本 完工,-1
TRAIN_SENT_ID_249350,,后稷,姜嫄,上阁 寺 历史 记载 : 《 水经注 》 卷 十八 载 ： 邰 （ 武功 ） “ 城 东北 有 姜嫄 祠 ， 城 西南 百步 有 后稷 祠 ， 眉 之 邰亭 地 ” 。,上阁 寺 历史 记载   水经注  卷 十八 载  邰  武功   城 东北 人物二 祠  城 西南 百步 人物一 祠  眉 邰亭,-1
TRAIN_SENT_ID_259101,,刘备,刘禅,刘备 死 ， 刘禅 即位 ， 封 诸葛亮 为 武乡侯 ， 领 益州牧 。,人物一 死  人物二 即位  封 诸葛亮 武乡侯  领 益州牧,-1
TRAIN_SENT_ID_272250,,金正恩,金正日,报道 指 ， 这是 朝鲜 国防 委员长 金正日 逝世 后 ， 金正恩 第二次 视察 部队 。,报道 指  这是 朝鲜 国防 委员长 人物二 逝世  人物一 第二次 视察 部队,-1
TRAIN_SENT_ID_286257,,徐夫人,徐琨,娶 徐琨 女 （ 徐夫人 ） 。,娶 人物二 女  人物一,-1
TRAIN_SENT_ID_284269,,冯清,冯熙,冯清 人物 简介 : 废 皇后 为 太师 冯熙 之女 ， 应为 庶出 ， 母 不详 。,人物一 人物 简介  废 皇后 太师 人物二 之女  应为 庶出  母 不详,-1
TRAIN_SENT_ID_272288,,金正恩,金正日,书写 : 在 朝鲜 ， 受 政治 环境 的 影响 ， 书写 最高 领导人 （ 金日成 、 金正日 、 金正恩 ） 的 姓名 时要 使用 粗体 大字 以示 尊敬 。,书写  朝鲜  受 政治 环境 影响  书写 最高 领导人  金日成  人物二  人物一  姓名 时要 使用 粗体 大字 以示 尊敬,-1
TRAIN_SENT_ID_269699,,鲁元公主,刘邦,张耳 死后 被 谥 为 景王 ， 他 的 儿子 张敖 嗣立 为 王 ， 并 娶 了 刘邦 的 长女 鲁元公主 ， 成为 高祖 的 驸马 。,张耳 死后 谥 景王  儿子 张敖 嗣立 王  娶 人物二 长女 人物一  成为 高祖 驸马,-1
TRAIN_SENT_ID_282811,,李吉甫,李辅臣,李吉甫 故居 人物 简介 : 李吉甫 是 李辅臣 （ 天津 籍 人 ， 任仁 记 洋行 买办 而 发家 ， 人称 “ 仁记 李 ” ） 之子 ， 为 英商 仁记 洋行 买办 。,人物一 故居 人物 简介  人物一 人物二  天津 籍  任仁 记 洋行 买办 发家  人称  仁记 李   之子  英商 仁记 洋行 买办,-1
TRAIN_SENT_ID_254237,,曹襄,平阳公主,平阳公主 和 他生 了 个 儿子 名叫 曹襄 ， 曹襄 后来 娶 了 汉武帝 和 卫子夫 女 卫长公主 为妻 。,人物二 他生 儿子 名叫 人物一  人物一 后来 娶 汉武帝 卫子夫 女 卫长公主 为妻,-1
TRAIN_SENT_ID_281896,,赵统,赵云,正史 《 三国志 》 记载 赵云 去世 后 ， 赵统 袭爵 永昌 亭 侯 ， 官至 虎贲 中郎督 ， 加 行 领军 。,正史  三国志  记载 人物二 去世  人物一 袭爵 永昌 亭 侯  官至 虎贲 中郎督  加 行 领军,-1
TRAIN_SENT_ID_286452,,杜芊芊,杜世全,杜芊芊 人物 简介 : 杜芊芊 是 航业 巨子 杜世全 的 女儿 ， 生 在 一个 富裕 的 家庭 。,人物一 人物 简介  人物一 航业 巨子 人物二 女儿  生 一个 富裕 家庭,-1
TRAIN_SENT_ID_282767,,司马翼,司马孚,司马翼 系 司马孚 四子 ， 司马邕 的 弟弟 ， “ 武帝 未受 禅 而 卒 ” ， “ 承为 嗣 ， 封 南宫 县王 。,人物一 系 人物二 四子  司马邕 弟弟   武帝 未受 禅 卒    承为 嗣  封 南宫 县王,-1
TRAIN_SENT_ID_265359,,戚夫人,刘如意,司马迁 写 《 史记 》 时 ， 原来 意义 上 的 赵国 已 不复存在 ， 刘邦 封 自己 与 戚夫人 的 儿子 刘如意 为 赵王 ， 其 封地 就是 邯郸 。,司马迁 写  史记  时  原来 意义 赵国 不复存在  刘邦 封 人物一 儿子 人物二 赵王  封地 邯郸,-1
TRAIN_SENT_ID_278035,,李元霸,李渊,李元霸 李渊 之四子 ， 被 炀帝 封 为 赵王 ， 隋朝 第一条 好汉 。,人物一 人物二 之四子  炀帝 封 赵王  隋朝 第一条 好汉,-1
TRAIN_SENT_ID_286831,,刘元,邓晨,刘元 丈夫 : 邓晨 ， 东汉 官员 ， 官至 中山 太守 、 廷尉 ， 封 西华 侯 。,人物一 丈夫  人物二  东汉 官员  官至 中山 太守  廷尉  封 西华 侯,-1
TRAIN_SENT_ID_273020,,黄月英,黄承彦,黄月英 在 三国 时 归属 蜀国 ， 黄承彦 之女 ， 诸葛亮 之妻 ， 诸葛瞻 、 诸葛果 、 诸葛乔 （ 养子 ） 之母 。,人物一 三国 时 归属 蜀国  人物二 之女  诸葛亮 之妻  诸葛瞻  诸葛果  诸葛乔  养子  之母,-1
TRAIN_SENT_ID_275861,,孙霸,孙权,吴帝 封 孙霸 为鲁王 : 吴赤乌 五年 （ 242 ） 八月 ， 吴帝 孙权 封子 霸为 鲁王 。,吴帝 封 人物一 为鲁王  吴赤乌 五年    八月  吴帝 人物二 封子 霸为 鲁王,-1
TRAIN_SENT_ID_254244,,曹襄,平阳公主,平阳公主 和 曹寿 生有 一子 ， 名叫 曹襄 。,人物二 曹寿 生有 一子  名叫 人物一,-1
TRAIN_SENT_ID_259055,,刘备,刘禅,延至 四月 ， 刘备 逝世 ， 刘禅 继位 ， 封 诸葛亮 为 武乡侯 ， 开设 官府 办公 。,延至 四月  人物一 逝世  人物二 继位  封 诸葛亮 武乡侯  开设 官府 办公,-1
TRAIN_SENT_ID_251308,,廖仲恺,何香凝,作者简介 : 何香凝 ， 原名 何谏 ， 号 双清 楼主 ， 广东 南海 人 ， 廖仲恺 夫人 。,作者简介  人物二  原名 何谏  号 双清 楼主  广东 南海  人物一 夫人,-1
TRAIN_SENT_ID_284868,,伯姬,鲁宣公,宋共公 6 年 ( 公元前 583 ) 春 ， 遣 执政 大夫 华元 到 鲁国 说亲 ， 欲 娶 鲁宣公 之女 伯姬 为妻 ； 同年 夏天 ， 又 派 公孙寿 送 去 订婚 礼物 。,宋共公  年  公元前   春  遣 执政 大夫 华元 鲁国 说亲  欲 娶 人物二 之女 人物一 为妻  同年 夏天  派 公孙寿 送 订婚 礼物,-1
TRAIN_SENT_ID_258570,,刘禅,刘备,[ 6 - 7 ] 北伐 建功 : 公元 223 年 （ 章武 三年 ） ， 刘备 逝世 ， 太子 刘禅 继位 ， 改元 建兴 。,北伐 建功  公元  年  章武 三年   人物二 逝世  太子 人物一 继位  改元 建兴,-1
TRAIN_SENT_ID_262032,,李纨,贾兰,李纨 ： 气昂昂 头戴 簪缨 ， 昏惨惨 黄泉路 近 — — 贾兰 中 了 武举 ， 战死沙场 ； 李纨 受命 诰封 ， 伤心 而亡 。,人物一  气昂昂 头戴 簪缨  昏惨惨 黄泉路 近   人物二 中 武举  战死沙场  人物一 受命 诰封  伤心 而亡,-1
TRAIN_SENT_ID_270315,,宣姜,卫宣公,而鲁诗 则 认为 是 卫宣公 夫人 宣姜 为 让 自己 的 儿子 寿 继位 而 欲 杀 太子 伋 ， 寿为 救 伋 ， 亦 死 ， 后人 伤 之 ， 为 作此 诗 。,而鲁诗 认为 人物二 夫人 人物一 儿子 寿 继位 欲 杀 太子 伋  寿为 救 伋  死  后人 伤  作此 诗,-1
TRAIN_SENT_ID_270228,,谭江柏,谭咏麟,谭咏麟 ， 绰号 「 谭 校长 」 ， 为 已故 足球 名宿 谭江柏 之子 ， 生于 香港 ， 籍贯 广东 新 会 ， 是 香港 流行 乐坛 殿堂 级 歌手 ， 音乐 人 与 电影演员 。,人物二  绰号  谭 校长   已故 足球 名宿 人物一 之子  生于 香港  籍贯 广东 新 会  香港 流行 乐坛 殿堂 级 歌手  音乐 电影演员,-1
TRAIN_SENT_ID_268622,,潘金莲,武大郎,《 水浒传 》 上 的 潘金莲 、 武大郎 的 婚姻 悲剧 ， 发生 在 封建王朝 时代 ， 而 这个 悲剧 却 发生 在 解放后 的 新 中国 。,水浒传  人物一  人物二 婚姻 悲剧  发生 封建王朝 时代  悲剧 发生 解放后 新 中国,-1
