rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
586,人物一/后主/人物二,.*人物一.*后主.*人物二.*,26,-1,3373,4318,-1
694,人物二/人物一/一同,.*人物二.*人物一.*一同.*,25,0,5379,4304,1
721,人物一/人物二/一同,.*人物一.*人物二.*一同.*,24,0,5378,4304,1
727,人物一/人物二/弟弟,.*人物一.*人物二.*弟弟.*,24,-1,3241,4089,-1
731,人物一/人物二/继位,.*人物一.*人物二.*继位.*,24,-1,4837,5242,-1
734,人物一/诸葛亮/人物二,.*人物一.*诸葛亮.*人物二.*,24,-1,3036,3569,-1
736,人物二/人物一/一家,.*人物二.*人物一.*一家.*,24,0,6349,5408,1
738,人物二/人物一/历史,.*人物二.*人物一.*历史.*,24,0,3674,3275,1
739,人物二/人物一/回到,.*人物二.*人物一.*回到.*,24,0,5348,3777,1
740,人物二/人物一/娶,.*人物二.*人物一.*娶.*,24,0,3216,3933,-1
742,人物二/人物一/见,.*人物二.*人物一.*见.*,24,0,4418,2888,1
748,人物二/生下/人物一,.*人物二.*生下.*人物一.*,24,-1,6094,5486,1
749,人物二/老婆/人物一,.*人物二.*老婆.*人物一.*,24,1,6323,4860,1
751,剧情/人物二/人物一,.*剧情.*人物二.*人物一.*,24,0,4498,3734,1
754,娶/人物二/人物一,.*娶.*人物二.*人物一.*,24,-1,3211,3933,-1
765,个人/月/人物一/人物二,.*个人.*月.*人物一.*人物二.*,23,1,4523,2462,1
766,个人/生活/月/人物一/人物二,.*个人.*生活.*月.*人物一.*人物二.*,23,1,4208,1953,1
767,中/人物/人物二/人物一,.*中.*人物.*人物二.*人物一.*,23,-1,506,602,-1
768,亚洲/人物二/父亲/人物一,.*亚洲.*人物二.*父亲.*人物一.*,23,-1,3044,3264,-1
769,亚洲/天王/人物二/人物一,.*亚洲.*天王.*人物二.*人物一.*,23,-1,6175,5530,1
770,人物一/人物二/主演,.*人物一.*人物二.*主演.*,23,1,2546,1101,1
771,人物一/人物二/即位,.*人物一.*人物二.*即位.*,23,-1,4553,5172,-1
772,人物一/人物二/王,.*人物一.*人物二.*王.*,23,0,1789,3170,-1
773,人物一/人物二/诗,.*人物一.*人物二.*诗.*,23,1,3553,3335,1
774,人物一/发现/人物二,.*人物一.*发现.*人物二.*,23,1,5362,3307,1
775,人物一/妈妈/人物二,.*人物一.*妈妈.*人物二.*,23,0,5950,3507,1
776,人物一/家庭成员/父亲/人物二,.*人物一.*家庭成员.*父亲.*人物二.*,23,-1,1170,2076,-1
777,人物一/年/人物二/结婚,.*人物一.*年.*人物二.*结婚.*,23,1,4215,2464,1
778,人物一/杀/人物二,.*人物一.*杀.*人物二.*,23,0,3073,2479,1
779,人物一/父/人物二,.*人物一.*父.*人物二.*,23,-1,1174,2470,-1
780,人物一/认识/人物二,.*人物一.*认识.*人物二.*,23,1,6605,4663,1
781,人物二/上海/人物一,.*人物二.*上海.*人物一.*,23,1,6431,4284,1
782,人物二/之子/人物一/人物二,.*人物二.*之子.*人物一.*人物二.*,23,-1,606,1574,-1
783,人物二/人物一/不能,.*人物二.*人物一.*不能.*,23,0,5107,4028,1
785,人物二/人物一/前,.*人物二.*人物一.*前.*,23,1,3032,2829,1
786,人物二/人物一/照片,.*人物二.*人物一.*照片.*,23,1,6836,5105,1
787,人物二/人物一/诗,.*人物二.*人物一.*诗.*,23,0,3548,3337,1
788,人物二/人物一/身边,.*人物二.*人物一.*身边.*,23,0,6111,4472,1
789,人物二/人物一/道,.*人物二.*人物一.*道.*,23,0,3618,2292,1
790,人物二/传/人物一,.*人物二.*传.*人物一.*,23,0,2857,3480,-1
791,人物二/儿子/人物一/人物二,.*人物二.*儿子.*人物一.*人物二.*,23,-1,1200,2243,-1
792,人物二/其父/人物一,.*人物二.*其父.*人物一.*,23,-1,4535,5384,-1
793,人物二/兼/人物一,.*人物二.*兼.*人物一.*,23,-1,4764,5079,-1
794,人物二/生于/香港/人物一,.*人物二.*生于.*香港.*人物一.*,23,-1,4194,3736,1
795,人物二/皇后/人物一,.*人物二.*皇后.*人物一.*,23,-1,2404,4553,-1
796,人物二/终于/人物一,.*人物二.*终于.*人物一.*,23,0,5068,2727,1
797,人物二/著名/人物一/母亲,.*人物二.*著名.*人物一.*母亲.*,23,-1,2524,3120,-1
798,人物二/著名/歌手/人物一,.*人物二.*著名.*歌手.*人物一.*,23,-1,4045,3063,1
799,人物二/著名/父亲/人物一,.*人物二.*著名.*父亲.*人物一.*,23,-1,1832,2833,-1
800,人物二/逝世/人物一,.*人物二.*逝世.*人物一.*,23,-1,5680,5534,1
801,传/人物一/人物二,.*传.*人物一.*人物二.*,23,0,2861,3479,-1
802,传/人物二/人物一,.*传.*人物二.*人物一.*,23,0,2867,3496,-1
804,基本/人物二/人物一,.*基本.*人物二.*人物一.*,23,-1,5331,4825,1
805,嫁给/人物二/人物一,.*嫁给.*人物二.*人物一.*,23,-1,4612,4835,-1
806,年/人物一/人物二/婚礼,.*年.*人物一.*人物二.*婚礼.*,23,1,4930,2763,1
807,当年/人物一/人物二,.*当年.*人物一.*人物二.*,23,0,4336,3317,1
808,拍摄/人物二/人物一,.*拍摄.*人物二.*人物一.*,23,1,6460,3725,1
809,最后/人物二/人物一,.*最后.*人物二.*人物一.*,23,0,4370,3039,1
811,杀/人物一/人物二,.*杀.*人物一.*人物二.*,23,0,3073,2474,1
817,年/月/人物二/人物一/人物二,.*年.*月.*人物二.*人物一.*人物二.*,22,1,3436,1871,1
