rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
0.0,年/人物二/人物一,.*年.*人物二.*人物一.*,63,0.0,506.0,507.0,-1
1.0,年/人物一/人物二,.*年.*人物一.*人物二.*,55,0.0,500.0,493.0,1
2.0,月/人物一/人物二,.*月.*人物一.*人物二.*,35,1.0,457.0,301.0,1
3.0,人物一/人物二/结婚,.*人物一.*人物二.*结婚.*,31,1.0,722.0,625.0,1
4.0,人物二/妻子/人物一,.*人物二.*妻子.*人物一.*,31,1.0,267.0,192.0,1
5.0,年/月/人物一/人物二,.*年.*月.*人物一.*人物二.*,31,1.0,390.0,239.0,1
6.0,人物一/年/人物二,.*人物一.*年.*人物二.*,26,0.0,498.0,487.0,1
7.0,人物二/夫人/人物一,.*人物二.*夫人.*人物一.*,24,1.0,256.0,248.0,1
8.0,月/人物二/人物一,.*月.*人物二.*人物一.*,24,1.0,456.0,305.0,1
9.0,人物一/人物二/年,.*人物一.*人物二.*年.*,22,0.0,500.0,489.0,1
10.0,人物二/儿子/人物一,.*人物二.*儿子.*人物一.*,22,-1.0,29.0,254.0,-1
11.0,人物一/人物/人物二,.*人物一.*人物.*人物二.*,21,0.0,113.0,249.0,-1
12.0,年/月/人物二/人物一,.*年.*月.*人物二.*人物一.*,21,0.0,389.0,240.0,1
13.0,日/人物一/人物二,.*日.*人物一.*人物二.*,21,1.0,432.0,287.0,1
14.0,人物一/人物二/之子,.*人物一.*人物二.*之子.*,20,-1.0,4.0,194.0,-1
15.0,月/日/人物一/人物二,.*月.*日.*人物一.*人物二.*,20,0.0,291.0,99.0,1
16.0,人物一/父亲/人物二,.*人物一.*父亲.*人物二.*,19,-1.0,63.0,215.0,-1
17.0,人物一/人物二/儿子,.*人物一.*人物二.*儿子.*,18,0.0,31.0,247.0,-1
18.0,人物一/妻子/人物二,.*人物一.*妻子.*人物二.*,18,1.0,265.0,191.0,1
19.0,人物二/年/人物一,.*人物二.*年.*人物一.*,18,0.0,498.0,487.0,1
20.0,年/日/人物一/人物二,.*年.*日.*人物一.*人物二.*,18,1.0,400.0,249.0,1
21.0,年/月/日/人物一/人物二,.*年.*月.*日.*人物一.*人物二.*,18,1.0,312.0,130.0,1
22.0,日/人物二/人物一,.*日.*人物二.*人物一.*,18,1.0,429.0,286.0,1
23.0,月/日/人物二/人物一,.*月.*日.*人物二.*人物一.*,18,1.0,291.0,98.0,1
24.0,人物一/夫人/人物二,.*人物一.*夫人.*人物二.*,16,1.0,254.0,239.0,1
25.0,年/日/人物二/人物一,.*年.*日.*人物二.*人物一.*,16,1.0,400.0,248.0,1
26.0,年/月/日/人物二/人物一,.*年.*月.*日.*人物二.*人物一.*,16,1.0,312.0,129.0,1
27.0,人物二/之子/人物一,.*人物二.*之子.*人物一.*,15,-1.0,4.0,195.0,-1
28.0,人物二/长子/人物一,.*人物二.*长子.*人物一.*,15,-1.0,150.0,555.0,-1
29.0,人物/人物一/人物二,.*人物.*人物一.*人物二.*,14,0.0,131.0,271.0,-1
30.0,人物二/娶/人物一,.*人物二.*娶.*人物一.*,14,1.0,313.0,750.0,-1
31.0,中/人物一/人物二,.*中.*人物一.*人物二.*,13,0.0,47.0,113.0,-1
32.0,人物/人物二/人物一,.*人物.*人物二.*人物一.*,13,0.0,125.0,257.0,-1
33.0,人物一/人物二/女儿,.*人物一.*人物二.*女儿.*,13,-1.0,66.0,189.0,-1
34.0,人物一/人物二/子,.*人物一.*人物二.*子.*,13,-1.0,108.0,599.0,-1
35.0,人物二/丈夫/人物一,.*人物二.*丈夫.*人物一.*,13,1.0,427.0,680.0,-1
36.0,人物二/人物一/年,.*人物二.*人物一.*年.*,13,0.0,503.0,496.0,1
37.0,人物二/人物一/结婚,.*人物二.*人物一.*结婚.*,13,1.0,721.0,625.0,1
38.0,人物二/女儿/人物一,.*人物二.*女儿.*人物一.*,13,-1.0,63.0,187.0,-1
39.0,年/人物一/人物二/结婚,.*年.*人物一.*人物二.*结婚.*,13,1.0,626.0,476.0,1
40.0,中/人物二/人物一,.*中.*人物二.*人物一.*,12,0.0,53.0,131.0,-1
41.0,人物一/人物二/之妻,.*人物一.*人物二.*之妻.*,12,1.0,351.0,856.0,-1
42.0,人物一/人物二/妻子,.*人物一.*人物二.*妻子.*,12,1.0,261.0,194.0,1
43.0,人物一/人物二/离婚,.*人物一.*人物二.*离婚.*,12,1.0,758.0,778.0,-1
44.0,人物二/人物一/妻子,.*人物二.*人物一.*妻子.*,12,1.0,261.0,191.0,1
45.0,人物二/月/人物一,.*人物二.*月.*人物一.*,12,0.0,458.0,301.0,1
46.0,人物一/丈夫/人物二,.*人物一.*丈夫.*人物二.*,11,1.0,425.0,680.0,-1
47.0,人物一/中/人物二,.*人物一.*中.*人物二.*,11,0.0,46.0,117.0,-1
48.0,人物一/儿子/人物二,.*人物一.*儿子.*人物二.*,11,-1.0,29.0,248.0,-1
49.0,人物一/女儿/人物二,.*人物一.*女儿.*人物二.*,11,-1.0,60.0,186.0,-1
50.0,人物二/人物一/之子,.*人物二.*人物一.*之子.*,11,-1.0,4.0,199.0,-1
51.0,人物二/人物一/儿子,.*人物二.*人物一.*儿子.*,11,0.0,31.0,248.0,-1
52.0,人物二/人物一/女儿,.*人物二.*人物一.*女儿.*,11,0.0,62.0,188.0,-1
53.0,人物二/时/人物一,.*人物二.*时.*人物一.*,11,0.0,38.0,45.0,-1
54.0,生活/人物一/人物二,.*生活.*人物一.*人物二.*,11,1.0,597.0,497.0,1
55.0,个人/人物一/人物二,.*个人.*人物一.*人物二.*,10,1.0,746.0,840.0,-1
56.0,人物一/人物二/中,.*人物一.*人物二.*中.*,10,0.0,52.0,125.0,-1
57.0,人物一/时/人物二,.*人物一.*时.*人物二.*,10,-1.0,34.0,55.0,-1
58.0,人物一/月/人物二,.*人物一.*月.*人物二.*,10,-1.0,456.0,301.0,1
59.0,人物二/中/人物一,.*人物二.*中.*人物一.*,10,-1.0,44.0,123.0,-1
60.0,人物二/人物一/夫妻,.*人物二.*人物一.*夫妻.*,10,1.0,346.0,426.0,-1
61.0,人物二/子/人物一,.*人物二.*子.*人物一.*,10,-1.0,133.0,660.0,-1
62.0,人物二/母亲/人物一,.*人物二.*母亲.*人物一.*,10,-1.0,194.0,321.0,-1
63.0,人物二/生/人物一,.*人物二.*生.*人物一.*,10,-1.0,206.0,543.0,-1
64.0,个人/生活/人物一/人物二,.*个人.*生活.*人物一.*人物二.*,9,1.0,591.0,383.0,1
65.0,人物一/人物二/两人,.*人物一.*人物二.*两人.*,9,1.0,563.0,534.0,1
66.0,人物一/人物二/婚礼,.*人物一.*人物二.*婚礼.*,9,1.0,708.0,684.0,1
67.0,人物一/人物二/月,.*人物一.*人物二.*月.*,9,0.0,456.0,298.0,1
68.0,人物一/年/月/人物二,.*人物一.*年.*月.*人物二.*,9,-1.0,389.0,238.0,1
69.0,人物二/人物/人物一,.*人物二.*人物.*人物一.*,9,0.0,117.0,262.0,-1
70.0,人物二/人物一/两人,.*人物二.*人物一.*两人.*,9,1.0,563.0,533.0,1
71.0,人物二/人物一/中,.*人物二.*人物一.*中.*,9,0.0,58.0,134.0,-1
72.0,人物二/人物一/为妻,.*人物二.*人物一.*为妻.*,9,1.0,472.0,1024.0,-1
73.0,人物二/人物一/父子,.*人物二.*人物一.*父子.*,9,-1.0,248.0,630.0,-1
74.0,人物二/年/月/人物一,.*人物二.*年.*月.*人物一.*,9,-1.0,390.0,236.0,1
75.0,人物二/结婚/人物一,.*人物二.*结婚.*人物一.*,9,0.0,721.0,625.0,1
76.0,夫人/人物二/人物一,.*夫人.*人物二.*人物一.*,9,0.0,254.0,238.0,1
77.0,年/月/人物一/人物二/结婚,.*年.*月.*人物一.*人物二.*结婚.*,9,1.0,480.0,253.0,1
78.0,月/人物一/人物二/结婚,.*月.*人物一.*人物二.*结婚.*,9,1.0,561.0,314.0,1
79.0,人物一/人物二/之女,.*人物一.*人物二.*之女.*,8,-1.0,122.0,428.0,-1
80.0,人物一/人物二/夫人,.*人物一.*人物二.*夫人.*,8,1.0,253.0,240.0,1
81.0,人物一/人物二/夫妻,.*人物一.*人物二.*夫妻.*,8,1.0,348.0,426.0,-1
82.0,人物一/人物二/时,.*人物一.*人物二.*时.*,8,0.0,37.0,43.0,-1
83.0,人物一/人物二/次子,.*人物一.*人物二.*次子.*,8,-1.0,306.0,830.0,-1
84.0,人物二/人物一/时,.*人物二.*人物一.*时.*,8,0.0,38.0,51.0,-1
85.0,人物二/人物一/说,.*人物二.*人物一.*说.*,8,0.0,48.0,103.0,-1
86.0,人物二/女/人物一,.*人物二.*女.*人物一.*,8,-1.0,332.0,711.0,-1
87.0,人物二/日/人物一,.*人物二.*日.*人物一.*,8,0.0,429.0,286.0,1
88.0,人物二/月/日/人物一,.*人物二.*月.*日.*人物一.*,8,-1.0,291.0,98.0,1
89.0,人物二/没有/人物一,.*人物二.*没有.*人物一.*,8,1.0,343.0,508.0,-1
90.0,人物二/父亲/人物一,.*人物二.*父亲.*人物一.*,8,-1.0,62.0,216.0,-1
91.0,人物二/著名/人物一,.*人物二.*著名.*人物一.*,8,0.0,413.0,755.0,-1
92.0,前/人物二/人物一,.*前.*人物二.*人物一.*,8,0.0,324.0,562.0,-1
93.0,年/人物二/人物一/结婚,.*年.*人物二.*人物一.*结婚.*,8,1.0,626.0,476.0,1
94.0,时/人物二/人物一,.*时.*人物二.*人物一.*,8,0.0,37.0,57.0,-1
95.0,著名/人物二/人物一,.*著名.*人物二.*人物一.*,8,-1.0,413.0,755.0,-1
96.0,人物一/个人/人物二,.*人物一.*个人.*人物二.*,7,1.0,746.0,840.0,-1
97.0,人物一/之妻/人物二,.*人物一.*之妻.*人物二.*,7,1.0,352.0,856.0,-1
98.0,人物一/人物/人物一/人物二,.*人物一.*人物.*人物一.*人物二.*,7,0.0,128.0,338.0,-1
99.0,人物一/人物二/为妻,.*人物一.*人物二.*为妻.*,7,1.0,472.0,1024.0,-1
100.0,人物一/人物二/年/月,.*人物一.*人物二.*年.*月.*,7,0.0,389.0,236.0,1
101.0,人物一/人物二/育有,.*人物一.*人物二.*育有.*,7,1.0,718.0,967.0,-1
102.0,人物一/人物二/说,.*人物一.*人物二.*说.*,7,0.0,49.0,106.0,-1
103.0,人物一/生活/人物二,.*人物一.*生活.*人物二.*,7,1.0,596.0,497.0,1
104.0,人物二/人物一/丈夫,.*人物二.*人物一.*丈夫.*,7,1.0,426.0,680.0,-1
105.0,人物二/人物一/岁,.*人物二.*人物一.*岁.*,7,0.0,599.0,686.0,-1
106.0,人物二/人物一/父亲,.*人物二.*人物一.*父亲.*,7,-1.0,62.0,212.0,-1
107.0,人物二/妻/人物一,.*人物二.*妻.*人物一.*,7,1.0,337.0,764.0,-1
108.0,人物二/年/日/人物一,.*人物二.*年.*日.*人物一.*,7,-1.0,400.0,248.0,1
109.0,人物二/年/月/日/人物一,.*人物二.*年.*月.*日.*人物一.*,7,-1.0,312.0,129.0,1
110.0,人物二/次子/人物一,.*人物二.*次子.*人物一.*,7,-1.0,306.0,830.0,-1
111.0,后来/人物一/人物二,.*后来.*人物一.*人物二.*,7,-1.0,330.0,627.0,-1
112.0,女儿/人物二/人物一,.*女儿.*人物二.*人物一.*,7,0.0,60.0,184.0,-1
113.0,妻子/人物一/人物二,.*妻子.*人物一.*人物二.*,7,1.0,259.0,191.0,1
114.0,三国/人物二/人物一,.*三国.*人物二.*人物一.*,6,-1.0,149.0,683.0,-1
115.0,人物一/个人/生活/人物二,.*人物一.*个人.*生活.*人物二.*,6,1.0,591.0,383.0,1
