rule_id,rule,frequence,label
0,年/人物二/人物一,84,0
1,人物一/人物二/弟子,57,0
2,人物二/弟子/人物一,57,0
3,年/人物一/人物二,53,0
4,人物二/说/人物一,42,0
5,人物一/年/人物二,36,0
6,人物二/人物一/说,26,0
7,中/人物一/人物二,25,0
8,人物/人物二/人物一,25,0
9,人物一/人物二/学生,25,0
10,中/人物二/人物一,24,0
11,人物/人物一/人物二,22,0
12,人物一/人物/人物二,22,0
13,人物一/人物二/说,22,0
14,人物二/弟弟/人物一,22,0
15,人物一/中/人物二,21,0
16,人物一/人物二/中,21,0
17,人物一/人物二/得意,21,0
18,人物二/人物一/中,20,0
19,人物一/子路/人物二,19,0
20,月/人物二/人物一,19,0
21,钟离/人物一/人物二,19,0
22,铁拐李/人物一/人物二,19,0
23,人物一/人物二/年,18,0
24,人物一/拜/人物二,18,0
25,人物二/中/人物一,18,0
26,人物二/人物一/妹妹,18,0
27,人物二/哥哥/人物一,18,0
28,汉/人物一/人物二,18,0
29,人物一/人物二/曹国舅,17,0
30,八仙/人物一/人物二,17,0
31,汉/钟离/人物一/人物二,17,0
32,人物一/人物二/为师,16,0
33,人物一/人物二/何仙姑,16,0
34,人物一/人物二/得意/弟子,16,0
35,人物二/人物一/年,16,0
36,人物二/徒弟/人物一,16,0
37,人物一/人物二/学习,15,0
38,人物一/人物二/成为,15,0
39,人物一/字/人物二,15,0
40,人物一/拜/人物二/为师,15,0
41,人物一/说/人物二,15,0
42,人物二/人物一/王姬,15,0
43,人物二/学生/人物一,15,0
44,人物二/时/人物一,15,0
45,人物二/昌/人物一,15,0
46,人物二/昌/人物一/王姬,15,0
47,人物二/王姬/人物一,15,0
48,人物二/王姬/人物一/王姬,15,0
49,人物二/王姬/昌/人物一,15,0
50,人物二/王姬/昌/人物一/王姬,15,0
51,人物一/人物二/兄弟,14,0
52,人物一/人物二/徒弟,14,0
53,人物一/人物二/道,14,0
54,人物二/人物一/发,14,0
55,人物二/人物一/没有,14,0
56,铁拐李/汉/人物一/人物二,14,0
57,铁拐李/汉/钟离/人物一/人物二,14,0
58,铁拐李/钟离/人物一/人物二,14,0
59,中国/人物二/人物一,13,0
60,人物一/字/子路/人物二,13,0
61,人物一/鲁国/人物二,13,0
62,人物二/人物一/一个,13,0
63,人物二/人物一/兄弟,13,0
64,人物二/人物一/弟子,13,0
65,人物二/人物一/王姬/发,13,0
66,人物二/女儿/人物一,13,0
67,人物二/妹妹/人物一,13,0
68,人物二/子/人物一,13,0
69,人物二/昌/人物一/发,13,0
70,人物二/昌/人物一/王姬/发,13,0
71,人物二/王姬/人物一/发,13,0
72,人物二/王姬/人物一/王姬/发,13,0
73,人物二/王姬/昌/人物一/发,13,0
74,人物二/王姬/昌/人物一/王姬/发,13,0
75,八仙/铁拐李/人物一/人物二,13,0
76,年/月/人物二/人物一,13,0
77,弟子/人物一/人物二,13,0
78,月/人物一/人物二,13,0
79,铁拐李/人物一/人物二/曹国舅,13,0
80,人物一/人物二/弟弟,12,0
81,人物一/蓝采和/人物二,12,0
82,人物二/人物一/学生,12,0
83,人物二/年/人物一,12,0
84,八仙/钟离/人物一/人物二,12,0
85,张果老/人物一/人物二,12,0
86,汉/人物一/人物二/曹国舅,12,0
87,汉/钟离/人物一/人物二/曹国舅,12,0
88,钟离/人物一/人物二/曹国舅,12,0
89,人物二/人物一/中国,11,0
90,人物二/人物一/时,11,0
91,介绍/人物二/人物一,11,0
92,八仙/人物一/人物二/曹国舅,11,0
93,八仙/汉/人物一/人物二,11,0
94,八仙/汉/钟离/人物一/人物二,11,0
95,导演/人物二/人物一,11,0
96,日/人物二/人物一,11,0
97,月/日/人物二/人物一,11,0
98,演员/人物二/人物一,11,0
99,著名/人物二/人物一,11,0
100,铁拐李/汉/人物一/人物二/曹国舅,11,0
101,铁拐李/汉/钟离/人物一/人物二/曹国舅,11,0
102,铁拐李/钟离/人物一/人物二/曹国舅,11,0
