rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
486,人物一/人物二/中国,.*人物一.*人物二.*中国.*,15,-1,265,469,-1
488,人物一/人物二/便,.*人物一.*人物二.*便.*,15,0,1234,1239,-1
524,两个/人物二/人物一,.*两个.*人物二.*人物一.*,14,-1,1311,1551,-1
525,人物一/人物二/之弟,.*人物一.*人物二.*之弟.*,14,-1,1362,1631,-1
527,人物一/人物二/姐姐,.*人物一.*人物二.*姐姐.*,14,-1,962,1523,-1
528,人物一/人物二/性格,.*人物一.*人物二.*性格.*,14,1,1577,1665,-1
529,人物一/人物二/故事,.*人物一.*人物二.*故事.*,14,-1,1160,1422,-1
532,人物一/年/人物二/弟子,.*人物一.*年.*人物二.*弟子.*,14,1,1271,1330,-1
539,人物二/人物一/做,.*人物二.*人物一.*做.*,14,0,1410,1404,1
563,中国/人物一/人物二,.*中国.*人物一.*人物二.*,13,1,270,462,-1
564,人物/生平/人物二/人物一,.*人物.*生平.*人物二.*人物一.*,13,-1,79,259,-1
565,人物/经历/人物二/人物一,.*人物.*经历.*人物二.*人物一.*,13,-1,80,259,-1
566,人物一/之子/人物二,.*人物一.*之子.*人物二.*,13,-1,58,185,-1
567,人物一/人物一/人物二/弟子,.*人物一.*人物一.*人物二.*弟子.*,13,1,1209,1031,1
568,人物一/人物一/年/人物二,.*人物一.*人物一.*年.*人物二.*,13,0,812,1255,-1
569,人物一/人物二/主演,.*人物一.*人物二.*主演.*,13,-1,669,855,-1
570,人物一/人物二/做,.*人物一.*人物二.*做.*,13,0,1411,1403,1
571,人物一/人物二/告辞,.*人物一.*人物二.*告辞.*,13,1,1662,1775,-1
572,人物一/人物二/女儿,.*人物一.*人物二.*女儿.*,13,-1,85,374,-1
573,人物一/人物二/学习/人物二,.*人物一.*人物二.*学习.*人物二.*,13,1,1529,1522,1
574,人物一/人物二/得意门生,.*人物一.*人物二.*得意门生.*,13,1,1815,1851,-1
575,人物一/人物二/德行,.*人物一.*人物二.*德行.*,13,1,1791,1754,1
576,人物一/人物二/未穷,.*人物一.*人物二.*未穷.*,13,1,1815,1608,1
577,人物一/人物二/未穷/辞,.*人物一.*人物二.*未穷.*辞.*,13,1,1634,1289,1
578,人物一/人物二/未穷/遂,.*人物一.*人物二.*未穷.*遂.*,13,1,1609,1301,1
579,人物一/人物二/未穷/遂/辞,.*人物一.*人物二.*未穷.*遂.*辞.*,13,1,1402,991,1
580,人物一/人物二/未穷/青之技,.*人物一.*人物二.*未穷.*青之技.*,13,1,1665,1267,1
581,人物一/人物二/未穷/青之技/辞,.*人物一.*人物二.*未穷.*青之技.*辞.*,13,1,1375,924,1
582,人物一/人物二/未穷/青之技/遂,.*人物一.*人物二.*未穷.*青之技.*遂.*,13,1,1411,972,1
583,人物一/人物二/未穷/青之技/遂/辞,.*人物一.*人物二.*未穷.*青之技.*遂.*辞.*,13,1,1166,741,1
584,人物一/人物二/辞,.*人物一.*人物二.*辞.*,13,1,1716,1550,1
585,人物一/人物二/遂/辞,.*人物一.*人物二.*遂.*辞.*,13,1,1495,1247,1
586,人物一/人物二/青之技,.*人物一.*人物二.*青之技.*,13,1,1786,1597,1
587,人物一/人物二/青之技/辞,.*人物一.*人物二.*青之技.*辞.*,13,1,1595,1257,1
588,人物一/人物二/青之技/遂,.*人物一.*人物二.*青之技.*遂.*,13,1,1580,1282,1
589,人物一/人物二/青之技/遂/辞,.*人物一.*人物二.*青之技.*遂.*辞.*,13,1,1354,969,1
590,人物一/介绍/人物二,.*人物一.*介绍.*人物二.*,13,-1,845,1309,-1
591,人物一/子路/人物二/得意,.*人物一.*子路.*人物二.*得意.*,13,1,1781,1714,1
592,人物一/字/人物二/得意,.*人物一.*字.*人物二.*得意.*,13,1,1389,1370,1
593,人物一/字/子路/人物二/得意,.*人物一.*字.*子路.*人物二.*得意.*,13,1,1280,1066,1
594,人物一/学/人物二/未穷,.*人物一.*学.*人物二.*未穷.*,13,1,1753,1270,1
595,人物一/学/人物二/未穷/辞,.*人物一.*学.*人物二.*未穷.*辞.*,13,1,1597,1036,1
596,人物一/学/人物二/未穷/遂,.*人物一.*学.*人物二.*未穷.*遂.*,13,1,1583,1068,1
597,人物一/学/人物二/未穷/遂/辞,.*人物一.*学.*人物二.*未穷.*遂.*辞.*,13,1,1393,821,1
598,人物一/学/人物二/未穷/青之技,.*人物一.*学.*人物二.*未穷.*青之技.*,13,1,1556,953,1
599,人物一/学/人物二/未穷/青之技/辞,.*人物一.*学.*人物二.*未穷.*青之技.*辞.*,13,1,1306,744,1
600,人物一/学/人物二/未穷/青之技/遂,.*人物一.*学.*人物二.*未穷.*青之技.*遂.*,13,1,1384,786,1
601,人物一/学/人物二/辞,.*人物一.*学.*人物二.*辞.*,13,1,1764,1320,1
602,人物一/学/人物二/遂,.*人物一.*学.*人物二.*遂.*,13,1,1643,1269,1
603,人物一/学/人物二/遂/辞,.*人物一.*学.*人物二.*遂.*辞.*,13,1,1541,1084,1
604,人物一/学/人物二/青之技,.*人物一.*学.*人物二.*青之技.*,13,1,1757,1288,1
605,人物一/学/人物二/青之技/辞,.*人物一.*学.*人物二.*青之技.*辞.*,13,1,1569,1000,1
606,人物一/学/人物二/青之技/遂,.*人物一.*学.*人物二.*青之技.*遂.*,13,1,1571,1066,1
607,人物一/学/人物二/青之技/遂/辞,.*人物一.*学.*人物二.*青之技.*遂.*辞.*,13,1,1368,808,1
608,人物一/岁/人物二,.*人物一.*岁.*人物二.*,13,0,825,1261,-1
609,人物一/张果老/人物二/蓝采和,.*人物一.*张果老.*人物二.*蓝采和.*,13,1,1287,1355,-1
610,人物一/汉/人物二,.*人物一.*汉.*人物二.*,13,1,1546,1629,-1
611,人物一/生于/人物二,.*人物一.*生于.*人物二.*,13,0,970,1424,-1
612,人物一/经历/人物一/人物二,.*人物一.*经历.*人物一.*人物二.*,13,-1,1192,1509,-1
613,人物二/人物一/为徒,.*人物二.*人物一.*为徒.*,13,1,1677,1833,-1
614,人物二/人物一/主演,.*人物二.*人物一.*主演.*,13,0,669,855,-1
615,人物二/人物一/成,.*人物二.*人物一.*成.*,13,0,967,1261,-1
616,人物二/人物一/成为,.*人物二.*人物一.*成为.*,13,-1,704,920,-1
617,人物二/人物一/问,.*人物二.*人物一.*问.*,13,1,1585,1393,1
618,人物二/同治/写给/人物一,.*人物二.*同治.*写给.*人物一.*,13,-1,1250,1628,-1
619,人物二/听/人物一,.*人物二.*听.*人物一.*,13,1,1557,1508,1
620,人物二/岁/人物一,.*人物二.*岁.*人物一.*,13,0,828,1262,-1
622,人物二/弟子/人物一/人物二,.*人物二.*弟子.*人物一.*人物二.*,13,1,1224,1054,1
