sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_267432,陆展元,陆立鼎,陆家庄 : 陆家庄 在 《 神雕 》 中是 陆展元 、 陆立鼎 两 兄弟 的 庄院 ， 小说 第一回 中 写道 的 故事情节 就是 在 这府院 发生 的 。,陆家庄  陆家庄  神雕  中是 人物一  人物二 两 兄弟 庄院  小说 第一回 中 写道 故事情节 这府院 发生,-1
TRAIN_SENT_ID_258173,李宏毅,李明霖,李宏毅 个人 生活 : 李弘毅 哥哥 李明霖 ， 音乐 制作 人 、 唱作 人 、 歌手 。,人物一 个人 生活  李弘毅 哥哥 人物二  音乐 制作  唱作  歌手,-1
TRAIN_SENT_ID_277001,樊迟,孔子,（ 6 ） 自尽 ： 尽 自己 最大 的 心力 ． （ 7 ） 曾子 曰 ： 这 几句话 在 《 论语 为政 》 中是 孔子 对 樊迟 说 的 。,自尽  最大 心力 ．    曾子 曰  几句话  论语 为政  中是 人物二 人物一 说,1
TRAIN_SENT_ID_277568,袁承志,穆人清,男 ， 金庸 小说 《 碧血剑 》 人物 外号 五丁 手 ， 神拳 无敌 归辛树 徒弟 ， 穆人清 徒孙 ， 袁承志 的 师侄,男  金庸 小说  碧血剑  人物 外号 五丁 手  神拳 无敌 归辛树 徒弟  人物二 徒孙  人物一 师侄,1
TRAIN_SENT_ID_252543,颜回,孔子,颜回 以 品德 操守 高尚 闻名 ， 孔子 称赞 他 仁爱 。,人物一 品德 操守 高尚 闻名  人物二 称赞 仁爱,1
TRAIN_SENT_ID_275926,孙莹莹,孙芸芸,孙莹莹 个人 生活 : 孙莹莹 ， 父亲 为 太平洋 电线电缆 集团 前 董事长 孙道存 ， 母亲 是 元 大 证券 副董事长 何念慈 ， 名媛 孙芸芸 的 姐姐 。,人物一 个人 生活  人物一  父亲 太平洋 电线电缆 集团 前 董事长 孙道存  母亲 元 证券 副董事长 何念慈  名媛 人物二 姐姐,-1
TRAIN_SENT_ID_256921,仲由,孔子,内丘县 郭巨 孝 文化 百里 负米 : 仲由 ， 字 子路 、 季路 ， 春秋时期 鲁国 人 ， 孔子 的 得意 弟子 ， 性格 直率 勇敢 ， 十分 孝顺 。,内丘县 郭巨 孝 文化 百里 负米  人物一  字 子路  季路  春秋时期 鲁国  人物二 得意 弟子  性格 直率 勇敢  十分 孝顺,1
TRAIN_SENT_ID_254249,张顺,张横,张横 骤马 追上 ， 张顺 急 叫 ： “ 哥哥 休中 他 拖 刀计 ！ ”,人物二 骤马 追上  人物一 急   哥哥 休中 拖 刀计,-1
TRAIN_SENT_ID_257537,毛泽民,毛泽东,这里 所说 的 四嫂 ， 就是 毛泽东 大 弟弟 毛泽民 的 结发 妻子 王淑兰 。,所说 四嫂  人物二 弟弟 人物一 结发 妻子 王淑兰,-1
TRAIN_SENT_ID_276974,樊迟,孔子,举直 错诸枉 翻译 : 有天 樊迟 去 问 夫子 “ 仁 ” 的 意思 ， 孔子 说 ： “ 爱人 。 ”,举直 错诸枉 翻译  有天 人物一 问 夫子  仁  意思  人物二 说   爱人,1
TRAIN_SENT_ID_249247,皮皮鲁,鲁西西,“ 大侠 ” 皮皮鲁 带 着 “ 不 高兴 ” 的 鲁西西 进入 魔方 世界 ， 踏上 了 寻找 鲁西西 的 笑容 之 路 。,大侠  人物一 带  高兴  人物二 进入 魔方 世界  踏上 寻找 人物二 笑容 路,-1
TRAIN_SENT_ID_250418,赵飞燕,赵合德,远离 长安 的 傅昭 仪在 回 定陶 的 路上 收养 了 赵氏 姐妹 ( 即 后来 的 赵飞燕 和 赵合德 ) ， 尽心 培养 成为 棋子 。,远离 长安 傅昭 仪在 回 定陶 路上 收养 赵氏 姐妹  后来 人物一 人物二   尽心 培养 成为 棋子,-1
