rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
0,年/人物二/人物一,.*年.*人物二.*人物一.*,84,0,414,1077,-1
1,人物一/人物二/弟子,.*人物一.*人物二.*弟子.*,57,1,688,581,1
2,人物二/弟子/人物一,.*人物二.*弟子.*人物一.*,57,1,688,583,1
3,年/人物一/人物二,.*年.*人物一.*人物二.*,53,0,406,1060,-1
4,人物二/说/人物一,.*人物二.*说.*人物一.*,42,1,384,379,1
5,人物一/年/人物二,.*人物一.*年.*人物二.*,36,0,404,1056,-1
6,人物二/人物一/说,.*人物二.*人物一.*说.*,26,1,388,377,1
7,中/人物一/人物二,.*中.*人物一.*人物二.*,25,0,164,302,-1
8,人物/人物二/人物一,.*人物.*人物二.*人物一.*,25,0,199,596,-1
9,人物一/人物二/学生,.*人物一.*人物二.*学生.*,25,1,1368,1552,-1
10,中/人物二/人物一,.*中.*人物二.*人物一.*,24,0,161,333,-1
11,人物/人物一/人物二,.*人物.*人物一.*人物二.*,22,0,234,585,-1
12,人物一/人物/人物二,.*人物一.*人物.*人物二.*,22,0,240,565,-1
13,人物一/人物二/说,.*人物一.*人物二.*说.*,22,1,401,378,1
14,人物二/弟弟/人物一,.*人物二.*弟弟.*人物一.*,22,-1,657,1347,-1
15,人物一/中/人物二,.*人物一.*中.*人物二.*,21,0,145,306,-1
16,人物一/人物二/中,.*人物一.*人物二.*中.*,21,0,165,335,-1
17,人物一/人物二/得意,.*人物一.*人物二.*得意.*,21,1,1397,1642,-1
18,人物二/人物一/中,.*人物二.*人物一.*中.*,20,0,157,347,-1
19,人物一/子路/人物二,.*人物一.*子路.*人物二.*,19,1,1288,1478,-1
20,月/人物二/人物一,.*月.*人物二.*人物一.*,19,-1,237,761,-1
21,钟离/人物一/人物二,.*钟离.*人物一.*人物二.*,19,1,1216,1583,-1
22,铁拐李/人物一/人物二,.*铁拐李.*人物一.*人物二.*,19,1,1213,1567,-1
23,人物一/人物二/年,.*人物一.*人物二.*年.*,18,0,402,1057,-1
24,人物一/拜/人物二,.*人物一.*拜.*人物二.*,18,1,1138,1515,-1
25,人物二/中/人物一,.*人物二.*中.*人物一.*,18,0,152,302,-1
26,人物二/人物一/妹妹,.*人物二.*人物一.*妹妹.*,18,-1,595,1337,-1
27,人物二/哥哥/人物一,.*人物二.*哥哥.*人物一.*,18,-1,947,1522,-1
28,汉/人物一/人物二,.*汉.*人物一.*人物二.*,18,1,1156,1519,-1
29,人物一/人物二/曹国舅,.*人物一.*人物二.*曹国舅.*,17,1,1170,1526,-1
30,八仙/人物一/人物二,.*八仙.*人物一.*人物二.*,17,1,1192,1467,-1
31,汉/钟离/人物一/人物二,.*汉.*钟离.*人物一.*人物二.*,17,1,900,1260,-1
32,人物一/人物二/为师,.*人物一.*人物二.*为师.*,16,1,1302,1646,-1
33,人物一/人物二/何仙姑,.*人物一.*人物二.*何仙姑.*,16,1,1201,1590,-1
