,rule_id,rule,frequence,label
120,120,主要/人物二/人物一,23,0
153,153,人物一/人物二/妹妹,21,0
154,154,人物一/弟弟/人物二,21,0
155,155,人物一/问/人物二,21,0
160,160,经历/人物一/人物二,21,0
166,166,八仙/何仙姑/人物一/人物二/曹国舅,20,0
167,167,八仙/张果老/何仙姑/人物一/人物二/曹国舅,20,0
168,168,汉/张果老/人物一/人物二,20,0
169,169,汉/钟离/张果老/人物一/人物二,20,0
171,171,铁拐李/张果老/何仙姑/人物一/人物二,20,0
172,172,铁拐李/张果老/何仙姑/人物一/人物二/曹国舅,20,0
173,173,人物一/人物二/时,19,0
174,174,人物一/人物二/老师,19,0
175,175,人物一/时/人物二,19,0
176,176,人物一/没有/人物二,19,0
177,177,人物二/人物一/子,19,0
178,178,人物二/人物一/曰,19,0
179,179,人物二/子/人物一/发,19,0
180,180,人物二/子/人物一/王姬/发,19,0
182,182,人物二/收/人物一,19,0
183,183,人物二/昌/子/人物一/发,19,0
184,184,人物二/昌/子/人物一/王姬/发,19,0
185,185,人物二/王姬/子/人物一/发,19,0
186,186,人物二/王姬/子/人物一/王姬/发,19,0
187,187,人物二/王姬/昌/子/人物一/发,19,0
188,188,戴宗/人物一/人物二,19,0
189,189,时/人物一/人物二,19,0
190,190,时/人物二/人物一,19,0
191,191,汉/何仙姑/人物一/人物二,19,0
192,192,汉/张果老/人物一/人物二/曹国舅,19,0
193,193,汉/钟离/何仙姑/人物一/人物二,19,0
194,194,汉/钟离/张果老/人物一/人物二/曹国舅,19,0
195,195,蓝采和/人物一/人物二/曹国舅,19,0
196,196,钟离/人物一/人物二/何仙姑,19,0
197,197,钟离/何仙姑/人物一/人物二,19,0
198,198,铁拐李/蓝采和/人物一/人物二,19,0
199,199,人物一/人物/人物一/人物二,18,0
200,200,人物一/人物二/勇敢,18,0
201,201,人物一/人物二/唱歌,18,0
202,202,人物一/前/人物二,18,0
203,203,人物一/子路/鲁国/人物二,18,0
204,204,人物一/字/子路/鲁国/人物二,18,0
205,205,人物一/字/鲁国/人物二,18,0
206,206,人物一/年/月/人物二,18,0
207,207,人物一/弟子/人物二,18,0
208,208,人物一/李逵/人物二,18,0
209,209,人物二/人物一/好学,18,0
210,210,人物二/人物一/子路,18,0
212,212,人物二/人物一/月,18,0
213,213,人物二/人物一/老师,18,0
214,214,人物二/写给/人物一,18,0
215,215,介绍/人物一/人物二,18,0
216,216,八仙/铁拐李/何仙姑/人物一/人物二,18,0
217,217,八仙/铁拐李/何仙姑/人物一/人物二/曹国舅,18,0
218,218,八仙/铁拐李/张果老/人物一/人物二,18,0
219,219,八仙/铁拐李/张果老/人物一/人物二/曹国舅,18,0
220,220,戴宗/人物一/李逵/人物二,18,0
221,221,汉/何仙姑/人物一/人物二/曹国舅,18,0
222,222,汉/钟离/何仙姑/人物一/人物二/曹国舅,18,0
223,223,译文/人物一/人物二,18,0
224,224,钟离/何仙姑/人物一/人物二/曹国舅,18,0
225,225,人物二/王姬/昌/人物一/发/弟弟,17,0
226,226,人物二/王姬/昌/人物一/弟弟,17,0
227,227,人物二/王姬/昌/人物一/王姬/弟弟,17,0
228,228,人物二/题/人物一,17,0
229,229,八仙/钟离/张果老/人物一/人物二,17,0
230,230,八仙/铁拐李/张果老/何仙姑/人物一/人物二,17,0
231,231,年/人物二/弟子/人物一,17,0
232,232,汉/张果老/何仙姑/人物一/人物二,17,0
233,233,汉/张果老/何仙姑/人物一/人物二/曹国舅,17,0
234,234,汉/钟离/张果老/何仙姑/人物一/人物二,17,0
235,235,钟离/张果老/何仙姑/人物一/人物二,17,0
236,236,钟离/张果老/何仙姑/人物一/人物二/曹国舅,17,0
237,237,铁拐李/汉/何仙姑/人物一/人物二,17,0
238,238,铁拐李/汉/钟离/何仙姑/人物一/人物二,17,0
239,239,铁拐李/蓝采和/人物一/人物二/曹国舅,17,0
240,240,铁拐李/钟离/何仙姑/人物一/人物二,17,0
