rule_id,rule,pattern,frequence,original_label
124,人物一/月/人物二,.*人物一.*月.*人物二.*,23,0
130,人物一/人物二/妹妹,.*人物一.*人物二.*妹妹.*,22,-1
153,人物一/弟弟/人物二,.*人物一.*弟弟.*人物二.*,21,-1
155,人物二/人物一/子,.*人物二.*人物一.*子.*,21,0
162,经历/人物一/人物二,.*经历.*人物一.*人物二.*,21,-1
166,人物一/人物二/时,.*人物一.*人物二.*时.*,20,0
167,人物一/人物二/老师,.*人物一.*人物二.*老师.*,20,0
168,人物一/弟子/人物二,.*人物一.*弟子.*人物二.*,20,1
169,人物一/蓝采和/人物二/曹国舅,.*人物一.*蓝采和.*人物二.*曹国舅.*,20,1
170,人物二/人物一/学习,.*人物二.*人物一.*学习.*,20,0
171,人物二/人物一/曰,.*人物二.*人物一.*曰.*,20,1
172,八仙/人物一/人物二/何仙姑,.*八仙.*人物一.*人物二.*何仙姑.*,20,1
173,八仙/何仙姑/人物一/人物二/曹国舅,.*八仙.*何仙姑.*人物一.*人物二.*曹国舅.*,20,1
174,八仙/张果老/何仙姑/人物一/人物二/曹国舅,.*八仙.*张果老.*何仙姑.*人物一.*人物二.*曹国舅.*,20,1
175,汉/张果老/人物一/人物二,.*汉.*张果老.*人物一.*人物二.*,20,1
176,汉/钟离/张果老/人物一/人物二,.*汉.*钟离.*张果老.*人物一.*人物二.*,20,1
179,人物一/年/月/人物二,.*人物一.*年.*月.*人物二.*,19,0
180,人物一/时/人物二,.*人物一.*时.*人物二.*,19,1
181,人物一/没有/人物二,.*人物一.*没有.*人物二.*,19,1
182,人物一/演员/人物二,.*人物一.*演员.*人物二.*,19,0
184,人物二/子/人物一/发,.*人物二.*子.*人物一.*发.*,19,-1
185,人物二/子/人物一/王姬/发,.*人物二.*子.*人物一.*王姬.*发.*,19,-1
187,人物二/收/人物一,.*人物二.*收.*人物一.*,19,1
188,人物二/昌/子/人物一/发,.*人物二.*昌.*子.*人物一.*发.*,19,-1
189,人物二/昌/子/人物一/王姬/发,.*人物二.*昌.*子.*人物一.*王姬.*发.*,19,-1
190,人物二/王姬/子/人物一/发,.*人物二.*王姬.*子.*人物一.*发.*,19,-1
191,人物二/王姬/子/人物一/王姬/发,.*人物二.*王姬.*子.*人物一.*王姬.*发.*,19,-1
192,人物二/王姬/昌/子/人物一/发,.*人物二.*王姬.*昌.*子.*人物一.*发.*,19,-1
193,戴宗/人物一/人物二,.*戴宗.*人物一.*人物二.*,19,1
194,时/人物一/人物二,.*时.*人物一.*人物二.*,19,0
195,汉/何仙姑/人物一/人物二,.*汉.*何仙姑.*人物一.*人物二.*,19,1
196,汉/张果老/人物一/人物二/曹国舅,.*汉.*张果老.*人物一.*人物二.*曹国舅.*,19,1
197,汉/钟离/何仙姑/人物一/人物二,.*汉.*钟离.*何仙姑.*人物一.*人物二.*,19,1
198,汉/钟离/张果老/人物一/人物二/曹国舅,.*汉.*钟离.*张果老.*人物一.*人物二.*曹国舅.*,19,1
199,蓝采和/人物一/人物二/曹国舅,.*蓝采和.*人物一.*人物二.*曹国舅.*,19,1
200,译文/人物一/人物二,.*译文.*人物一.*人物二.*,19,1
201,钟离/人物一/人物二/何仙姑,.*钟离.*人物一.*人物二.*何仙姑.*,19,1
202,钟离/何仙姑/人物一/人物二,.*钟离.*何仙姑.*人物一.*人物二.*,19,1
203,铁拐李/蓝采和/人物一/人物二,.*铁拐李.*蓝采和.*人物一.*人物二.*,19,1
204,人物一/人物/人物一/人物二,.*人物一.*人物.*人物一.*人物二.*,18,0
205,人物一/人物二/勇敢,.*人物一.*人物二.*勇敢.*,18,0
206,人物一/人物二/唱歌,.*人物一.*人物二.*唱歌.*,18,1
207,人物一/前/人物二,.*人物一.*前.*人物二.*,18,0
208,人物一/妹妹/人物二,.*人物一.*妹妹.*人物二.*,18,-1
209,人物一/子路/鲁国/人物二,.*人物一.*子路.*鲁国.*人物二.*,18,1
210,人物一/字/子路/鲁国/人物二,.*人物一.*字.*子路.*鲁国.*人物二.*,18,1
211,人物一/字/鲁国/人物二,.*人物一.*字.*鲁国.*人物二.*,18,1
212,人物一/李逵/人物二,.*人物一.*李逵.*人物二.*,18,1
213,人物二/人物一/好学,.*人物二.*人物一.*好学.*,18,1
214,人物二/人物一/子路,.*人物二.*人物一.*子路.*,18,1
215,人物二/人物一/老师,.*人物二.*人物一.*老师.*,18,0
216,人物二/写给/人物一,.*人物二.*写给.*人物一.*,18,-1
217,介绍/人物一/人物二,.*介绍.*人物一.*人物二.*,18,0
218,八仙/铁拐李/何仙姑/人物一/人物二,.*八仙.*铁拐李.*何仙姑.*人物一.*人物二.*,18,1
219,八仙/铁拐李/何仙姑/人物一/人物二/曹国舅,.*八仙.*铁拐李.*何仙姑.*人物一.*人物二.*曹国舅.*,18,1
220,八仙/铁拐李/张果老/人物一/人物二,.*八仙.*铁拐李.*张果老.*人物一.*人物二.*,18,1
221,八仙/铁拐李/张果老/人物一/人物二/曹国舅,.*八仙.*铁拐李.*张果老.*人物一.*人物二.*曹国舅.*,18,1
222,戴宗/人物一/李逵/人物二,.*戴宗.*人物一.*李逵.*人物二.*,18,1
223,汉/何仙姑/人物一/人物二/曹国舅,.*汉.*何仙姑.*人物一.*人物二.*曹国舅.*,18,1
