,rule_id,rule,frequence,label
494,494,电视剧/人物二/人物一,17,0
530,530,人物一/经历/人物二,16,0
543,543,人物二/人物一/便,16,0
560,560,作品/人物二/人物一,16,0
584,584,中国/人物一/人物二,15,0
587,587,人物一/人物二/勇敢,15,0
588,588,人物一/人物二/女儿,15,0
589,589,人物一/年/年/人物二,15,0
590,590,人物二/人物一/主演,15,0
591,591,人物二/人物一/二人,15,0
592,592,人物二/人物一/故事,15,0
593,593,人物二/人物一/笔阵,15,0
594,594,人物二/人物一/道,15,0
595,595,人物二/人物一/道德,15,0
599,599,人物二/回答/人物一,15,0
609,609,后来/人物一/人物二,15,0
610,610,后来/人物二/人物一,15,0
625,625,两个/人物二/人物一,14,0
626,626,人物一/人物二/一起,14,0
627,627,人物一/人物二/之弟,14,0
628,628,人物一/人物二/回家,14,0
629,629,人物一/人物二/姐姐,14,0
630,630,人物一/人物二/故事,14,0
631,631,人物一/人物二/饰演,14,0
632,632,人物一/何仙姑/人物二/曹国舅,14,0
633,633,人物一/年/日/人物二,14,0
634,634,人物一/年/月/日/人物二,14,0
635,635,人物一/张果老/曹国舅/人物二,14,0
636,636,人物一/演员/人物二,14,0
637,637,人物一/问/人物二/说,14,0
638,638,人物二/人物一/儿子,14,0
639,639,人物二/人物一/子贡,14,0
640,640,人物二/人物一/成为,14,0
641,641,人物二/儿子/人物一,14,0
642,642,人物二/同治/人物一,14,0
643,643,儿子/人物二/人物一,14,0
644,644,八仙/铁拐李/汉/何仙姑/人物一/人物二,14,0
645,645,八仙/铁拐李/钟离/何仙姑/人物一/人物二,14,0
646,646,子路/人物一/人物二,14,0
648,648,指/人物一/人物二,14,0
649,649,生平/人物二/人物一,14,0
656,656,人物/生平/人物二/人物一,13,0
657,657,人物/经历/人物二/人物一,13,0
658,658,人物一/之子/人物二,13,0
659,659,人物一/人物一/人物二/弟子,13,0
660,660,人物一/人物一/年/人物二,13,0
661,661,人物一/人物二/主演,13,0
662,662,人物一/人物二/告辞,13,0
663,663,人物一/人物二/学习/人物二,13,0
664,664,人物一/人物二/得意门生,13,0
665,665,人物一/人物二/德行,13,0
666,666,人物一/人物二/相声,13,0
667,667,人物一/人物二/罗克,13,0
668,668,人物一/便/人物二,13,0
669,669,人物一/子路/季路/鲁国/人物二,13,0
670,670,人物一/字/子路/季路/鲁国/人物二,13,0
671,671,人物一/字/季路/鲁国/人物二,13,0
672,672,人物一/季路/鲁国/人物二,13,0
673,673,人物一/年/人物二/弟子,13,0
674,674,人物一/张果老/人物二/蓝采和,13,0
675,675,人物一/汉/人物二,13,0
676,676,人物一/相声/人物二,13,0
677,677,人物二/主要/人物一,13,0
679,679,人物二/人物一/为徒,13,0
680,680,人物二/人物一/做,13,0
681,681,人物二/人物一/师父,13,0
682,682,人物二/人物一/年/月,13,0
683,683,人物二/人物一/迁怒,13,0
684,684,人物二/人物一/问,13,0
685,685,人物二/同治/写给/人物一,13,0
686,686,人物二/听/人物一,13,0
687,687,人物二/岁/人物一,13,0
688,688,人物二/弟子/人物一/人物二,13,0
689,689,何仙姑/蓝采和/人物一/人物二,13,0
690,690,八仙/人物一/蓝采和/人物二,13,0
691,691,八仙/张果老/蓝采和/人物一/人物二,13,0
692,692,八仙/铁拐李/汉/张果老/人物一/人物二,13,0
693,693,八仙/铁拐李/蓝采和/人物一/人物二,13,0
694,694,八仙/铁拐李/蓝采和/人物一/人物二/曹国舅,13,0
695,695,八仙/铁拐李/钟离/张果老/人物一/人物二,13,0
696,696,姐姐/人物二/人物一,13,0
697,697,小说/人物一/人物二,13,0
698,698,弟子/人物二/人物一,13,0
699,699,汉/张果老/蓝采和/人物一/人物二,13,0
700,700,汉/张果老/蓝采和/人物一/人物二/曹国舅,13,0
701,701,汉/钟离/张果老/蓝采和/人物一/人物二,13,0
702,702,译文/人物一/人物二/人物二,13,0
703,703,译文/人物二/人物一,13,0
704,704,译文/人物二/说/人物一,13,0
705,705,钟离/张果老/蓝采和/人物一/人物二,13,0
706,706,钟离/张果老/蓝采和/人物一/人物二/曹国舅,13,0
707,707,铁拐李/汉/蓝采和/人物一/人物二/曹国舅,13,0
708,708,铁拐李/钟离/蓝采和/人物一/人物二/曹国舅,13,0
709,709,钟离/何仙姑/蓝采和/人物一/人物二,12,0
710,710,铁拐李/人物一/人物二/蓝采和,12,0
711,711,铁拐李/人物一/蓝采和/人物二/曹国舅,12,0
712,712,铁拐李/张果老/蓝采和/人物一/人物二,12,0
713,713,铁拐李/张果老/蓝采和/人物一/人物二/曹国舅,12,0
