rule_id,rule,pattern,frequence,original_label
118,人物二/人物一/家书,.*人物二.*人物一.*家书.*,23,-1
127,人物二/写给/人物一/家书,.*人物二.*写给.*人物一.*家书.*,22,-1
201,人物二/四弟/人物一,.*人物二.*四弟.*人物一.*,18,-1
212,人物一/学习/人物二,.*人物一.*学习.*人物二.*,17,1
222,人物二/收/人物一,.*人物二.*收.*人物一.*,17,0
247,人物一/人物二/一个,.*人物一.*人物二.*一个.*,16,0
248,人物一/人物二/学习/唱歌,.*人物一.*人物二.*学习.*唱歌.*,16,1
249,人物一/人物二/张果老,.*人物一.*人物二.*张果老.*,16,1
250,人物一/人物二/老师,.*人物一.*人物二.*老师.*,16,0
251,人物一/人物二/蓝采和/何仙姑,.*人物一.*人物二.*蓝采和.*何仙姑.*,16,1
252,人物一/何仙姑/人物二,.*人物一.*何仙姑.*人物二.*,16,1
253,人物一/妹妹/人物二,.*人物一.*妹妹.*人物二.*,16,-1
254,人物一/子路/鲁国/人物二,.*人物一.*子路.*鲁国.*人物二.*,16,1
255,人物一/字/子路/鲁国/人物二,.*人物一.*字.*子路.*鲁国.*人物二.*,16,1
256,人物一/字/鲁国/人物二,.*人物一.*字.*鲁国.*人物二.*,16,1
257,人物一/春秋/人物二/弟子,.*人物一.*春秋.*人物二.*弟子.*,16,1
258,人物一/曹国舅/人物二/何仙姑,.*人物一.*曹国舅.*人物二.*何仙姑.*,16,1
259,人物一/鲁国/人物二/弟子,.*人物一.*鲁国.*人物二.*弟子.*,16,1
261,人物二/便/人物一,.*人物二.*便.*人物一.*,16,0
262,人物二/子/人物一/发/弟弟,.*人物二.*子.*人物一.*发.*弟弟.*,16,-1
263,人物二/子/人物一/弟弟,.*人物二.*子.*人物一.*弟弟.*,16,-1
264,人物二/子/人物一/王姬/发/弟弟,.*人物二.*子.*人物一.*王姬.*发.*弟弟.*,16,-1
265,人物二/子/人物一/王姬/弟弟,.*人物二.*子.*人物一.*王姬.*弟弟.*,16,-1
266,人物二/家语/人物一,.*人物二.*家语.*人物一.*,16,1
267,人物二/昌/子/人物一/发/弟弟,.*人物二.*昌.*子.*人物一.*发.*弟弟.*,16,-1
268,人物二/昌/子/人物一/弟弟,.*人物二.*昌.*子.*人物一.*弟弟.*,16,-1
269,人物二/昌/子/人物一/王姬/弟弟,.*人物二.*昌.*子.*人物一.*王姬.*弟弟.*,16,-1
270,人物二/王姬/子/人物一/发/弟弟,.*人物二.*王姬.*子.*人物一.*发.*弟弟.*,16,-1
271,人物二/王姬/子/人物一/弟弟,.*人物二.*王姬.*子.*人物一.*弟弟.*,16,-1
272,人物二/王姬/子/人物一/王姬/弟弟,.*人物二.*王姬.*子.*人物一.*王姬.*弟弟.*,16,-1
273,人物二/王姬/昌/子/人物一/弟弟,.*人物二.*王姬.*昌.*子.*人物一.*弟弟.*,16,-1
274,八仙/人物一/人物二/蓝采和,.*八仙.*人物一.*人物二.*蓝采和.*,16,1
275,八仙/汉/何仙姑/人物一/人物二,.*八仙.*汉.*何仙姑.*人物一.*人物二.*,16,1
276,八仙/汉/何仙姑/人物一/人物二/曹国舅,.*八仙.*汉.*何仙姑.*人物一.*人物二.*曹国舅.*,16,1
277,八仙/汉/钟离/何仙姑/人物一/人物二,.*八仙.*汉.*钟离.*何仙姑.*人物一.*人物二.*,16,1
278,八仙/蓝采和/人物一/人物二,.*八仙.*蓝采和.*人物一.*人物二.*,16,1
279,八仙/钟离/何仙姑/人物一/人物二,.*八仙.*钟离.*何仙姑.*人物一.*人物二.*,16,1
280,八仙/钟离/何仙姑/人物一/人物二/曹国舅,.*八仙.*钟离.*何仙姑.*人物一.*人物二.*曹国舅.*,16,1
281,八仙/钟离/张果老/人物一/人物二/曹国舅,.*八仙.*钟离.*张果老.*人物一.*人物二.*曹国舅.*,16,1
282,张果老/蓝采和/人物一/人物二,.*张果老.*蓝采和.*人物一.*人物二.*,16,1
283,水浒/人物一/人物二,.*水浒.*人物一.*人物二.*,16,1
284,汉/蓝采和/人物一/人物二,.*汉.*蓝采和.*人物一.*人物二.*,16,1
285,汉/钟离/蓝采和/人物一/人物二,.*汉.*钟离.*蓝采和.*人物一.*人物二.*,16,1
286,相声/人物二/人物一,.*相声.*人物二.*人物一.*,16,1
287,说/人物二/人物一,.*说.*人物二.*人物一.*,16,0
288,钟离/蓝采和/人物一/人物二,.*钟离.*蓝采和.*人物一.*人物二.*,16,1
289,钟离权/人物一/人物二,.*钟离权.*人物一.*人物二.*,16,1
290,铁拐李/汉/何仙姑/人物一/人物二/曹国舅,.*铁拐李.*汉.*何仙姑.*人物一.*人物二.*曹国舅.*,16,1
291,铁拐李/汉/张果老/人物一/人物二,.*铁拐李.*汉.*张果老.*人物一.*人物二.*,16,1
292,铁拐李/汉/张果老/人物一/人物二/曹国舅,.*铁拐李.*汉.*张果老.*人物一.*人物二.*曹国舅.*,16,1
293,铁拐李/汉/钟离/张果老/人物一/人物二,.*铁拐李.*汉.*钟离.*张果老.*人物一.*人物二.*,16,1
294,铁拐李/钟离/何仙姑/人物一/人物二/曹国舅,.*铁拐李.*钟离.*何仙姑.*人物一.*人物二.*曹国舅.*,16,1
295,铁拐李/钟离/张果老/人物一/人物二,.*铁拐李.*钟离.*张果老.*人物一.*人物二.*,16,1
296,铁拐李/钟离/张果老/人物一/人物二/曹国舅,.*铁拐李.*钟离.*张果老.*人物一.*人物二.*曹国舅.*,16,1
297,二/人物一/人物二,.*二.*人物一.*人物二.*,15,0
