sent_id,sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_284526,,易水寒,白非凡,儿子 ： 白非凡 、 易水寒,儿子  人物二  人物一,-1
TRAIN_SENT_ID_250666,,鲁西西,皮皮鲁,皮皮鲁 、 鲁西西 、 罗克 、 舒克和贝塔 已 在 国家工商局 注册 ， 成为 受 法律 保护 的 注册商标 。,人物二  人物一  罗克  舒克和贝塔 国家工商局 注册  成为 受 法律 保护 注册商标,-1
TRAIN_SENT_ID_281578,,蔡绿峰,蔡惠媚,蔡惠媚 的 兄长 蔡绿峰 是 红豆 食府 餐厅 的 老板 ， 两位 侄女 蔡依伦 、 蔡依珊 分别 嫁给 伦华 集团 总裁 林靖 伦 、 连战 大儿子 连胜文 。,人物二 兄长 人物一 红豆 食府 餐厅 老板  两位 侄女 蔡依伦  蔡依珊 嫁给 伦华 集团 总裁 林靖 伦  连战 大儿子 连胜文,-1
TRAIN_SENT_ID_249245,,皮皮鲁,鲁西西,正在 拍摄 《 皮皮鲁 和 鲁西西 》 饰演 ： 皮皮鲁,正在 拍摄  人物一 人物二  饰演  人物一,-1
TRAIN_SENT_ID_250579,,鲁西西,皮皮鲁,他 笔下 的 皮皮鲁 、 鲁西西 、 舒克 、 贝塔 和 罗克 已 成为 注册商标 。,笔下 人物二  人物一  舒克  贝塔 罗克 成为 注册商标,-1
TRAIN_SENT_ID_274282,,梅小青,梅小惠,《 梦想成真 》 是 香港 TVB 于 2000 年 出品 的 时装 喜剧 ， 由 梅小青 监制 ， 宣萱 、 吕颂贤 、 吕方 、 梅小惠 等 人 主演 。,梦想成真  香港   年 出品 时装 喜剧  人物一 监制  宣萱  吕颂贤  吕方  人物二 主演,-1
TRAIN_SENT_ID_249266,,皮皮鲁,鲁西西,他 创作 的 童话 人物 皮皮鲁 、 鲁西西 、 舒克 、 贝塔 和 罗克 成为 亿万 小朋友 心中 的 明星 ， 影响 了 几代人 的 成长 。,创作 童话 人物 人物一  人物二  舒克  贝塔 罗克 成为 亿万 小朋友 心中 明星  影响 几代人 成长,-1
TRAIN_SENT_ID_249246,,皮皮鲁,鲁西西,《 皮皮鲁 和 鲁西西 的 故事 》 ， 郑渊洁 著 ， 学苑 出版社 出版 图书 。,人物一 人物二 故事   郑渊洁 著  学苑 出版社 出版 图书,-1
TRAIN_SENT_ID_277659,,关彝,关统,关统 死 了 之后 没有 儿子 继承 ， 遂 找 了 关兴 的 庶子 关彝 继承 。,人物二 死 之后 没有 儿子 继承  遂 找 关兴 庶子 人物一 继承,-1
TRAIN_SENT_ID_272680,,蓝兰,张晓,整容 后 的 蓝兰 、 张晓 的 亲姐姐 ， 原 跟 张晓 长得 一模一样 ， 后来 整容 。,整容 人物一  人物二 亲姐姐  原 人物二 长得 一模一样  后来 整容,-1
TRAIN_SENT_ID_249122,,皮皮鲁,鲁西西,他 的 作品 中 的 5 位 主人公 皮皮鲁 、 鲁西西 、 舒克 、 贝塔 和 大灰狼 罗克 在 孩子 们 中 几乎 无人不晓 ， 影响 了 一代人 的 成长 。,作品 中  位 主人公 人物一  人物二  舒克  贝塔 大灰狼 罗克 孩子 中 几乎 无人不晓  影响 一代人 成长,-1
TRAIN_SENT_ID_259416,,凌音,凌波,凌波 、 凌音 、 铁笔 原 为 师侄 ， 后 凌波 、 谢沧行 亡故 ， 铁笔 和 凌音 因锁 妖塔 等 原因 成为 蜀山 七圣 ， 辈分 上 变为 玉书 的 师弟妹 。,人物二  人物一  铁笔 原 师侄  人物二  谢沧行 亡故  铁笔 人物一 因锁 妖塔 原因 成为 蜀山 七圣  辈分 变为 玉书 师弟妹,-1
TRAIN_SENT_ID_249195,,皮皮鲁,鲁西西,2014 年 ， 李馨巧 参演 电视剧 《 皮皮鲁 和 鲁西西 》 ， 饰演 鲁西西 。,年  李馨巧 参演 电视剧  人物一 人物二   饰演 人物二,-1
TRAIN_SENT_ID_249267,,皮皮鲁,鲁西西,皮皮鲁 、 鲁西西 、 罗克 、 舒克和贝塔 是 他 笔下 塑造 的 形象 。,人物一  人物二  罗克  舒克和贝塔 笔下 塑造 形象,-1
TRAIN_SENT_ID_264932,,贾元春,贾宝玉,贾府 的 四位 小姐 ， 贾元春 为 贾政 与 王夫人 所 生 ， 贾宝玉 同父 同母 的 姐姐 ， 因 生日 为 大年初一 ， 故 名 元春 ， 后 进宫 为 妃 。,贾府 四位 小姐  人物一 贾政 王夫人 生  人物二 同父 同母 姐姐  生日 大年初一  名 元春  进宫 妃,-1
TRAIN_SENT_ID_279220,,吕馨,吕禄,吕馨 连忙 磕头 以示 感谢 ， 然后 和 吕禄 一起 离开 ， 这时 她 的 心里 一定 很 高兴 ， 因为 免过 了 一死 ， 但 她 意料不到 的 是 ， 死神 依然 在 向 她 招手 。,人物一 连忙 磕头 以示 感谢  人物二 一起 离开  心里 一定 高兴  免过 一死  意料不到  死神 依然 招手,-1
TRAIN_SENT_ID_249163,,皮皮鲁,鲁西西,《 皮皮鲁 与 鲁西西 》 饰演 苏荀,人物一 人物二  饰演 苏荀,-1
TRAIN_SENT_ID_275261,,汤潮,赵本山,赵本山 是 中国 的 小品 王 ， 汤潮 是 唱 作人 ， 这 两个 风马牛不相及 的 人 为什么 能 成为 师徒 ？,人物二 中国 小品 王  人物一 唱 作人  两个 风马牛不相及 成为 师徒,-1
TRAIN_SENT_ID_265489,,薛蝌,薛蟠,谁知 宝姐姐 的 亲哥哥 （ 指 薛蟠 ） 是 那个 样子 ， 他 这 叔伯 兄弟 （ 指 薛蝌 ） 形容 举止 另 是 一样 了 ， 倒 象是 宝姐姐 的 同胞 弟兄 似的 。 ”,宝姐姐 亲哥哥  指 人物二  样子  叔伯 兄弟  指 人物一  形容 举止  倒 象是 宝姐姐 同胞 弟兄,-1
TRAIN_SENT_ID_254292,,张顺,张横,船伙儿 张横 （ 梢公 ， 李俊义 弟 ） 浪里白条 张顺 （ 渔家 ， 张横 之弟 ）,船伙儿 人物二  梢公  李俊义 弟  浪里白条 人物一  渔家  人物二 之弟,-1
TRAIN_SENT_ID_264943,,贾元春,贾宝玉,刘心武 ： 刘心武 揭秘 《 红楼梦 》 （ 秦可卿 、 贾元春 、 妙玉 、 林黛玉 、 薛宝钗 、 贾宝玉 、 史湘云 、 八十回 后 真 故事 ）,刘心武  刘心武 揭秘  红楼梦   秦可卿  人物一  妙玉  林黛玉  薛宝钗  人物二  史湘云  八十回 真 故事,-1
TRAIN_SENT_ID_261140,,武元庆,武则天,武则天 武元庆 儿子 : 武三思,人物二 人物一 儿子  武三思,-1
TRAIN_SENT_ID_266878,,尤二姐,尤氏,尤二姐 和 尤三姐 是 宁府 尤氏 继母 的 女儿 ， 因 贾敬 暴死 ． 尤氏 料理 丧事 ， 不能 回家 。,人物一 尤三姐 宁府 人物二 继母 女儿  贾敬 暴死 ． 人物二 料理 丧事  不能 回家,-1
TRAIN_SENT_ID_261348,,何猷启,何超莲,何猷启 成人礼 : 赌王 的 一对 龙凤胎 何超莲 及 何猷启 ， 不但 懂得 打扮 ， 且 每次 去 派对 都 会 成为 焦点 。,人物一 成人礼  赌王 一对 龙凤胎 人物二 人物一  懂得 打扮  每次 派对 会 成为 焦点,-1
TRAIN_SENT_ID_263378,,武修文,武敦儒,儿子 ： 武敦儒 、 武修文,儿子  人物二  人物一,-1
TRAIN_SENT_ID_263922,,汤镇宗,汤镇业,"10 岁 时 与 : 陈小春 . 汤镇宗 . 汤镇业 . 王敏德 孙悦 尤勇 等 众多 明星 参加 30 集 大型 连续剧 重拳出击 的 拍摄 , 在 剧中 饰演 珠珠 .",岁 时  陈小春  人物一  人物二  王敏德 孙悦 尤勇 众多 明星 参加  集 大型 连续剧 重拳出击 拍摄  剧中 饰演 珠珠,-1
TRAIN_SENT_ID_259781,,李偲菘,李伟菘,其中 李偲菘 、 李伟菘 还同 郭亮 一起 担任 了 专辑 的 制作 人一职 。,人物一  人物二 还同 郭亮 一起 担任 专辑 制作 人一职,-1
TRAIN_SENT_ID_279222,,吕馨,吕禄,吕馨 连忙 磕头 以示 感谢 ， 然后 和 吕禄 一起 离开 。,人物一 连忙 磕头 以示 感谢  人物二 一起 离开,-1
TRAIN_SENT_ID_250092,,武敦儒,武修文,弟子 ： 武修文 ， 武敦儒,弟子  人物二  人物一,1
