rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
494,电视剧/人物二/人物一,.*电视剧.*人物二.*人物一.*,17,0,1055,1594,-1
530,人物一/经历/人物二,.*人物一.*经历.*人物二.*,16,-1,784,1414,-1
543,人物二/人物一/便,.*人物二.*人物一.*便.*,16,0,1114,1260,-1
560,作品/人物二/人物一,.*作品.*人物二.*人物一.*,16,0,1349,1548,-1
584,中国/人物一/人物二,.*中国.*人物一.*人物二.*,15,0,210,500,-1
587,人物一/人物二/勇敢,.*人物一.*人物二.*勇敢.*,15,0,1605,1790,-1
588,人物一/人物二/女儿,.*人物一.*人物二.*女儿.*,15,-1,50,404,-1
589,人物一/年/年/人物二,.*人物一.*年.*年.*人物二.*,15,0,155,602,-1
590,人物二/人物一/主演,.*人物二.*人物一.*主演.*,15,0,575,916,-1
591,人物二/人物一/二人,.*人物二.*人物一.*二人.*,15,0,966,1159,-1
592,人物二/人物一/故事,.*人物二.*人物一.*故事.*,15,-1,1034,1475,-1
593,人物二/人物一/笔阵,.*人物二.*人物一.*笔阵.*,15,1,1492,1695,-1
594,人物二/人物一/道,.*人物二.*人物一.*道.*,15,1,1243,1074,1
595,人物二/人物一/道德,.*人物二.*人物一.*道德.*,15,1,1640,1704,-1
599,人物二/回答/人物一,.*人物二.*回答.*人物一.*,15,1,1641,1766,-1
609,后来/人物一/人物二,.*后来.*人物一.*人物二.*,15,0,879,1263,-1
610,后来/人物二/人物一,.*后来.*人物二.*人物一.*,15,0,879,1264,-1
625,两个/人物二/人物一,.*两个.*人物二.*人物一.*,14,-1,1184,1573,-1
626,人物一/人物二/一起,.*人物一.*人物二.*一起.*,14,-1,995,1334,-1
627,人物一/人物二/之弟,.*人物一.*人物二.*之弟.*,14,-1,1238,1659,-1
628,人物一/人物二/回家,.*人物一.*人物二.*回家.*,14,0,1366,1638,-1
629,人物一/人物二/姐姐,.*人物一.*人物二.*姐姐.*,14,-1,840,1556,-1
630,人物一/人物二/故事,.*人物一.*人物二.*故事.*,14,-1,1034,1475,-1
631,人物一/人物二/饰演,.*人物一.*人物二.*饰演.*,14,-1,391,881,-1
