rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
0.0,年/人物二/人物一,.*年.*人物二.*人物一.*,84,0.0,372.0,1047.0,-1
1.0,人物一/人物二/弟子,.*人物一.*人物二.*弟子.*,57,1.0,650.0,560.0,1
2.0,人物二/弟子/人物一,.*人物二.*弟子.*人物一.*,57,1.0,651.0,562.0,1
3.0,年/人物一/人物二,.*年.*人物一.*人物二.*,53,0.0,364.0,1031.0,-1
4.0,人物二/说/人物一,.*人物二.*说.*人物一.*,42,1.0,368.0,358.0,1
5.0,人物一/年/人物二,.*人物一.*年.*人物二.*,36,0.0,361.0,1027.0,-1
6.0,人物二/人物一/说,.*人物二.*人物一.*说.*,26,1.0,372.0,357.0,1
7.0,中/人物一/人物二,.*中.*人物一.*人物二.*,25,0.0,159.0,296.0,-1
8.0,人物/人物二/人物一,.*人物.*人物二.*人物一.*,25,0.0,185.0,582.0,-1
9.0,人物一/人物二/学生,.*人物一.*人物二.*学生.*,25,1.0,1286.0,1486.0,-1
10.0,中/人物二/人物一,.*中.*人物二.*人物一.*,24,0.0,155.0,321.0,-1
11.0,人物/人物一/人物二,.*人物.*人物一.*人物二.*,22,0.0,220.0,571.0,-1
12.0,人物一/人物/人物二,.*人物一.*人物.*人物二.*,22,0.0,228.0,552.0,-1
13.0,人物一/人物二/说,.*人物一.*人物二.*说.*,22,1.0,383.0,358.0,1
14.0,人物二/弟弟/人物一,.*人物二.*弟弟.*人物一.*,22,-1.0,603.0,1299.0,-1
15.0,人物一/中/人物二,.*人物一.*中.*人物二.*,21,0.0,140.0,298.0,-1
16.0,人物一/人物二/中,.*人物一.*人物二.*中.*,21,0.0,161.0,326.0,-1
17.0,人物一/人物二/得意,.*人物一.*人物二.*得意.*,21,1.0,1313.0,1570.0,-1
18.0,人物二/人物一/中,.*人物二.*人物一.*中.*,20,0.0,152.0,339.0,-1
19.0,人物一/子路/人物二,.*人物一.*子路.*人物二.*,19,1.0,1207.0,1411.0,-1
20.0,月/人物二/人物一,.*月.*人物二.*人物一.*,19,-1.0,209.0,743.0,-1
21.0,钟离/人物一/人物二,.*钟离.*人物一.*人物二.*,19,1.0,1139.0,1513.0,-1
22.0,铁拐李/人物一/人物二,.*铁拐李.*人物一.*人物二.*,19,1.0,1136.0,1497.0,-1
23.0,人物一/人物二/年,.*人物一.*人物二.*年.*,18,0.0,358.0,1028.0,-1
24.0,人物一/拜/人物二,.*人物一.*拜.*人物二.*,18,1.0,1055.0,1451.0,-1
25.0,人物二/中/人物一,.*人物二.*中.*人物一.*,18,0.0,148.0,296.0,-1
26.0,人物二/人物一/妹妹,.*人物二.*人物一.*妹妹.*,18,-1.0,553.0,1293.0,-1
27.0,人物二/哥哥/人物一,.*人物二.*哥哥.*人物一.*,18,-1.0,880.0,1467.0,-1
28.0,汉/人物一/人物二,.*汉.*人物一.*人物二.*,18,1.0,1081.0,1450.0,-1
29.0,人物一/人物二/曹国舅,.*人物一.*人物二.*曹国舅.*,17,1.0,1093.0,1457.0,-1
30.0,八仙/人物一/人物二,.*八仙.*人物一.*人物二.*,17,1.0,1116.0,1401.0,-1
31.0,汉/钟离/人物一/人物二,.*汉.*钟离.*人物一.*人物二.*,17,1.0,831.0,1200.0,-1
32.0,人物一/人物二/为师,.*人物一.*人物二.*为师.*,16,1.0,1217.0,1577.0,-1
33.0,人物一/人物二/何仙姑,.*人物一.*人物二.*何仙姑.*,16,1.0,1124.0,1520.0,-1
34.0,人物一/人物二/得意/弟子,.*人物一.*人物二.*得意.*弟子.*,16,1.0,791.0,680.0,1
35.0,人物二/人物一/年,.*人物二.*人物一.*年.*,16,0.0,355.0,1029.0,-1
36.0,人物二/徒弟/人物一,.*人物二.*徒弟.*人物一.*,16,1.0,1106.0,1470.0,-1
37.0,人物一/人物二/学习,.*人物一.*人物二.*学习.*,15,1.0,1115.0,1325.0,-1
38.0,人物一/人物二/成为,.*人物一.*人物二.*成为.*,15,0.0,453.0,882.0,-1
39.0,人物一/字/人物二,.*人物一.*字.*人物二.*,15,1.0,606.0,960.0,-1
40.0,人物一/拜/人物二/为师,.*人物一.*拜.*人物二.*为师.*,15,1.0,1034.0,1367.0,-1
41.0,人物一/说/人物二,.*人物一.*说.*人物二.*,15,1.0,378.0,358.0,1
42.0,人物二/人物一/王姬,.*人物二.*人物一.*王姬.*,15,-1.0,962.0,1457.0,-1
43.0,人物二/学生/人物一,.*人物二.*学生.*人物一.*,15,1.0,1285.0,1485.0,-1
44.0,人物二/时/人物一,.*人物二.*时.*人物一.*,15,1.0,66.0,37.0,1
45.0,人物二/昌/人物一,.*人物二.*昌.*人物一.*,15,-1.0,1224.0,1608.0,-1
46.0,人物二/昌/人物一/王姬,.*人物二.*昌.*人物一.*王姬.*,15,-1.0,792.0,1298.0,-1
47.0,人物二/王姬/人物一,.*人物二.*王姬.*人物一.*,15,-1.0,962.0,1457.0,-1
48.0,人物二/王姬/人物一/王姬,.*人物二.*王姬.*人物一.*王姬.*,15,-1.0,535.0,956.0,-1
49.0,人物二/王姬/昌/人物一,.*人物二.*王姬.*昌.*人物一.*,15,-1.0,792.0,1298.0,-1
50.0,人物二/王姬/昌/人物一/王姬,.*人物二.*王姬.*昌.*人物一.*王姬.*,15,-1.0,451.0,779.0,-1
51.0,人物一/人物二/兄弟,.*人物一.*人物二.*兄弟.*,14,-1.0,619.0,1262.0,-1
52.0,人物一/人物二/徒弟,.*人物一.*人物二.*徒弟.*,14,1.0,1107.0,1468.0,-1
53.0,人物一/人物二/道,.*人物一.*人物二.*道.*,14,1.0,927.0,978.0,-1
54.0,人物二/人物一/发,.*人物二.*人物一.*发.*,14,-1.0,1056.0,1574.0,-1
55.0,人物二/人物一/没有,.*人物二.*人物一.*没有.*,14,0.0,732.0,1026.0,-1
56.0,铁拐李/汉/人物一/人物二,.*铁拐李.*汉.*人物一.*人物二.*,14,1.0,862.0,1242.0,-1
57.0,铁拐李/汉/钟离/人物一/人物二,.*铁拐李.*汉.*钟离.*人物一.*人物二.*,14,1.0,564.0,838.0,-1
58.0,铁拐李/钟离/人物一/人物二,.*铁拐李.*钟离.*人物一.*人物二.*,14,1.0,850.0,1201.0,-1
59.0,中国/人物二/人物一,.*中国.*人物二.*人物一.*,13,0.0,171.0,463.0,-1
60.0,人物一/字/子路/人物二,.*人物一.*字.*子路.*人物二.*,13,1.0,704.0,846.0,-1
61.0,人物一/鲁国/人物二,.*人物一.*鲁国.*人物二.*,13,1.0,1221.0,1515.0,-1
62.0,人物二/人物一/一个,.*人物二.*人物一.*一个.*,13,0.0,219.0,539.0,-1
63.0,人物二/人物一/兄弟,.*人物二.*人物一.*兄弟.*,13,-1.0,619.0,1263.0,-1
64.0,人物二/人物一/弟子,.*人物二.*人物一.*弟子.*,13,1.0,643.0,561.0,1
65.0,人物二/人物一/王姬/发,.*人物二.*人物一.*王姬.*发.*,13,-1.0,789.0,1374.0,-1
66.0,人物二/女儿/人物一,.*人物二.*女儿.*人物一.*,13,-1.0,47.0,393.0,-1
67.0,人物二/妹妹/人物一,.*人物二.*妹妹.*人物一.*,13,-1.0,553.0,1294.0,-1
68.0,人物二/子/人物一,.*人物二.*子.*人物一.*,13,0.0,429.0,804.0,-1
69.0,人物二/昌/人物一/发,.*人物二.*昌.*人物一.*发.*,13,-1.0,1103.0,1552.0,-1
70.0,人物二/昌/人物一/王姬/发,.*人物二.*昌.*人物一.*王姬.*发.*,13,-1.0,694.0,1160.0,-1
71.0,人物二/王姬/人物一/发,.*人物二.*王姬.*人物一.*发.*,13,-1.0,789.0,1374.0,-1
72.0,人物二/王姬/人物一/王姬/发,.*人物二.*王姬.*人物一.*王姬.*发.*,13,-1.0,439.0,872.0,-1
73.0,人物二/王姬/昌/人物一/发,.*人物二.*王姬.*昌.*人物一.*发.*,13,-1.0,694.0,1160.0,-1
74.0,人物二/王姬/昌/人物一/王姬/发,.*人物二.*王姬.*昌.*人物一.*王姬.*发.*,13,-1.0,396.0,710.0,-1
75.0,八仙/铁拐李/人物一/人物二,.*八仙.*铁拐李.*人物一.*人物二.*,13,1.0,835.0,1151.0,-1
76.0,年/月/人物二/人物一,.*年.*月.*人物二.*人物一.*,13,-1.0,160.0,544.0,-1
77.0,弟子/人物一/人物二,.*弟子.*人物一.*人物二.*,13,1.0,644.0,560.0,1
78.0,月/人物一/人物二,.*月.*人物一.*人物二.*,13,0.0,211.0,739.0,-1
79.0,铁拐李/人物一/人物二/曹国舅,.*铁拐李.*人物一.*人物二.*曹国舅.*,13,1.0,817.0,1176.0,-1
80.0,人物一/人物二/弟弟,.*人物一.*人物二.*弟弟.*,12,-1.0,603.0,1297.0,-1
81.0,人物一/蓝采和/人物二,.*人物一.*蓝采和.*人物二.*,12,1.0,1165.0,1531.0,-1
82.0,人物二/人物一/学生,.*人物二.*人物一.*学生.*,12,1.0,1285.0,1485.0,-1
83.0,人物二/年/人物一,.*人物二.*年.*人物一.*,12,0.0,358.0,1028.0,-1
84.0,八仙/钟离/人物一/人物二,.*八仙.*钟离.*人物一.*人物二.*,12,1.0,829.0,1145.0,-1
85.0,张果老/人物一/人物二,.*张果老.*人物一.*人物二.*,12,1.0,1147.0,1497.0,-1
86.0,汉/人物一/人物二/曹国舅,.*汉.*人物一.*人物二.*曹国舅.*,12,1.0,816.0,1189.0,-1
87.0,汉/钟离/人物一/人物二/曹国舅,.*汉.*钟离.*人物一.*人物二.*曹国舅.*,12,1.0,509.0,788.0,-1
88.0,钟离/人物一/人物二/曹国舅,.*钟离.*人物一.*人物二.*曹国舅.*,12,1.0,767.0,1132.0,-1
89.0,人物二/人物一/中国,.*人物二.*人物一.*中国.*,11,0.0,169.0,458.0,-1
90.0,人物二/人物一/时,.*人物二.*人物一.*时.*,11,0.0,70.0,54.0,1
91.0,介绍/人物二/人物一,.*介绍.*人物二.*人物一.*,11,-1.0,533.0,1230.0,-1
