sent_id,entity1,entity2,sent,processed_sent,label,hard_match
TRAIN_SENT_ID_273624,马阔海,马青山,召唤 人 ： 柯胜 （ 主要 ） 、 马青山 、 马阔海 、 小 李子,召唤  柯胜  主要   人物二  人物一  李子,1,1
TRAIN_SENT_ID_259528,梅超风,杨康,后 因 捕获 大 金 赵王 完颜洪烈 养子 杨康 而 引康 之师 、 陆氏 师姐 、 梅超风 来 救 。,捕获 金 赵王 完颜洪烈 养子 人物二 引康 之师  陆氏 师姐  人物一 救,-1,0
TRAIN_SENT_ID_268838,骆羽,骆赢,混双 ： 何汉斌 / 包宜鑫 刘成 / 骆赢 李根 / 骆羽,混双  何汉斌  包宜鑫 刘成  人物二 李根  人物一,1,0
TRAIN_SENT_ID_252515,颜回,孔子,孔子 最 欣赏 颜回 的 地方 ， 就是 “ 不 迁怒 ” 与 “ 不 贰 过 ” 。,人物二 欣赏 人物一 地方   迁怒   贰,-1,0
TRAIN_SENT_ID_257234,艾欧里亚,艾俄洛斯,圣域 志 狮子 列传 第八 : 艾欧里亚 ， 希腊人 也 ， 射手 县侯 艾俄洛斯 弟 。,圣域 志 狮子 列传 第八  人物一  希腊人  射手 县侯 人物二 弟,1,-1
TRAIN_SENT_ID_257474,姜昆,马季,主持人 ： 姜昆 、 马季 、 刘晓庆 、 王景愚,主持人  人物一  人物二  刘晓庆  王景愚,-1,0
TRAIN_SENT_ID_264564,胡青牛,张无忌,张无忌 为 他 的 医学 师父 胡青牛 报 了 仇 ， 真是 报应 。,人物二 医学 师父 人物一 报 仇  真是 报应,-1,0
TRAIN_SENT_ID_265492,薛蝌,薛蟠,后 有 薛蟠 之 从弟 薛蝌 ， 因,人物二 从弟 人物一,1,0
TRAIN_SENT_ID_261680,程英,陆无双,黄蓉 一看 便 知 程英 “ 外 和 内刚 ” ， “ 外刚内柔 ” 的 陆无双 ， 有 了 这位 守护 天使 ， 以后 都 不会 受人 欺侮 了 。,黄蓉 一看 便 知 人物一  外 内刚    外刚内柔  人物二  这位 守护 天使  以后 不会 受人 欺侮,1,0
TRAIN_SENT_ID_251514,陈辅,陈靖仇,然后 主角 随 陈靖仇 一同 前往 伏魔山 救出 了 陈辅 后 除掉 凶兽 饕餮 ， 得到 了 第二把 兵器 。,主角 人物二 一同 前往 伏魔山 救出 人物一 除掉 凶兽 饕餮  得到 第二把 兵器,-1,0
TRAIN_SENT_ID_275546,王小虎,赵本山,2 表演者 : 赵本山 、 范伟 、 蔡维利 、 王小虎,表演者  人物二  范伟  蔡维利  人物一,-1,0
TRAIN_SENT_ID_263544,林逸,杨明,杨明 林逸 的 师父 ， 《 很纯 很 暧昧 》 的 主角 。,人物二 人物一 师父   很纯 暧昧  主角,-1,0
TRAIN_SENT_ID_250365,赵飞燕,赵合德,尊 为 太后 : 佟丽娅版 赵飞燕 ( 17 张 ) 被 废 自杀 : 成帝 死 于 赵合德 床上 ， 朝野 震动 ， 群臣 声讨 赵氏 祸水 。,尊 太后  佟丽娅版 人物一   张  废 自杀  成帝 死 人物二 床上  朝野 震动  群臣 声讨 赵氏 祸水,1,0
TRAIN_SENT_ID_274395,贾演,贾源,其中 贾府 就 占 了 2 个 - - 宁国公 贾演 、 荣国公 贾源 。,贾府 占    宁国公 人物一  荣国公 人物二,1,0
TRAIN_SENT_ID_274390,贾演,贾源,▪ 贾演 ▪ 贾源 ▪ 贾代化 ▪ 贾代善 ▪ 贾代儒 ▪ 贾代修 ▪ 贾敷 ▪ 贾敬,▪ 人物一 ▪ 人物二 ▪ 贾代化 ▪ 贾代善 ▪ 贾代儒 ▪ 贾代修 ▪ 贾敷 ▪ 贾敬,1,0
TRAIN_SENT_ID_282543,苗正,黄震,黄震 号召 弟妹们 帮 他 一起 ， 黄家 姊 弟们 决定 通过 斗武来 选出 五人 去 帮助 他 ， 苗正 轻松 地 脱颖而出 。,人物二 号召 弟妹们 帮 一起  黄家 姊 弟们 决定 斗武来 选出 五人 帮助  人物一 轻松 脱颖而出,1,0
TRAIN_SENT_ID_256907,仲由,孔子,孔子 曰 ： “ 仲由 ！,人物二 曰   人物一,-1,0
TRAIN_SENT_ID_266203,李昌镐,曹薰铉,副帅 之战 ， 常昊 力挫 韩国 围棋 皇帝 曹薰铉 ， 直奔 韩国 的 农心杯 定海神针 李昌镐 阵前 。,副帅 之战  常昊 力挫 韩国 围棋 皇帝 人物二  直奔 韩国 农心杯 定海神针 人物一 阵前,-1,0
TRAIN_SENT_ID_265554,张崇基,张崇德,TakeItEasy （ 曲 / 编 ） ‖ 张崇基 / 张崇德 ‖ 【 TakeItEasy 】 ‖ 2009.04,曲  编  ‖ 人物一  人物二 ‖    ‖,1,0
TRAIN_SENT_ID_265416,薛谭,秦青,（ 元人 “ 燕南 芝庵 ” 《 论曲 》 ： “ 古善 唱者 五人 ： 秦青 、 薛谭 、 韩 秦娥 、 沈右 之 、 李存 符 。 ”,元人  燕南 芝庵   论曲    古善 唱者 五人  人物二  人物一  韩 秦娥  沈右  李存 符,-1,0
TRAIN_SENT_ID_271504,孟优,孟获,761 兀突 骨 762 孟香 763 孟优 764 孟获 765 祝融 夫人 766 木鹿 大王 767 朵思 大王 768 沙摩柯 769 金环三结,兀突 骨  孟香  人物一  人物二  祝融 夫人  木鹿 大王  朵思 大王  沙摩柯  金环三结,1,0
TRAIN_SENT_ID_257051,洪敬尧,洪荣宏,08 . 绵绵 旧情 / 林慧萍 ． 洪荣宏 ． 洪敬尧,绵绵 旧情  林慧萍 ． 人物二 ． 人物一,1,0
TRAIN_SENT_ID_261581,南宫敬叔,孟懿子,孟僖子 将 死 ， 嘱 其二 子 孟懿子 与 南宫敬叔 向 孔子 学礼 。,孟僖子 死  嘱 子 人物二 人物一 孔子 学礼,1,0
TRAIN_SENT_ID_266001,王恬,王洽,王恬 王悦 王洽 王协 王劭 王荟,人物一 王悦 人物二 王协 王劭 王荟,1,0
TRAIN_SENT_ID_277932,薛真度,薛安都,先是 ， 憕 【 薛憕 】 从祖 真度 【 薛真度 】 与族祖 安都 【 薛安都 】 拥徐 、 兖归魏 ， 其子 怀隽 【 薛怀 隽 】 见 憕 ， 甚相 亲善 。,先是  憕  薛憕  从祖 真度  人物一  与族祖 安都  人物二  拥徐  兖归魏  其子 怀隽  薛怀 隽  见 憕  甚相 亲善,1,0
TRAIN_SENT_ID_249006,吕洞宾,韩湘子,两侧 分别 为汉 钟离 、 张果老 、 韩湘子 、 铁拐李 、 吕洞宾 、 曹国舅 、 蓝采和 、 何仙姑 的 “ 八仙 ” 泥塑 彩像 。,两侧 为汉 钟离  张果老  人物二  铁拐李  人物一  曹国舅  蓝采和  何仙姑  八仙  泥塑 彩像,-1,0
TRAIN_SENT_ID_263375,武修文,武敦儒,师侄 ： 郭 芙 、 郭襄 、 郭破虏 、 武敦儒 、 武修文 。,师侄  郭 芙  郭襄  郭破虏  人物二  人物一,1,0
TRAIN_SENT_ID_269574,水笙,汪啸风,5 . 水笙 听得 汪啸风 惊呼 ， 当即 勒马 。,人物一 听得 人物二 惊呼  当即 勒马,1,0
TRAIN_SENT_ID_267448,唐继虞,唐继尧,唐继尧 在 各军 的 军事 压力 下 ， 被迫 同意 了 这些 要求 ， 令 唐继虞 等 人 出走 ， 同意 改组 省政府 。,人物二 各军 军事 压力  被迫 同意 要求  令 人物一 出走  同意 改组 省政府,1,0
TRAIN_SENT_ID_251428,李瀚章,李鸿章,这 与 李鸿章 的 大哥 李瀚章 有关 。,人物二 大哥 人物一,1,0
TRAIN_SENT_ID_275824,陆无双,李莫愁,神 ： 小龙女 ， 程英 ， 陆无双 ， 李莫愁 ， 刘瑛 ， 公孙绿萼,神  小龙女  程英  人物一  人物二  刘瑛  公孙绿萼,-1,0
TRAIN_SENT_ID_251430,李瀚章,李鸿章,李瀚章 是 李鸿章 兄长 ， 查 有关 资料 ：,人物一 人物二 兄长  查 资料,1,0
TRAIN_SENT_ID_257789,林平之,岳不群,殊不知 ， 岳不群 挖 了 一个 非常 大 的 坑 等 着 他 跳 呢 ， 从此 ， 林平之 接下来 的 一生 ， 不是 自己 所 能 掌控 得 了 的 。,殊不知  人物二 挖 一个 非常 坑 跳   人物一 接下来 一生  掌控,-1,1
TRAIN_SENT_ID_269560,步鹰,燕双鹰,燕双鹰 万分 悲痛 之下 ， 将 步鹰 乱枪 击毙 。,人物二 万分 悲痛 之下  人物一 乱枪 击毙,-1,0
TRAIN_SENT_ID_252505,颜回,孔子,看着 这些 钱袋 ， 孔子 想起 刚才 称赞 颜回 ， 批评 子贡 的话 ， 感到 脸上 火辣辣 的 。,看着 钱袋  人物二 想起 刚才 称赞 人物一  批评 子贡  感到 脸上 火辣辣,-1,-1
TRAIN_SENT_ID_255286,卫夫人,王羲之,崔瑗 张芝 张昶 锺 繇 锺 会 韦诞 皇象 嵇康 卫瓘 卫夫人 索靖 谢安 王导 王敦 王廙 王洽 王珉 王羲之 王献之,崔瑗 张芝 张昶 锺 繇 锺 会 韦诞 皇象 嵇康 卫瓘 人物一 索靖 谢安 王导 王敦 王廙 王洽 王珉 人物二 王献之,-1,0
TRAIN_SENT_ID_282739,周信,吕岳,周信 ， 九龙 岛 声名 山 炼气 士 ， 吕岳 之徒 。,人物一  九龙 岛 声名 山 炼气 士  人物二 之徒,-1,0
TRAIN_SENT_ID_270975,李易霏,李昂融,全运 朵朵 果果 会 耀眼 明星 : 她们 是 — — 李易霏 李昂融 。,全运 朵朵 果果 会 耀眼 明星    人物一 人物二,1,0
TRAIN_SENT_ID_262241,尤二姐,尤三姐,第六十五回 贾二舍 偷 娶 尤二姐 尤三姐 思嫁 柳 二郎,第六十五回 贾二舍 偷 娶 人物一 人物二 思嫁 柳 二郎,1,0
TRAIN_SENT_ID_267602,李沧海,李秋水,10 . 《 仙剑 奇侠传 五 - 前传 》 - 凌波 天龙八部 之 天山童姥 李沧海 李秋水 CN 行云,仙剑 奇侠传 五  前传   凌波 天龙八部 天山童姥 人物一 人物二  行云,1,0
TRAIN_SENT_ID_250095,武敦儒,武修文,后 由 郭靖传 于 弟子 武修文 、 武敦儒 和 女儿 郭 芙 。,郭靖传 弟子 人物二  人物一 女儿 郭 芙,1,0
TRAIN_SENT_ID_271498,孟优,孟获,新 角色 马超 孟起 、 孟获 、 孟优 登场 。,新 角色 马超 孟起  人物二  人物一 登场,1,0
TRAIN_SENT_ID_269011,李如柏,李如松,李如松 （ 第八 世 ） — 李如柏 — 李如桢 — 李如樟 — 李如梅,人物二  第八 世   人物一  李如桢  李如樟  李如梅,1,0
TRAIN_SENT_ID_250107,武敦儒,武修文,三流 奶 ： 瑛 姑 、 天竺 高僧 、 武敦儒 、 武修文 、 陆立鼎 。,三流 奶  瑛 姑  天竺 高僧  人物一  人物二  陆立鼎,1,0
TRAIN_SENT_ID_278784,万寿公主,广德公主,（ 唐宣宗 长女 ） : 万寿公主 ， 唐宣宗 长女 ， 母 元昭皇后 晁氏 ， 同 母弟 唐懿宗 ， 母妹 广德公主 。,唐宣宗 长女   人物一  唐宣宗 长女  母 元昭皇后 晁氏  母弟 唐懿宗  母妹 人物二,1,0
