rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
0.0,年/人物二/人物一,.*年.*人物二.*人物一.*,74,1.0,1041.0,754.0,1
1.0,年/人物一/人物二,.*年.*人物一.*人物二.*,57,1.0,1033.0,742.0,1
2.0,人物二/弟子/人物一,.*人物二.*弟子.*人物一.*,55,-1.0,484.0,925.0,-1
3.0,人物一/人物二/弟子,.*人物一.*人物二.*弟子.*,39,-1.0,484.0,918.0,-1
4.0,人物一/年/人物二,.*人物一.*年.*人物二.*,36,-1.0,1018.0,746.0,1
5.0,人物二/说/人物一,.*人物二.*说.*人物一.*,35,-1.0,319.0,526.0,-1
6.0,中/人物一/人物二,.*中.*人物一.*人物二.*,28,1.0,300.0,257.0,1
7.0,人物/人物一/人物二,.*人物.*人物一.*人物二.*,26,1.0,539.0,409.0,1
8.0,人物二/人物一/说,.*人物二.*人物一.*说.*,25,-1.0,326.0,536.0,-1
9.0,人物二/中/人物一,.*人物二.*中.*人物一.*,24,-1.0,277.0,255.0,1
10.0,月/人物二/人物一,.*月.*人物二.*人物一.*,24,1.0,712.0,475.0,1
11.0,人物/人物二/人物一,.*人物.*人物二.*人物一.*,23,1.0,565.0,368.0,1
12.0,中/人物二/人物一,.*中.*人物二.*人物一.*,22,1.0,306.0,271.0,1
13.0,人物二/人物一/年,.*人物二.*人物一.*年.*,21,1.0,1020.0,737.0,1
14.0,人物二/弟弟/人物一,.*人物二.*弟弟.*人物一.*,21,1.0,1257.0,972.0,1
15.0,人物一/人物二/中,.*人物一.*人物二.*中.*,19,1.0,350.0,258.0,1
16.0,人物一/人物二/说,.*人物一.*人物二.*说.*,19,-1.0,327.0,537.0,-1
17.0,人物一/中/人物二,.*人物一.*中.*人物二.*,18,-1.0,281.0,253.0,1
18.0,人物一/人物二/曹国舅,.*人物一.*人物二.*曹国舅.*,18,-1.0,1573.0,1519.0,1
19.0,年/月/人物二/人物一,.*年.*月.*人物二.*人物一.*,18,1.0,521.0,328.0,1
20.0,汉/人物一/人物二,.*汉.*人物一.*人物二.*,18,-1.0,1541.0,1487.0,1
21.0,铁拐李/人物一/人物二,.*铁拐李.*人物一.*人物二.*,18,-1.0,1600.0,1562.0,1
22.0,人物一/人物二/为师,.*人物一.*人物二.*为师.*,17,-1.0,1683.0,1698.0,-1
23.0,人物一/人物二/成为,.*人物一.*人物二.*成为.*,17,1.0,833.0,782.0,1
24.0,人物二/人物一/中,.*人物二.*人物一.*中.*,17,1.0,338.0,259.0,1
25.0,人物二/徒弟/人物一,.*人物二.*徒弟.*人物一.*,17,-1.0,1558.0,1574.0,-1
26.0,钟离/人物一/人物二,.*钟离.*人物一.*人物二.*,17,-1.0,1646.0,1579.0,1
27.0,人物一/人物/人物二,.*人物一.*人物.*人物二.*,16,-1.0,525.0,421.0,1
