sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_272044,韩慕侠,周恩来,周恩来 曾 提笔 为 韩慕侠 的 武馆 ， 写下 “ 韩九师堂 ” 四字 。,人物二 提笔 人物一 武馆  写下  韩九师堂  四字,-1
TRAIN_SENT_ID_275927,孙莹莹,孙芸芸,20121221 姐妹 掏心 话 — — 私生活 多 疯狂 揭开 台湾 第一名 媛 的 真面目 嘉宾 : 孙芸芸 孙莹莹 廖晓乔,姐妹 掏心 话   私生活 疯狂 揭开 台湾 第一名 媛 真面目 嘉宾  人物二 人物一 廖晓乔,1
TRAIN_SENT_ID_269786,池田菜沙,池田华菜,家庭成员 ： 父母 、 姐姐 池田华菜 、 三胞胎 的 妹妹 池田城菜 、 池田菜沙,家庭成员  父母  姐姐 人物二  三胞胎 妹妹 池田城菜  人物一,1
TRAIN_SENT_ID_261667,程英,陆无双,一直 到 《 神雕侠侣 》 ， 杨过 、 程英 、 陆无双 等 人 被 「 赤练 仙子 」 李莫愁 追赶 至 北方 之 时 ， 冯默风 才 正式 登场 。,一直  神雕侠侣   杨过  人物一  人物二  赤练 仙子  李莫愁 追赶 北方 时  冯默风 正式 登场,1
TRAIN_SENT_ID_252861,颜回,孔子,当年 孔子 思 颜回 ， 作下 这 一曲 《 忆 故人 》 ， 如今 四嫂 又 是 思念 谁 ？,当年 人物二 思 人物一  作下 一曲  忆 故人   如今 四嫂 思念,-1
TRAIN_SENT_ID_264384,曾国潢,曾国藩,曾国藩 咸丰 十年 五月 十四日 写给 四弟 曾国潢 的 家书,人物二 咸丰 十年 五月 十四日 写给 四弟 人物一 家书,1
TRAIN_SENT_ID_265553,张崇基,张崇德,李大卫 与 著名 音乐 人 张崇基 张崇德 合影,李大卫 著名 音乐 人物一 人物二 合影,1
TRAIN_SENT_ID_275548,王小虎,赵本山,王小虎 说 ， 只有 增长 了 本领 和 才干 ， 才能 不愧 对 赵本山 徒弟 这个 称谓 。,人物一 说  增长 本领 才干  不愧 人物二 徒弟 称谓,-1
TRAIN_SENT_ID_275350,申公豹,元始天尊,元始天尊 说出 两份 封神榜 单 的 真相 ， 申公豹 拒绝接受 ， 投海 自尽 。,人物二 说出 两份 封神榜 单 真相  人物一 拒绝接受  投海 自尽,-1
TRAIN_SENT_ID_257457,姜昆,马季,因为 侯宝林 是 马季 的 师父 ， 马季 是 姜昆 的 师父 ， 而 姜昆 又 是 倪明 的 师父 。,侯宝林 人物二 师父  人物二 人物一 师父  人物一 倪明 师父,-1
TRAIN_SENT_ID_252859,颜回,孔子,殿内 ， 供奉 着 孔子 冕旒 坐像 和 颜回 、 孔伋 、 曾 参 、 孟子 的 四圣 坐像 。,殿内  供奉 人物二 冕旒 坐像 人物一  孔伋  参  孟子 四圣 坐像,-1
TRAIN_SENT_ID_256836,仲由,孔子,孔子 说 ： “ 仲由 啊 ， 让 我 教给 你 对待 知 与 不知 的 态度 吧 ！,人物二 说   人物一  教给 知 不知 态度,-1
TRAIN_SENT_ID_255428,罗成,秦琼,主要 书目 有 ： 《 秦琼 夜打 登 州府 》 、 《 罗成 破 孟州 》 、 《 燕王 扫北 》 、 《 大八义 》 、 《 小八义 》 等 。,主要 书目   人物二 夜打 登 州府    人物一 破 孟州    燕王 扫北    大八义    小八义,1
TRAIN_SENT_ID_269586,张瑶萱,张瑶华,家庭成员 ： 爸 、 妈 、 一兄 、 一妹 、 太太 罗美薇 及 两个 女儿 （ 大 女儿 ： 张瑶华 、 二女儿 ： 张瑶萱 ）,家庭成员  爸  妈  一兄  一妹  太太 罗美薇 两个 女儿  女儿  人物二  二女儿  人物一,1
TRAIN_SENT_ID_272362,钱永刚,钱永真,那年 ， 钱永刚 7 岁 ， 妹妹 钱永真 5 岁 。,那年  人物一  岁  妹妹 人物二  岁,1
TRAIN_SENT_ID_261714,汤镇业,汤镇宗,香港 无线 五虎将 汤镇业 ： 辉煌 不再 ， 处境 尴尬 : 汤镇业 胖多 了 ， 半秃 的 头顶 ， 看上去 比 他 哥哥 汤镇宗 还要 老 很多 。,香港 无线 五虎将 人物一  辉煌 不再  处境 尴尬  人物一 胖多  半秃 头顶  看上去 哥哥 人物二 老 很多,1
TRAIN_SENT_ID_259384,葛玄,左慈,到 东晋时 ， 造访 霍 童山 的 著名 的 道士 就 有 左慈 、 葛玄 、 郑隐 、 陶弘景 、 邓伯元 、 王玄甫 、 褚伯玉 等 多 人 。,东晋时  造访 霍 童山 著名 道士 人物二  人物一  郑隐  陶弘景  邓伯元  王玄甫  褚伯玉,-1
TRAIN_SENT_ID_257466,姜昆,马季,相声 ： 赵炎 、 马季 （ 已故 ） 、 李文华 （ 已故 ） 、 姜昆 、 侯耀文 （ 已故 ） 、 石富宽 、 侯宝林 （ 已故 ） 、 郭全宝 （ 已故 ） 。,相声  赵炎  人物二  已故   李文华  已故   人物一  侯耀文  已故   石富宽  侯宝林  已故   郭全宝  已故,-1
TRAIN_SENT_ID_252674,颜回,孔子,作品 赏析 : 这 一章 ， 孔子 对 颜回 学问 道德 接近 于 完善 却 在生活上 常常 贫困 深感 遗憾 。,作品 赏析  一章  人物二 人物一 学问 道德 接近 完善 在生活上 常常 贫困 深感 遗憾,-1
TRAIN_SENT_ID_283923,罗人杰,余沧海,青城派 余沧海 四大 弟子 之一 ， 与 洪人雄 、 于人豪 、 罗人杰 合称 “ 英雄豪杰 ， 青城 四秀 ” 。,青城派 人物二 四大 弟子  洪人雄  于人豪  人物一 合称  英雄豪杰  青城 四秀,-1
TRAIN_SENT_ID_263371,武修文,武敦儒,在 郭靖 看来 ， 襄阳 的 未来 就 落 在 武敦儒 、 武修文 肩膀 上 。,郭靖 看来  襄阳 未来 落 人物二  人物一 肩膀,1
TRAIN_SENT_ID_252560,颜回,孔子,【 成语故事 】 春秋时期 ， 孔子 在 他 的 学生 中 最 喜欢 颜回 ， 他 十分 尊敬 孔子 。,成语故事  春秋时期  人物二 学生 中 喜欢 人物一  十分 尊敬 人物二,-1
TRAIN_SENT_ID_257775,林平之,岳不群,不 ， 余沧海 和 木高峰 只是 对 林平之 进行 肉体上 的 折磨 ， 而 岳不群 却 毁掉 了 他 的 道德 信仰 。,余沧海 木高峰 人物一 进行 肉体上 折磨  人物二 毁掉 道德 信仰,-1
TRAIN_SENT_ID_250104,武敦儒,武修文,杨过 ： 仅限于 与 对付 李莫愁 时 亲友 : 徒孙 ： 傻姑 （ 亲传 ） 武敦儒 、 武修文 、 陆冠英 、 郭 芙 、 郭襄 、 郭破虏 、 东邪 药师 派 门人,杨过  仅限于 对付 李莫愁 时 亲友  徒孙  傻姑  亲传  人物一  人物二  陆冠英  郭 芙  郭襄  郭破虏  东邪 药师 派 门人,1
TRAIN_SENT_ID_249209,皮皮鲁,鲁西西,皮皮鲁 生日 纪念 : 皮皮鲁 和 鲁西西 30 岁 生日 庆典 ( 17 张 ),人物一 生日 纪念  人物一 人物二  岁 生日 庆典   张,1
TRAIN_SENT_ID_269560,步鹰,燕双鹰,燕双鹰 万分 悲痛 之下 ， 将 步鹰 乱枪 击毙 。,人物二 万分 悲痛 之下  人物一 乱枪 击毙,-1
TRAIN_SENT_ID_269348,王中军,王中磊,无论 大 老板 王中军 、 王中磊 ， 还是 大 导演 冯小刚 ， 无不 在 各大 场合 力荐 这位 真诚 朴实 的 女歌手 ， 助其 登峰造极 。,老板 人物一  人物二  导演 冯小刚  无不 各大 场合 力荐 这位 真诚 朴实 女歌手  助其 登峰造极,1
TRAIN_SENT_ID_257446,姜昆,马季,马季 收 了 20 个 徒弟 ， 前面 几个 ， 如 姜昆 、 冯巩 等 成名 很早 ， 但 他们 都 没能 把 相声 一直 说 下来 。,人物二 收  徒弟  前面 几个  人物一  冯巩 成名 很早  没能 相声 一直 说 下来,-1
