rule_id,rule,frequence,label
0,年/人物二/人物一,72,0
1,人物二/弟子/人物一,58,0
2,人物一/人物二/弟子,47,0
3,人物二/说/人物一,44,0
4,年/人物一/人物二,39,0
5,中/人物一/人物二,34,0
6,人物一/人物/人物二,25,0
7,人物一/年/人物二,25,0
8,人物二/弟弟/人物一,25,0
9,人物/人物二/人物一,24,0
10,人物二/人物一/说,24,0
11,人物一/人物二/年,22,0
12,月/人物二/人物一,22,0
13,中/人物二/人物一,20,0
14,人物一/人物二/说,20,0
15,人物二/中/人物一,20,0
16,人物一/人物二/中,19,0
17,人物一/人物二/为师,19,0
18,人物一/拜/人物二,19,0
19,人物二/人物一/中,19,0
20,人物二/人物一/年,19,0
21,人物二/人物一/成为,18,0
22,人物一/中/人物二,17,0
23,人物一/人物二/学习,17,0
24,人物一/人物二/曹国舅,17,0
25,人物一/子路/人物二,17,0
26,人物二/人物/人物一,17,0
27,人物一/人物二/得意,16,0
28,人物/人物一/人物二,15,0
29,人物一/人物二/学生,15,0
30,人物一/拜/人物二/为师,15,0
31,八仙/人物一/人物二,15,0
32,年/月/人物二/人物一,15,0
33,钟离/人物一/人物二,15,0
34,主要/人物二/人物一,14,0
35,人物一/人物二/中国,14,0
36,人物一/人物二/徒弟,14,0
37,人物二/人物一/弟子,14,0
38,后来/人物二/人物一,14,0
39,汉/人物一/人物二,14,0
40,人物一/哥哥/人物二,13,0
41,人物一/师从/人物二,13,0
42,人物一/著名/人物二,13,0
43,人物二/人物一/妹妹,13,0
44,人物二/人物一/王姬,13,0
45,人物二/时/人物一,13,0
46,人物二/王姬/人物一,13,0
47,人物二/王姬/人物一/王姬,13,0
48,弟子/人物一/人物二,13,0
49,张果老/人物一/人物二,13,0
50,汉/钟离/人物一/人物二,13,0
51,钟离/人物一/人物二/曹国舅,13,0
52,人物一/人物二/何仙姑,12,0
53,人物一/人物二/时,12,0
54,人物一/人物二/没有,12,0
55,人物一/字/人物二,12,0
56,人物一/相声/人物二,12,0
57,人物二/人物一/兄弟,12,0
58,人物二/女儿/人物一,12,0
59,人物二/妹妹/人物一,12,0
60,人物二/徒弟/人物一,12,0
61,八仙/人物一/人物二/曹国舅,12,0
62,时/人物二/人物一,12,0
63,人物一/人物二/一起,11,0
64,人物一/人物二/孩子,11,0
65,人物一/人物二/弟弟,11,0
66,人物一/师父/人物二,11,0
67,人物一/时/人物二,11,0
68,人物二/人物一/一个,11,0
69,人物二/人物一/二人,11,0
70,人物二/人物一/死,11,0
71,人物二/学生/人物一,11,0
72,汉/人物一/人物二/曹国舅,11,0
73,汉/钟离/人物一/人物二/曹国舅,11,0
74,相声/人物一/人物二,11,0
75,铁拐李/人物一/人物二,11,0
76,人物一/人物二/一个,10,0
77,人物一/人物二/主演,10,0
78,人物一/人物二/得意/弟子,10,0
79,人物一/人物二/成为,10,0
80,人物一/人物二/老师,10,0
81,人物一/字/子路/人物二,10,0
82,人物一/弟弟/人物二,10,0
83,人物一/没有/人物二,10,0
84,人物二/人物一/主演,10,0
85,人物二/人物一/张,10,0
86,人物二/人物一/时,10,0
87,人物二/子/人物一,10,0
88,人物二/昌/人物一,10,0
89,人物二/昌/人物一/王姬,10,0
90,人物二/王姬/昌/人物一,10,0
91,人物二/王姬/昌/人物一/王姬,10,0
92,八仙/张果老/人物一/人物二,10,0
93,八仙/钟离/人物一/人物二,10,0
94,导演/人物二/人物一,10,0
95,张果老/人物一/人物二/曹国舅,10,0
96,月/人物一/人物二,10,0
97,铁拐李/汉/人物一/人物二,10,0
98,铁拐李/汉/钟离/人物一/人物二,10,0
99,铁拐李/钟离/人物一/人物二,10,0
100,人物一/已故/人物二,9,0
101,人物一/月/人物二,9,0
102,人物一/李逵/人物二,9,0
103,人物一/蓝采和/人物二,9,0
104,人物一/问/人物二,9,0
105,人物二/人物一/中国,9,0
106,人物二/人物一/便,9,0
107,人物二/人物一/姐妹,9,0
108,人物二/人物一/故事,9,0
109,人物二/人物一/曰,9,0
110,人物二/人物一/饰演,9,0
111,人物二/便/人物一,9,0
112,人物二/家语/人物一,9,0
113,儿子/人物二/人物一,9,0
114,八仙/张果老/人物一/人物二/曹国舅,9,0
115,八仙/汉/人物一/人物二,9,0
116,八仙/汉/钟离/人物一/人物二,9,0
117,八仙/钟离/人物一/人物二/曹国舅,9,0
118,后来/人物一/人物二,9,0
119,日/人物二/人物一,9,0
120,月/日/人物二/人物一,9,0
121,说/人物二/人物一,9,0
122,铁拐李/人物一/人物二/曹国舅,9,0
123,铁拐李/汉/人物一/人物二/曹国舅,9,0
124,铁拐李/汉/钟离/人物一/人物二/曹国舅,9,0
125,铁拐李/钟离/人物一/人物二/曹国舅,9,0
