rule_id,rule,pattern,frequence,original_label
178,人物一/人物二/遂,.*人物一.*人物二.*遂.*,22,1
250,人物一/人物二/未穷,.*人物一.*人物二.*未穷.*,20,1
251,人物一/人物二/未穷/辞,.*人物一.*人物二.*未穷.*辞.*,20,1
252,人物一/人物二/未穷/遂,.*人物一.*人物二.*未穷.*遂.*,20,1
253,人物一/人物二/未穷/遂/辞,.*人物一.*人物二.*未穷.*遂.*辞.*,20,1
254,人物一/人物二/未穷/青之技,.*人物一.*人物二.*未穷.*青之技.*,20,1
255,人物一/人物二/未穷/青之技/辞,.*人物一.*人物二.*未穷.*青之技.*辞.*,20,1
256,人物一/人物二/未穷/青之技/遂,.*人物一.*人物二.*未穷.*青之技.*遂.*,20,1
257,人物一/人物二/未穷/青之技/遂/辞,.*人物一.*人物二.*未穷.*青之技.*遂.*辞.*,20,1
258,人物一/人物二/辞,.*人物一.*人物二.*辞.*,20,-1
259,人物一/人物二/遂/辞,.*人物一.*人物二.*遂.*辞.*,20,1
260,人物一/人物二/青之技,.*人物一.*人物二.*青之技.*,20,1
261,人物一/人物二/青之技/辞,.*人物一.*人物二.*青之技.*辞.*,20,1
262,人物一/人物二/青之技/遂,.*人物一.*人物二.*青之技.*遂.*,20,1
263,人物一/人物二/青之技/遂/辞,.*人物一.*人物二.*青之技.*遂.*辞.*,20,1
264,人物一/学/人物二/未穷,.*人物一.*学.*人物二.*未穷.*,20,1
265,人物一/学/人物二/未穷/辞,.*人物一.*学.*人物二.*未穷.*辞.*,20,1
266,人物一/学/人物二/未穷/遂,.*人物一.*学.*人物二.*未穷.*遂.*,20,1
267,人物一/学/人物二/未穷/遂/辞,.*人物一.*学.*人物二.*未穷.*遂.*辞.*,20,1
268,人物一/学/人物二/未穷/青之技,.*人物一.*学.*人物二.*未穷.*青之技.*,20,1
269,人物一/学/人物二/未穷/青之技/辞,.*人物一.*学.*人物二.*未穷.*青之技.*辞.*,20,1
270,人物一/学/人物二/未穷/青之技/遂,.*人物一.*学.*人物二.*未穷.*青之技.*遂.*,20,1
271,人物一/学/人物二/辞,.*人物一.*学.*人物二.*辞.*,20,-1
272,人物一/学/人物二/遂,.*人物一.*学.*人物二.*遂.*,20,1
273,人物一/学/人物二/遂/辞,.*人物一.*学.*人物二.*遂.*辞.*,20,1
274,人物一/学/人物二/青之技,.*人物一.*学.*人物二.*青之技.*,20,1
275,人物一/学/人物二/青之技/辞,.*人物一.*学.*人物二.*青之技.*辞.*,20,1
276,人物一/学/人物二/青之技/遂,.*人物一.*学.*人物二.*青之技.*遂.*,20,1
277,人物一/学/人物二/青之技/遂/辞,.*人物一.*学.*人物二.*青之技.*遂.*辞.*,20,1
294,人物一/人物二/未穷/自谓,.*人物一.*人物二.*未穷.*自谓.*,19,1
295,人物一/人物二/未穷/自谓/辞,.*人物一.*人物二.*未穷.*自谓.*辞.*,19,1
296,人物一/人物二/未穷/自谓/遂,.*人物一.*人物二.*未穷.*自谓.*遂.*,19,1
297,人物一/人物二/未穷/自谓/遂/辞,.*人物一.*人物二.*未穷.*自谓.*遂.*辞.*,19,1
298,人物一/人物二/未穷/青之技/自谓,.*人物一.*人物二.*未穷.*青之技.*自谓.*,19,1
299,人物一/人物二/未穷/青之技/自谓/辞,.*人物一.*人物二.*未穷.*青之技.*自谓.*辞.*,19,1
300,人物一/人物二/未穷/青之技/自谓/遂,.*人物一.*人物二.*未穷.*青之技.*自谓.*遂.*,19,1
301,人物一/人物二/自谓,.*人物一.*人物二.*自谓.*,19,1
302,人物一/人物二/自谓/辞,.*人物一.*人物二.*自谓.*辞.*,19,1
303,人物一/人物二/自谓/遂,.*人物一.*人物二.*自谓.*遂.*,19,1
304,人物一/人物二/自谓/遂/辞,.*人物一.*人物二.*自谓.*遂.*辞.*,19,1
305,人物一/人物二/青之技/自谓,.*人物一.*人物二.*青之技.*自谓.*,19,1
306,人物一/人物二/青之技/自谓/辞,.*人物一.*人物二.*青之技.*自谓.*辞.*,19,1
307,人物一/人物二/青之技/自谓/遂,.*人物一.*人物二.*青之技.*自谓.*遂.*,19,1
308,人物一/人物二/青之技/自谓/遂/辞,.*人物一.*人物二.*青之技.*自谓.*遂.*辞.*,19,1
309,人物一/学/人物二/未穷/自谓,.*人物一.*学.*人物二.*未穷.*自谓.*,19,1
310,人物一/学/人物二/未穷/自谓/辞,.*人物一.*学.*人物二.*未穷.*自谓.*辞.*,19,1
311,人物一/学/人物二/未穷/自谓/遂,.*人物一.*学.*人物二.*未穷.*自谓.*遂.*,19,1
312,人物一/学/人物二/未穷/青之技/自谓,.*人物一.*学.*人物二.*未穷.*青之技.*自谓.*,19,1
313,人物一/学/人物二/自谓,.*人物一.*学.*人物二.*自谓.*,19,1
314,人物一/学/人物二/自谓/辞,.*人物一.*学.*人物二.*自谓.*辞.*,19,1
315,人物一/学/人物二/自谓/遂,.*人物一.*学.*人物二.*自谓.*遂.*,19,1
316,人物一/学/人物二/自谓/遂/辞,.*人物一.*学.*人物二.*自谓.*遂.*辞.*,19,1
317,人物一/学/人物二/青之技/自谓,.*人物一.*学.*人物二.*青之技.*自谓.*,19,1
318,人物一/学/人物二/青之技/自谓/辞,.*人物一.*学.*人物二.*青之技.*自谓.*辞.*,19,1
319,人物一/学/人物二/青之技/自谓/遂,.*人物一.*学.*人物二.*青之技.*自谓.*遂.*,19,1
320,人物一/学/讴于/人物二,.*人物一.*学.*讴于.*人物二.*,19,1
322,人物一/讴于/人物二,.*人物一.*讴于.*人物二.*,19,1
414,人物一/学/讴于/人物二/未穷,.*人物一.*学.*讴于.*人物二.*未穷.*,16,1
415,人物一/学/讴于/人物二/未穷/辞,.*人物一.*学.*讴于.*人物二.*未穷.*辞.*,16,1
416,人物一/学/讴于/人物二/未穷/遂,.*人物一.*学.*讴于.*人物二.*未穷.*遂.*,16,1
417,人物一/学/讴于/人物二/未穷/青之技,.*人物一.*学.*讴于.*人物二.*未穷.*青之技.*,16,1
418,人物一/学/讴于/人物二/辞,.*人物一.*学.*讴于.*人物二.*辞.*,16,1
419,人物一/学/讴于/人物二/遂,.*人物一.*学.*讴于.*人物二.*遂.*,16,1
420,人物一/学/讴于/人物二/遂/辞,.*人物一.*学.*讴于.*人物二.*遂.*辞.*,16,1
421,人物一/学/讴于/人物二/青之技,.*人物一.*学.*讴于.*人物二.*青之技.*,16,1
422,人物一/学/讴于/人物二/青之技/辞,.*人物一.*学.*讴于.*人物二.*青之技.*辞.*,16,1
423,人物一/学/讴于/人物二/青之技/遂,.*人物一.*学.*讴于.*人物二.*青之技.*遂.*,16,1
426,人物一/讴于/人物二/未穷,.*人物一.*讴于.*人物二.*未穷.*,16,1
427,人物一/讴于/人物二/未穷/辞,.*人物一.*讴于.*人物二.*未穷.*辞.*,16,1
428,人物一/讴于/人物二/未穷/遂,.*人物一.*讴于.*人物二.*未穷.*遂.*,16,1
429,人物一/讴于/人物二/未穷/遂/辞,.*人物一.*讴于.*人物二.*未穷.*遂.*辞.*,16,1
430,人物一/讴于/人物二/未穷/青之技,.*人物一.*讴于.*人物二.*未穷.*青之技.*,16,1
431,人物一/讴于/人物二/未穷/青之技/辞,.*人物一.*讴于.*人物二.*未穷.*青之技.*辞.*,16,1
432,人物一/讴于/人物二/未穷/青之技/遂,.*人物一.*讴于.*人物二.*未穷.*青之技.*遂.*,16,1
433,人物一/讴于/人物二/辞,.*人物一.*讴于.*人物二.*辞.*,16,1
434,人物一/讴于/人物二/遂,.*人物一.*讴于.*人物二.*遂.*,16,1
435,人物一/讴于/人物二/遂/辞,.*人物一.*讴于.*人物二.*遂.*辞.*,16,1
436,人物一/讴于/人物二/青之技,.*人物一.*讴于.*人物二.*青之技.*,16,1
437,人物一/讴于/人物二/青之技/辞,.*人物一.*讴于.*人物二.*青之技.*辞.*,16,1
438,人物一/讴于/人物二/青之技/遂,.*人物一.*讴于.*人物二.*青之技.*遂.*,16,1
439,人物一/讴于/人物二/青之技/遂/辞,.*人物一.*讴于.*人物二.*青之技.*遂.*辞.*,16,1
461,人物一/人物二/做,.*人物一.*人物二.*做.*,15,-1
462,人物一/人物二/吃,.*人物一.*人物二.*吃.*,15,-1
463,人物一/人物二/姐妹,.*人物一.*人物二.*姐妹.*,15,1
469,人物一/学/讴于/人物二/未穷/自谓,.*人物一.*学.*讴于.*人物二.*未穷.*自谓.*,15,1
470,人物一/学/讴于/人物二/自谓,.*人物一.*学.*讴于.*人物二.*自谓.*,15,1
471,人物一/学/讴于/人物二/自谓/辞,.*人物一.*学.*讴于.*人物二.*自谓.*辞.*,15,1
472,人物一/学/讴于/人物二/自谓/遂,.*人物一.*学.*讴于.*人物二.*自谓.*遂.*,15,1
473,人物一/学/讴于/人物二/青之技/自谓,.*人物一.*学.*讴于.*人物二.*青之技.*自谓.*,15,1
477,人物一/讴于/人物二/未穷/自谓,.*人物一.*讴于.*人物二.*未穷.*自谓.*,15,1
478,人物一/讴于/人物二/未穷/自谓/辞,.*人物一.*讴于.*人物二.*未穷.*自谓.*辞.*,15,1
479,人物一/讴于/人物二/未穷/自谓/遂,.*人物一.*讴于.*人物二.*未穷.*自谓.*遂.*,15,1
480,人物一/讴于/人物二/未穷/青之技/自谓,.*人物一.*讴于.*人物二.*未穷.*青之技.*自谓.*,15,1
481,人物一/讴于/人物二/自谓,.*人物一.*讴于.*人物二.*自谓.*,15,1
482,人物一/讴于/人物二/自谓/辞,.*人物一.*讴于.*人物二.*自谓.*辞.*,15,1
483,人物一/讴于/人物二/自谓/遂,.*人物一.*讴于.*人物二.*自谓.*遂.*,15,1
484,人物一/讴于/人物二/自谓/遂/辞,.*人物一.*讴于.*人物二.*自谓.*遂.*辞.*,15,1
485,人物一/讴于/人物二/青之技/自谓,.*人物一.*讴于.*人物二.*青之技.*自谓.*,15,1
486,人物一/讴于/人物二/青之技/自谓/辞,.*人物一.*讴于.*人物二.*青之技.*自谓.*辞.*,15,1
487,人物一/讴于/人物二/青之技/自谓/遂,.*人物一.*讴于.*人物二.*青之技.*自谓.*遂.*,15,1
