sent_id,sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_269393,,颜徵在,孔子,鲁昭公 七年 （ 前 535 年 ） ， 孔子 十七岁 时 ， 母 颜徵在 卒 ， 与 其父 合葬 于防 。,鲁昭公 七年  前  年   人物二 十七岁 时  母 人物一 卒  其父 合葬 于防,-1
TRAIN_SENT_ID_259167,,刘备,刘禅,诸葛亮 留 太子 刘禅 守住 成都 ， 带 刘备 的 另外 两个 儿子 刘永 ， 刘理 来到 白帝城 。,诸葛亮 留 太子 人物二 守住 成都  带 人物一 两个 儿子 刘永  刘理 来到 白帝城,-1
TRAIN_SENT_ID_266104,,齐姜,申生,骊姬 对 太子 申生 说 ： “ 国君 梦见 了 你 母亲 齐姜 ， 你 一定 要 赶快 去 祭祀 她 。 ”,骊姬 太子 人物二 说   国君 梦见 母亲 人物一  一定 赶快 祭祀,-1
TRAIN_SENT_ID_262470,,扶苏,秦始皇,- - - - - - - 摘自 《 史记 · 李斯 列传 》 扶苏 自杀 译文 : 于是 ， 他们 就 一同 商议 ， 伪造 了 秦始皇 给 丞相 李斯 的 诏书 ， 立 胡亥 为 太子 。,摘自  史记  李斯 列传  人物一 自杀 译文   一同 商议  伪造 人物二 丞相 李斯 诏书  立 胡亥 太子,-1
TRAIN_SENT_ID_277337,,李萍,郭靖,此外 ， 苏杏璇 在 83 年 《 射雕 英雄传 之 铁血丹心 》 中 饰演 郭靖 母亲 李萍 ， 给 内地 观众 留下 了 深刻印象 。,苏杏璇  年  射雕 英雄传 铁血丹心  中 饰演 人物二 母亲 人物一  内地 观众 留下 深刻印象,-1
TRAIN_SENT_ID_276081,,陈三立,陈宝箴,陈宝箴 孙 ， 陈三立 ( 陈散原 ) 长子 ， 陈寅恪 之兄 。,人物二 孙  人物一  陈散原  长子  陈寅恪 之兄,-1
TRAIN_SENT_ID_286908,,崔纂,崔挺,崔纂 ， 字叔 则 ， 崔挺 族子 ， 博陵 安平 人 也 。,人物一  字叔  人物二 族子  博陵 安平,-1
TRAIN_SENT_ID_281673,,蒋韵,李锐,家人 ： 李锐 （ 父 ） 蒋韵 （ 母 ）,家人  人物二  父  人物一  母,-1
TRAIN_SENT_ID_270789,,王偃,王宪嫄,王宪嫄 兄弟 : 王藻 ， 王偃 长子 ， 官至 东阳 太守 ， 娶 宋文帝 刘义隆 第六 女 临川 长 公主 刘英媛 。,人物二 兄弟  王藻  人物一 长子  官至 东阳 太守  娶 宋文帝 刘义隆 第六 女 临川 长 公主 刘英媛,-1
TRAIN_SENT_ID_265316,,贾琏,贾赦,3.1 . 贾赦 生 贾琏 ( 原配 所生 的 长子 ) 、 贾琮 ( 庶出 次子 ) 、 贾迎春 ( 庶出 长女 ) ；,人物二 生 人物一  原配 所生 长子   贾琮  庶出 次子   贾迎春  庶出 长女,-1
TRAIN_SENT_ID_265367,,戚夫人,刘如意,刘如意 ， 母 戚夫人 ， 封赵王 。,人物二  母 人物一  封赵王,-1
TRAIN_SENT_ID_258704,,刘禅,刘备,刘瑶 ， 刘备 之孙 ， 刘禅 二 子 ， 延熙 元年 （ 238 年 ） 春 正月 受封 为 安定 王 。,刘瑶  人物二 之孙  人物一 二 子  延熙 元年   年  春 正月 受封 安定 王,-1
