sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_286798,安定公主,李治,安定公主 家族 成员 : 父亲 ： 唐高宗 李治,人物一 家族 成员  父亲  唐高宗 人物二,-1
TRAIN_SENT_ID_264777,张欣,潘石屹,61 岁 王石 遭遇 人生 “ 第二 春 ” ， 潘石屹 、 任志强 、 张欣 等 地产 大亨 也 纷纷 “ 落井下石 ” ， 调侃 起 老友 的 新 恋情 。,岁 王石 遭遇 人生  第二 春   人物二  任志强  人物一 地产 大亨 纷纷  落井下石   调侃 老友 新 恋情,1
TRAIN_SENT_ID_276894,罗启锐,张婉婷,《 岁月 神偷 》 是 罗启锐 与 张婉婷 的 心血 之作 。,岁月 神偷  人物一 人物二 心血 之作,1
TRAIN_SENT_ID_277718,李启铭,李刚,后经 证实 了解 ， 该 男子 名为 李启铭 ， 父亲 李刚 是 保定市 某 公安分局 副局长 。,后经 证实 了解  男子 名为 人物一  父亲 人物二 保定市 公安分局 副局长,-1
TRAIN_SENT_ID_267375,许志安,郑秀文,2 . 下次 / 迷糊 / 情欲 . 对象 / 值得 等 / 彻夜 缠绵 / 荒废 的 乐园 / 从没 这么 爱恋 过 / 男人 的 感慨 / 男人 最痛 （ 许志安 ; 郑秀文 ）,下次  迷糊  情欲  对象  值得  彻夜 缠绵  荒废 乐园  从没 爱恋  男人 感慨  男人 最痛  人物一  人物二,1
TRAIN_SENT_ID_286514,成春香,李梦龙,原著 原本 讲述 的 是 贵族 翰林 之子 李梦龙 与 出生 卑贱 的 成春香 之间 跨越 阶级 门第 的 爱情故事 ， 方子 其实 是 李梦龙 的 一名 贴身 男仆 。,原著 原本 讲述 贵族 翰林 之子 人物二 出生 卑贱 人物一 之间 跨越 阶级 门第 爱情故事  方子 其实 人物二 一名 贴身 男仆,1
TRAIN_SENT_ID_252268,秦嘉,徐淑,答 秦嘉 诗 作者简介 : 徐淑 ， 东汉 女诗人 。,答 人物一 诗 作者简介  人物二  东汉 女诗人,1
TRAIN_SENT_ID_266420,严世蕃,严嵩,嘉靖 四十四年 （ 1565 年 ） ， 御史 弹 欬 严嵩之 子 严世蕃 在 其母 丧 期内 仍 放任 纵淫 ， 并 严嵩 父子 不 法事 。,嘉靖 四十四年   年   御史 弹 欬 人物二之 子 人物一 其母 丧 期内 放任 纵淫  人物二 父子 法事,-1
TRAIN_SENT_ID_260807,李格非,李清照,李清照 ： 千古 第一 才女 ， 李格非 的 独生子女 。,人物二  千古 第一 才女  人物一 独生子女,-1
TRAIN_SENT_ID_273970,白素,卫斯理,卫斯理 与 白素 连手 出击 ， 却是 屡战屡败 ， 因大乔 手上 的 一枚 指环 太 厉害 了 ， 它 能 发出 激光 ， 毁灭 一切 。,人物二 人物一 连手 出击  却是 屡战屡败  因大乔 手上 一枚 指环 太 厉害  发出 激光  毁灭,1
TRAIN_SENT_ID_270933,梁思成,梁启超,梁启超 先生 的 公子 梁思成 教授 于 治丧 时 ， 在 讣告 后 所撰 梁启超 先生 传略 中 ， 将 治疗 的 全过程 予以 披露 。,人物二 先生 公子 人物一 教授 治丧 时  讣告 所撰 人物二 先生 传略 中  治疗 全过程 予以 披露,-1
TRAIN_SENT_ID_281490,牛通,牛皋,孟帮杰 汤琼 金眼 勿 银眼 勿 牛皋 牛通 燕青 温奇 柴桂 都 宽 巩致 沙丙 关铃,孟帮杰 汤琼 金眼 勿 银眼 勿 人物二 人物一 燕青 温奇 柴桂 宽 巩致 沙丙 关铃,-1
TRAIN_SENT_ID_283474,郭明秋,林枫,8 月 20 日 ， 在 中央党校 全校 大会 上 ， 造反派 把 校党委 领导 轰 下 主席台 ， 并 给 林枫 、 郭明秋 等 六人 戴高帽子 游斗 ， 进行 人身 侮辱 。,月  日  中央党校 全校 大会  造反派 校党委 领导 轰 主席台  人物二  人物一 六人 戴高帽子 游斗  进行 人身 侮辱,1
TRAIN_SENT_ID_259470,贾兰,李纨,便 说 李纨 和 其子 贾兰 ， 最后 母以子贵 。,便 说 人物二 其子 人物一  最后 母以子贵,-1
TRAIN_SENT_ID_286282,李继韬,李嗣昭,李继韬 ， 小字 留 得 ， 李嗣昭 次子 ， 汾州 太谷 人 ， 少 骄狯 无赖 。,人物一  小字 留  人物二 次子  汾州 太谷  少 骄狯 无赖,-1
TRAIN_SENT_ID_260082,齐良迟,齐白石,1986 年入 齐白石 艺术 函授 学院 深造 ， 后 拜 齐白石 大师 之子 、 著名画家 齐良迟 为师 并 成为 入室弟子 。,年入 人物二 艺术 函授 学院 深造  拜 人物二 大师 之子  著名画家 人物一 为师 成为 入室弟子,-1
TRAIN_SENT_ID_284825,云素素,云舞阳,1 基本 资料 : 主人公 ： 云舞阳 、 陈玄机 、 云素素,基本 资料  主人公  人物二  陈玄机  人物一,-1
TRAIN_SENT_ID_283508,白燕升,周佳,中央电视台 戏曲 节目 著名 主持人 白燕升 和 他 的 妻子 解放军 某部 的 会计 周佳 在 遭遇 不幸 时 ， 爱情 和 家庭 都 经受 住 了 考验 。,中央电视台 戏曲 节目 著名 主持人 人物一 妻子 解放军 某部 会计 人物二 遭遇 不幸 时  爱情 家庭 经受 住 考验,1
TRAIN_SENT_ID_272447,包惜弱,杨铁心,那日 包惜弱 在 赵 王府 中 与 杨铁心 再见 ， 初时 竟未 认出 眼前 之 人 就是 前夫 ！,那日 人物一 赵 王府 中 人物二 再见  初时 竟未 认出 眼前 前夫,1
TRAIN_SENT_ID_272347,金正恩,金正日,接下来 我们 说一说 金正恩 的 另外 几位 叔叔 和 姑姑 ， 他们 是 金日成 跟 第二任 妻子 的 革命 感情 结晶 ， 跟 金正日 同父异母 。,接下来 说一说 人物一 几位 叔叔 姑姑  金日成 第二任 妻子 革命 感情 结晶  人物二 同父异母,-1
TRAIN_SENT_ID_283376,乐颜,宁致远,剧中 ， 宁家 大少爷 宁致远 虽生 在 香业 世家 却 天生 没有 嗅觉 ， 看似 不学无术 实则 深藏不露 ， 在 斗嘴 的 过程 中 慢慢 爱上 了 乐颜 。,剧中  宁家 大少爷 人物二 虽生 香业 世家 天生 没有 嗅觉  看似 不学无术 实则 深藏不露  斗嘴 过程 中 慢慢 爱上 人物一,1
TRAIN_SENT_ID_271613,毛岸青,毛泽东,爷爷 激励 我 成长 作者简介 : 毛新宇 ， 新 中国 的 缔造者 毛泽东 的 孙子 ， 毛岸青 和 邵华 的 儿子 。,爷爷 激励 成长 作者简介  毛新宇  新 中国 缔造者 人物二 孙子  人物一 邵华 儿子,-1
TRAIN_SENT_ID_283342,贾敷,贾代化,2 . 贾代化 生二子 ： 长子 贾敷 ( 早夭 ) 、 次子 贾敬 ；,人物二 生二子  长子 人物一  早夭   次子 贾敬,-1
TRAIN_SENT_ID_272483,韦丛,元稹,元稹 与 韦丛 的 生死 爱恋,人物二 人物一 生死 爱恋,1
TRAIN_SENT_ID_254124,霍启刚,郭晶晶,2012 年 8 月 ： 霍启刚 郭晶晶 三千万 豪宅 婚房 曝光 别墅 位于 北京 海淀区 奢华 堪比 “ 皇宫 ”,年  月  人物一 人物二 三千万 豪宅 婚房 曝光 别墅 位于 北京 海淀区 奢华 堪比  皇宫,1
TRAIN_SENT_ID_282585,林于超,林依晨,2014 年 10 月 29 日 ， 林依晨 与 男友 林于超 正式 订婚 ； 12 月 24 日 ， 林依晨 与 林于超 举行 婚礼 。,年  月  日  人物二 男友 人物一 正式 订婚   月  日  人物二 人物一 举行 婚礼,1
TRAIN_SENT_ID_252236,秦嘉,徐淑,汉上计 秦嘉 嘉妻 徐淑 诗,汉上计 人物一 嘉妻 人物二 诗,1
TRAIN_SENT_ID_263277,胡亥,秦始皇,郭沫若 《 高渐离 》 第三幕 ： “ 秦始皇 帝 冕旒 正服 ， 手携 胡亥 ， 出现 于 窗口 。 ”,郭沫若  高渐离  第三幕   人物二 帝 冕旒 正服  手携 人物一  出现 窗口,-1
TRAIN_SENT_ID_283362,周繇,柯卢,周繇 史书 记载 : 《 史记 · 卷 三十一 · 吴太伯 世家 第一 》 ： 柯卢 卒 ， 子 周繇 立 。,人物一 史书 记载   史记  卷 三十一  吴太伯 世家 第一   人物二 卒  子 人物一 立,-1
TRAIN_SENT_ID_270547,关平,关羽,徐晃 副将 ， 关羽 围 樊城 ， 晃差 建及 徐商 假着 晃 旗号 ， 前 赴 偃城 与 关平 交战 。,徐晃 副将  人物二 围 樊城  晃差 建及 徐商 假着 晃 旗号  前 赴 偃城 人物一 交战,-1
TRAIN_SENT_ID_276061,陈三立,陈宝箴,桃里 陈氏 “ 一门 五杰 ” （ 陈宝箴 、 陈三立 、 陈寅恪 、 陈衡 恪 、 陈封怀 ） 蜚声 海内外 。,桃里 陈氏  一门 五杰   人物二  人物一  陈寅恪  陈衡 恪  陈封怀  蜚声 海内外,-1
TRAIN_SENT_ID_258696,刘禅,刘备,做个 有心人 — — 先帝 刘备 给 后主 刘禅 的 一封信,做个 有心人   先帝 人物二 后主 人物一 一封信,-1
TRAIN_SENT_ID_262437,扶苏,秦始皇,赵高 、 李斯 、 胡亥 要 密谋 除长 以立幼 ， 只要 嫡长子 扶苏 或者 其他 比 胡亥 年长 的 秦始皇 之 嫡子 活着 ， 胡亥 就 没有 资格 即位 。,赵高  李斯  胡亥 密谋 除长 以立幼  嫡长子 人物一 胡亥 年长 人物二 嫡子 活着  胡亥 没有 资格 即位,-1
TRAIN_SENT_ID_284468,钱永刚,钱学森,钱永真 ， 钱学森 之女 ， 1950 年 6 月 26 日出 生于 美国 加州 ， 1955 年 随 父母 和 哥哥 钱永刚 回国 ， 后 从事 音乐教育 工作 。,钱永真  人物二 之女   年  月  日出 生于 美国 加州   年 父母 哥哥 人物一 回国  从事 音乐教育 工作,-1
TRAIN_SENT_ID_270249,谭江柏,谭咏麟,谭咏鳞 早期 经历 : 谭咏麟 ， 绰号 “ 谭 校长 ” ， 为 已故 足球 名宿 谭江柏 之子 ， 生于 香港 ， 籍贯 广东 新 会 ， 是 香港 知名 歌手 ， 与 电影演员 。,谭咏鳞 早期 经历  人物二  绰号  谭 校长   已故 足球 名宿 人物一 之子  生于 香港  籍贯 广东 新 会  香港 知名 歌手  电影演员,-1
TRAIN_SENT_ID_272606,贾蓉,秦可卿,"红楼 春梦 秦可卿 内容简介 : 秦可卿 竟然 是 贾蓉 的 同胞 妹妹 , 而 她 究竟 是 贾珍 的 女儿 , 还是 贾敬 的 骨肉 , 竟 连 其 生母 也 说不清楚 … …",红楼 春梦 人物二 内容简介  人物二 竟然 人物一 同胞 妹妹  究竟 贾珍 女儿  贾敬 骨肉  竟 生母 说不清楚,1
TRAIN_SENT_ID_269275,陆雪琪,张小凡,张小凡 躺 在 陆雪琪 的 怀里 ， 那 僵硬 的 身躯 似乎 颤抖 了 一下 。,人物二 躺 人物一 怀里  僵硬 身躯 似乎 颤抖 一下,1
TRAIN_SENT_ID_277389,樊姬,楚庄王,为了 避免 楚庄王 误入歧途 ， 樊姬 就 亲自 负责 从 各地 寻访 美女 。,避免 人物二 误入歧途  人物一 亲自 负责 各地 寻访 美女,1
TRAIN_SENT_ID_260355,穆桂英,杨宗保,杨宗保 奉 元帅 杨六郎 之命 ， 去 穆阁 寨 取降 龙木来 破阵 ， 与 寨主 穆桂英 结为 夫妻 。,人物二 奉 元帅 杨六郎 之命  穆阁 寨 取降 龙木来 破阵  寨主 人物一 结为 夫妻,1
TRAIN_SENT_ID_254123,霍启刚,郭晶晶,霍启刚 步入 婚姻 : 2012 年 11 月 7 日 ， 霍启刚 与 郭晶晶 于 霍家 大宅 内 注册 结婚 ， 合共 两天 的 世纪 婚宴,人物一 步入 婚姻   年  月  日  人物一 人物二 霍家 大宅 注册 结婚  合共 两天 世纪 婚宴,1
TRAIN_SENT_ID_278561,岳灵珊,岳不群,由 华山 掌门 岳不群 抚养 授武 ， 为 华山 大 弟子 ， 钟情 青梅竹马 的 小 师妹 岳灵珊 。,华山 掌门 人物二 抚养 授武  华山 弟子  钟情 青梅竹马 师妹 人物一,-1
TRAIN_SENT_ID_257186,孙秀青,西门吹雪,西门吹雪 和 孙秀青 （ 黄元申 版 ）,人物二 人物一  黄元申 版,1
TRAIN_SENT_ID_276738,张默,罗秀春,张默 的 父亲 是 张国立 ， 母亲 是 妻 罗秀春 ， 继母 是 邓婕 。,人物一 父亲 张国立  母亲 妻 人物二  继母 邓婕,-1
TRAIN_SENT_ID_284179,李泳汉,李家鼎,李泳豪 、 李泳汉 兄弟 香港艺人 、 李家鼎 与 施明 所生 的 孪生 儿子 。,李泳豪  人物一 兄弟 香港艺人  人物二 施明 所生 孪生 儿子,-1
TRAIN_SENT_ID_269337,陆雪琪,张小凡,小鼎 聪明 机灵 、 天资过人 、 可爱 活泼 、 坚强 懂事 ， 是 大竹 峰 神秘 厨子 张小凡 与 青云 门 五大 长老 之一 陆雪琪 的 宝贝儿子 。,小鼎 聪明 机灵  天资过人  可爱 活泼  坚强 懂事  大竹 峰 神秘 厨子 人物二 青云 门 五大 长老 人物一 宝贝儿子,1
TRAIN_SENT_ID_285498,萧正仁,萧宏,（ 南朝梁 宗室 ） : 萧正仁 ， 南朝梁 宗室 ， 临川 靖惠王 萧宏 长子 。,南朝梁 宗室   人物一  南朝梁 宗室  临川 靖惠王 人物二 长子,-1
