rule_id,rule,pattern,frequence,original_label
485,人物一/人物二/皇帝,.*人物一.*人物二.*皇帝.*,31,-1
513,人物一/太子/人物二,.*人物一.*太子.*人物二.*,30,-1
519,人物二/人物一/王,.*人物二.*人物一.*王.*,30,-1
533,电视剧/人物一/人物二,.*电视剧.*人物一.*人物二.*,30,1
534,丈夫/人物二/人物一,.*丈夫.*人物二.*人物一.*,29,1
535,人物一/一直/人物二,.*人物一.*一直.*人物二.*,29,1
536,人物一/人物二/封,.*人物一.*人物二.*封.*,29,-1
537,人物一/人物二/年/结婚,.*人物一.*人物二.*年.*结婚.*,29,1
538,人物一/人物二/日本,.*人物一.*人物二.*日本.*,29,1
539,人物一/人物二/美国,.*人物一.*人物二.*美国.*,29,1
540,人物一/人物二/诗,.*人物一.*人物二.*诗.*,29,1
541,人物一/角色/人物二,.*人物一.*角色.*人物二.*,29,1
542,人物二/人物一/一同,.*人物二.*人物一.*一同.*,29,1
543,人物二/人物一/写,.*人物二.*人物一.*写.*,29,1
544,人物二/人物一/前,.*人物二.*人物一.*前.*,29,1
545,人物二/人物一/去世,.*人物二.*人物一.*去世.*,29,1
546,人物二/人物一/告诉,.*人物二.*人物一.*告诉.*,29,1
547,人物二/人物一/工作,.*人物二.*人物一.*工作.*,29,1
548,人物二/人物一/最终,.*人物二.*人物一.*最终.*,29,1
549,人物二/人物一/杀死,.*人物二.*人物一.*杀死.*,29,1
550,人物二/人物一/电影,.*人物二.*人物一.*电影.*,29,1
551,人物二/人物一/终于,.*人物二.*人物一.*终于.*,29,1
552,人物二/儿子/人物一/人物二,.*人物二.*儿子.*人物一.*人物二.*,29,-1
553,人物二/年/香港/人物一,.*人物二.*年.*香港.*人物一.*,29,-1
554,人物二/日/人物二/人物一,.*人物二.*日.*人物二.*人物一.*,29,1
555,人物二/杀死/人物一,.*人物二.*杀死.*人物一.*,29,1
556,人物二/校长/人物一/之子,.*人物二.*校长.*人物一.*之子.*,29,-1
557,人物二/校长/名宿/人物一,.*人物二.*校长.*名宿.*人物一.*,29,-1
558,人物二/校长/名宿/人物一/之子,.*人物二.*校长.*名宿.*人物一.*之子.*,29,-1
559,人物二/校长/已故/人物一,.*人物二.*校长.*已故.*人物一.*,29,-1
560,人物二/校长/已故/人物一/之子,.*人物二.*校长.*已故.*人物一.*之子.*,29,-1
561,人物二/校长/已故/名宿/人物一,.*人物二.*校长.*已故.*名宿.*人物一.*,29,-1
562,人物二/校长/已故/名宿/人物一/之子,.*人物二.*校长.*已故.*名宿.*人物一.*之子.*,29,-1
563,人物二/校长/已故/足球/人物一,.*人物二.*校长.*已故.*足球.*人物一.*,29,-1
564,人物二/校长/已故/足球/人物一/之子,.*人物二.*校长.*已故.*足球.*人物一.*之子.*,29,-1
565,人物二/校长/已故/足球/名宿/人物一,.*人物二.*校长.*已故.*足球.*名宿.*人物一.*,29,-1
566,人物二/校长/足球/人物一,.*人物二.*校长.*足球.*人物一.*,29,-1
567,人物二/校长/足球/人物一/之子,.*人物二.*校长.*足球.*人物一.*之子.*,29,-1
568,人物二/校长/足球/名宿/人物一,.*人物二.*校长.*足球.*名宿.*人物一.*,29,-1
569,人物二/校长/足球/名宿/人物一/之子,.*人物二.*校长.*足球.*名宿.*人物一.*之子.*,29,-1
570,人物二/绰号/人物一,.*人物二.*绰号.*人物一.*,29,-1
571,人物二/绰号/人物一/之子,.*人物二.*绰号.*人物一.*之子.*,29,-1
572,人物二/绰号/名宿/人物一,.*人物二.*绰号.*名宿.*人物一.*,29,-1
573,人物二/绰号/名宿/人物一/之子,.*人物二.*绰号.*名宿.*人物一.*之子.*,29,-1
574,人物二/绰号/已故/人物一,.*人物二.*绰号.*已故.*人物一.*,29,-1
575,人物二/绰号/已故/人物一/之子,.*人物二.*绰号.*已故.*人物一.*之子.*,29,-1
576,人物二/绰号/已故/名宿/人物一,.*人物二.*绰号.*已故.*名宿.*人物一.*,29,-1
577,人物二/绰号/已故/名宿/人物一/之子,.*人物二.*绰号.*已故.*名宿.*人物一.*之子.*,29,-1
578,人物二/绰号/已故/足球/人物一,.*人物二.*绰号.*已故.*足球.*人物一.*,29,-1
579,人物二/绰号/已故/足球/人物一/之子,.*人物二.*绰号.*已故.*足球.*人物一.*之子.*,29,-1
580,人物二/绰号/已故/足球/名宿/人物一,.*人物二.*绰号.*已故.*足球.*名宿.*人物一.*,29,-1
581,人物二/绰号/校长/人物一,.*人物二.*绰号.*校长.*人物一.*,29,-1
582,人物二/绰号/校长/人物一/之子,.*人物二.*绰号.*校长.*人物一.*之子.*,29,-1
583,人物二/绰号/校长/名宿/人物一,.*人物二.*绰号.*校长.*名宿.*人物一.*,29,-1
584,人物二/绰号/校长/名宿/人物一/之子,.*人物二.*绰号.*校长.*名宿.*人物一.*之子.*,29,-1
585,人物二/绰号/校长/已故/人物一,.*人物二.*绰号.*校长.*已故.*人物一.*,29,-1
586,人物二/绰号/校长/已故/人物一/之子,.*人物二.*绰号.*校长.*已故.*人物一.*之子.*,29,-1
587,人物二/绰号/校长/已故/名宿/人物一,.*人物二.*绰号.*校长.*已故.*名宿.*人物一.*,29,-1
588,人物二/绰号/校长/已故/足球/人物一,.*人物二.*绰号.*校长.*已故.*足球.*人物一.*,29,-1
589,人物二/绰号/校长/足球/人物一,.*人物二.*绰号.*校长.*足球.*人物一.*,29,-1
590,人物二/绰号/校长/足球/人物一/之子,.*人物二.*绰号.*校长.*足球.*人物一.*之子.*,29,-1
591,人物二/绰号/校长/足球/名宿/人物一,.*人物二.*绰号.*校长.*足球.*名宿.*人物一.*,29,-1
592,人物二/绰号/谭/人物一,.*人物二.*绰号.*谭.*人物一.*,29,-1
593,人物二/绰号/谭/人物一/之子,.*人物二.*绰号.*谭.*人物一.*之子.*,29,-1
594,人物二/绰号/谭/名宿/人物一,.*人物二.*绰号.*谭.*名宿.*人物一.*,29,-1
595,人物二/绰号/谭/名宿/人物一/之子,.*人物二.*绰号.*谭.*名宿.*人物一.*之子.*,29,-1
596,人物二/绰号/谭/已故/人物一,.*人物二.*绰号.*谭.*已故.*人物一.*,29,-1
597,人物二/绰号/谭/已故/人物一/之子,.*人物二.*绰号.*谭.*已故.*人物一.*之子.*,29,-1
598,人物二/绰号/谭/已故/名宿/人物一,.*人物二.*绰号.*谭.*已故.*名宿.*人物一.*,29,-1
638,公主/人物一/人物二,.*公主.*人物一.*人物二.*,29,-1
639,家庭/人物一/人物二,.*家庭.*人物一.*人物二.*,29,-1
640,家庭成员/人物二/人物一,.*家庭成员.*人物二.*人物一.*,29,-1
641,小说/人物一/人物二,.*小说.*人物一.*人物二.*,29,-1
647,朝鲜/人物二/人物一,.*朝鲜.*人物二.*人物一.*,29,-1
