rule_id,rule,frequence,label
0,年/人物二/人物一,361,0
1,年/人物一/人物二,261,0
2,月/人物二/人物一,182,0
3,月/人物一/人物二,154,0
4,年/月/人物二/人物一,140,0
5,人物二/儿子/人物一,127,0
6,人物一/人物二/之子,122,0
7,人物一/年/人物二,117,0
8,年/月/人物一/人物二,115,0
9,日/人物二/人物一,114,0
10,月/日/人物二/人物一,113,0
11,人物二/人物一/年,108,0
12,人物/人物一/人物二,98,0
13,人物二/年/人物一,97,0
14,人物一/人物二/女儿,96,0
15,人物二/之子/人物一,94,0
16,人物二/女儿/人物一,93,0
17,人物二/妻子/人物一,90,0
18,中/人物二/人物一,89,0
19,人物一/父亲/人物二,89,0
20,年/日/人物二/人物一,89,0
21,年/月/日/人物二/人物一,89,0
22,人物/人物二/人物一,88,0
23,日/人物一/人物二,83,0
24,月/日/人物一/人物二,81,0
25,人物一/人物二/儿子,78,0
26,人物一/人物二/年,77,0
27,人物二/夫人/人物一,77,0
28,人物一/儿子/人物二,74,0
29,中/人物一/人物二,73,0
30,人物一/人物/人物二,71,0
31,人物一/月/人物二,67,0
32,人物一/中/人物二,65,0
33,人物一/妻子/人物二,64,0
34,人物二/人物一/中,63,0
35,人物二/父亲/人物一,63,0
36,人物二/中/人物一,61,0
37,人物二/人物一/女儿,61,0
38,人物二/人物一/夫妇,60,0
39,人物二/人物一/说,59,0
40,年/日/人物一/人物二,59,0
41,年/月/日/人物一/人物二,59,0
42,人物一/人物二/结婚,57,0
43,人物一/年/月/人物二,57,0
44,人物二/人物一/结婚,56,0
45,人物一/人物二/中,55,0
46,人物二/人物一/之子,54,0
47,人物二/时/人物一,53,0
48,人物一/时/人物二,51,0
49,人物二/人物一/月,51,0
50,人物一/人物二/说,50,0
51,人物一/女儿/人物二,50,0
52,人物二/人物一/儿子,50,0
53,人物一/人物二/夫妇,48,0
54,人物二/月/人物一,48,0
55,人物二/长子/人物一,48,0
56,人物二/人物一/父亲,47,0
57,人物一/夫人/人物二,46,0
58,人物二/一个/人物一,46,0
59,人物二/子/人物一,46,0
60,人物一/说/人物二,45,0
61,人物二/人物一/两人,44,0
62,人物二/娶/人物一,44,0
63,人物一/人物二/时,43,0
64,生活/人物一/人物二,43,0
65,人物一/人物二/长子,42,0
66,人物二/人物一/时,42,0
67,人物二/生/人物一,42,0
68,人物二/人物一/一个,41,0
69,人物二/人物一/年/月,41,0
70,人物二/人物一/母亲,41,0
71,人物二/年/月/人物一,41,0
72,人物二/说/人物一,41,0
73,生活/人物二/人物一,41,0
74,人物一/之子/人物二,40,0
75,人物一/人物二/一个,40,0
76,人物一/人物二/妻子,40,0
77,人物一/人物二/月,40,0
78,人物一/人物二/没有,40,0
79,人物一/母亲/人物二,40,0
80,人物二/人物一/婚礼,40,0
81,个人/人物一/人物二,39,0
82,人物一/人物二/之女,39,0
83,人物一/人物二/夫人,39,0
84,人物一/人物二/子,39,0
85,人物二/人物/人物一,39,0
86,个人/人物二/人物一,38,0
87,人物一/人物二/母亲,38,0
88,人物一/饰/人物二,38,0
89,人物二/人物一/一起,38,0
90,说/人物一/人物二,38,0
91,个人/生活/人物一/人物二,37,0
92,人物一/人物二/生,37,0
93,人物二/人物一/二人,37,0
94,时/人物二/人物一,37,0
95,简介/人物二/人物一,37,0
96,说/人物二/人物一,37,0
97,人物一/日/人物二,36,0
