sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_265029,李铭顺,范文芳,《 神雕侠侣 》 是 新加坡 新 传媒 制作 私人 有限公司 出品 的 古装 武侠剧 ， 由 马玉辉 、 张 龙敏 执导 ， 李铭顺 和 范文芳 主演 。,神雕侠侣  新加坡 新 传媒 制作 私人 有限公司 出品 古装 武侠剧  马玉辉  张 龙敏 执导  人物一 人物二 主演,1
TRAIN_SENT_ID_259219,刘备,刘禅,"蜀国 大帝 内容简介 : 以 三国演义 为 背景 , 现代人 穿越 三国 时空 , 以 刘备 之子 刘禅 的 角度 改变 三国 进程 , 强大 蜀国 统一 中国 … …",蜀国 大帝 内容简介  三国演义 背景  现代人 穿越 三国 时空  人物一 之子 人物二 角度 改变 三国 进程  强大 蜀国 统一 中国,-1
TRAIN_SENT_ID_284000,金乡公主,何晏,何晏 娶 金乡公主 为妻 ， 赐爵 为 列侯 。,人物二 娶 人物一 为妻  赐爵 列侯,1
TRAIN_SENT_ID_260863,贾珍,贾蓉,宁国府 人 ， 对 贾珍 、 贾蓉 、 贾蔷 的 关系 ， 议论纷纷 。,宁国府  人物一  人物二  贾蔷 关系  议论纷纷,-1
TRAIN_SENT_ID_273967,白素,卫斯理,行动 救星 白素 : 卫斯理 太太 ， 她 在 故事 的 第三部 才 出场 。,行动 救星 人物一  人物二 太太  故事 第三部 出场,1
TRAIN_SENT_ID_283643,庞祥麟,庞云徽,"向语洁 , 向 妈妈 , 王思佳 , 王妈妈 , 庞云徽 , 庞祥麟",向语洁  妈妈  王思佳  王妈妈  人物二  人物一,-1
TRAIN_SENT_ID_282481,宇文成都,宇文化及,2 、 宇文成都 — — 雷声 普化天 尊 ： 宇文化及 长子 。,人物一   雷声 普化天 尊  人物二 长子,-1
TRAIN_SENT_ID_276897,罗启锐,张婉婷,基本 信息 : 《 秋天 的 童话 》 由 张婉婷 执导 ， 罗启锐 编辑 ， 周润发 、 钟楚红 、 陈百强 主演 的 一部 经典 爱情 故事片 。,基本 信息   秋天 童话  人物二 执导  人物一 编辑  周润发  钟楚红  陈百强 主演 一部 经典 爱情 故事片,1
TRAIN_SENT_ID_273553,殷素素,张翠山,张翠山 、 殷素素 一家 与 金毛狮 王 谢逊 在 冰火 岛 生活 了 十几年 后 返回 中原 ， 与 此 开始 了 整部 剧 的 主要 内容 。,人物二  人物一 一家 金毛狮 王 谢逊 冰火 岛 生活 十几年 返回 中原  整部 剧 主要 内容,1
TRAIN_SENT_ID_282624,田源,赵楠,赵楠 田源 妻子 : 姓名 ： 赵楠,人物二 人物一 妻子  姓名  人物二,1
TRAIN_SENT_ID_271822,阎婆惜,宋江,细心 的 读者 ， 读 到 这里 ， 是不是 自然 想到 了 ， 刚才 阎婆惜 还 一味 地同 宋江 讨要 那 子虚乌有 的 一百两 金子 呢 ？,细心 读者  读  是不是 自然 想到  刚才 人物一 一味 地同 人物二 讨要 子虚乌有 一百两 金子,1
TRAIN_SENT_ID_273297,秦香莲,陈世美,听说 秦香莲 女士 的 公子 被 陈世美 抢走 ， 包公 曾 命令 “ 王朝 、 马汉 搜 儿女 ” ， 就是 到 驸马 府上 搜证 。,听说 人物一 女士 公子 人物二 抢走  包公 命令  王朝  马汉 搜 儿女   驸马 府上 搜证,1
TRAIN_SENT_ID_274973,荆天明,荆轲,后 被 秦王 政 俘虏 ， 成为 其爱姬 ， 并 在 秦宫 生下 荆轲 之子 荆天明 。,秦王 政 俘虏  成为 其爱姬  秦宫 生下 人物二 之子 人物一,-1
TRAIN_SENT_ID_254173,邢夫人,贾赦,贾代善 死后 大儿子 贾赦 （ 妻 ： 邢夫人 ） 袭 了 爵位 。,贾代善 死后 大儿子 人物二  妻  人物一  袭 爵位,1
TRAIN_SENT_ID_270128,罗成,罗艺,罗 周为 罗艺 （ 罗成 之 父 ） 的 养子 ， 闻听 秦琼 嗟叹 中道 出 罗成 姓名 ， 罗周始 知 与 秦琼 为 姑表亲 。,罗 周为 人物二  人物一 父  养子  闻听 秦琼 嗟叹 中道 出 人物一 姓名  罗周始 知 秦琼 姑表亲,-1
TRAIN_SENT_ID_274665,傅敏,傅雷,傅敏 编 傅雷 家书 序言 : 《 傅雷 家书 》 自 一九八一年 刊行 至今 已 三十余载 。,人物一 编 人物二 家书 序言   人物二 家书  一九八一年 刊行 三十余载,-1
TRAIN_SENT_ID_274466,潘汉年,董慧,场部 考虑 到 董慧 下肢 行动不便 ， 为 减轻 潘汉年 的 负担 ， 选派 了 职工 或 干部 家属 照料 他们 的 日常生活 。,场部 考虑 人物二 下肢 行动不便  减轻 人物一 负担  选派 职工 干部 家属 照料 日常生活,1
TRAIN_SENT_ID_267482,宋霭龄,孔祥熙,孔祥熙 之妻 宋霭龄 ， 是 宋氏 姐弟 中 的 “ 大姐大 ” 。,人物二 之妻 人物一  宋氏 姐弟 中  大姐大,1
TRAIN_SENT_ID_282364,张奎,高兰英,黄飞虎 随 武王伐纣 ， 一路上 屡 立大功 ， 后 在 渑池县 被 高兰英 用 太原 神针 遮住 眼目 ， 死 于 张奎 刀下 。,黄飞虎 武王伐纣  一路上 屡 立大功  渑池县 人物二 太原 神针 遮住 眼目  死 人物一 刀下,1
TRAIN_SENT_ID_259422,贾兰,李纨,089 、 梦 功名 贾兰 拾 青紫 博花 诰 李纨 负 虚名,梦 功名 人物一 拾 青紫 博花 诰 人物二 负 虚名,-1
TRAIN_SENT_ID_267352,许志安,郑秀文,喜爱 歌手 ： 王菲 、 郑秀文 、 张学友 、 谢霆锋 、 许志安 、 Beyond 、 EricClapton 、 Metalica,喜爱 歌手  王菲  人物二  张学友  谢霆锋  人物一,1
TRAIN_SENT_ID_275176,崔俊赫,全智贤,对于 已经 结婚 的 全智贤 来说 ， 拍戏 只不过 是 人生 的 乐趣 ， 她 的 老公 崔俊赫 家族 在 韩国 实属 望族 。,已经 结婚 人物二  拍戏 只不过 人生 乐趣  老公 人物一 家族 韩国 实属 望族,1
TRAIN_SENT_ID_285341,王慧,郭德纲,（ 郭德纲 的 夫人 王慧 ） : 天津 著名 京韵大鼓 演员 ， 著名演员 郭德纲 的 妻子 王慧,人物二 夫人 人物一   天津 著名 京韵大鼓 演员  著名演员 人物二 妻子 人物一,1
