rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
0,年/人物二/人物一,.*年.*人物二.*人物一.*,361,1,4426,1844,1
1,年/人物一/人物二,.*年.*人物一.*人物二.*,261,1,4413,1806,1
2,月/人物二/人物一,.*月.*人物二.*人物一.*,182,1,3521,1005,1
3,月/人物一/人物二,.*月.*人物一.*人物二.*,154,1,3511,992,1
4,年/月/人物二/人物一,.*年.*月.*人物二.*人物一.*,140,1,2817,873,1
5,人物二/儿子/人物一,.*人物二.*儿子.*人物一.*,127,-1,569,1040,-1
6,人物一/人物二/之子,.*人物一.*人物二.*之子.*,122,-1,307,841,-1
7,人物一/年/人物二,.*人物一.*年.*人物二.*,117,-1,4366,1789,1
8,年/月/人物一/人物二,.*年.*月.*人物一.*人物二.*,115,1,2813,871,1
9,日/人物二/人物一,.*日.*人物二.*人物一.*,114,1,3377,951,1
10,月/日/人物二/人物一,.*月.*日.*人物二.*人物一.*,113,1,1762,401,1
11,人物二/人物一/年,.*人物二.*人物一.*年.*,108,1,4389,1791,1
12,人物/人物一/人物二,.*人物.*人物一.*人物二.*,98,1,1775,942,1
13,人物二/年/人物一,.*人物二.*年.*人物一.*,97,-1,4359,1776,1
14,人物一/人物二/女儿,.*人物一.*人物二.*女儿.*,96,-1,869,611,1
15,人物二/之子/人物一,.*人物二.*之子.*人物一.*,94,-1,307,857,-1
16,人物二/女儿/人物一,.*人物二.*女儿.*人物一.*,93,-1,865,621,1
17,人物二/妻子/人物一,.*人物二.*妻子.*人物一.*,90,1,1886,571,1
18,中/人物二/人物一,.*中.*人物二.*人物一.*,89,1,1064,431,1
19,人物一/父亲/人物二,.*人物一.*父亲.*人物二.*,89,-1,729,816,-1
20,年/日/人物二/人物一,.*年.*日.*人物二.*人物一.*,89,1,2898,933,1
21,年/月/日/人物二/人物一,.*年.*月.*日.*人物二.*人物一.*,89,1,1866,526,1
22,人物/人物二/人物一,.*人物.*人物二.*人物一.*,88,1,1760,940,1
23,日/人物一/人物二,.*日.*人物一.*人物二.*,83,1,3371,945,1
24,月/日/人物一/人物二,.*月.*日.*人物一.*人物二.*,81,1,1759,404,1
25,人物一/人物二/儿子,.*人物一.*人物二.*儿子.*,78,-1,565,1022,-1
26,人物一/人物二/年,.*人物一.*人物二.*年.*,77,1,4393,1790,1
27,人物二/夫人/人物一,.*人物二.*夫人.*人物一.*,77,1,2098,667,1
28,人物一/儿子/人物二,.*人物一.*儿子.*人物二.*,74,-1,564,1017,-1
29,中/人物一/人物二,.*中.*人物一.*人物二.*,73,1,1036,350,1
30,人物一/人物/人物二,.*人物一.*人物.*人物二.*,71,1,1678,884,1
31,人物一/月/人物二,.*人物一.*月.*人物二.*,67,1,3502,975,1
32,人物一/中/人物二,.*人物一.*中.*人物二.*,65,1,1015,383,1
33,人物一/妻子/人物二,.*人物一.*妻子.*人物二.*,64,1,1867,573,1
34,人物二/人物一/中,.*人物二.*人物一.*中.*,63,1,1117,429,1
35,人物二/父亲/人物一,.*人物二.*父亲.*人物一.*,63,-1,725,827,-1
36,人物二/中/人物一,.*人物二.*中.*人物一.*,61,1,1023,380,1
37,人物二/人物一/女儿,.*人物二.*人物一.*女儿.*,61,1,865,607,1
