sent_id,entity1,entity2,sent,processed_sent,label,hard_match
TRAIN_SENT_ID_250014,张无忌,赵敏,殷姑娘 （ 周芷若 、 赵敏 、 小昭 、 张无忌 称 ）,殷姑娘  周芷若  人物二  小昭  人物一 称,1,0
TRAIN_SENT_ID_265140,尤二姐,贾琏,贾琏 出于 独专 ， 才 将 尤二姐 娶 进 ， 也 不是 可以 托付 终身 的 人 。,人物二 独专  人物一 娶 进  托付 终身,1,0
TRAIN_SENT_ID_286547,秦可卿,秦业,秦可卿 正册 判词 人物 简介 : 秦可卿 是 秦邦业 （ 旧本作 秦业 ） 从 养生堂 抱来 的 养女 ， 小名 可儿 ， 官名 兼美 ， 后来 嫁给 贾蓉 为妻 。,人物一 正册 判词 人物 简介  人物一 秦邦业  旧本作 人物二  养生堂 抱来 养女  小名 可儿  官名 兼美  后来 嫁给 贾蓉 为妻,-1,1
TRAIN_SENT_ID_266308,何猷启,陈婉珍,何猷启 （ 陈婉珍 所 出 ）,人物一  人物二 出,-1,0
TRAIN_SENT_ID_275947,黄日华,黄芷晴,我 亦 十分 感激 黄日华 对 我们 的 信任 ， 愿意 让 其 掌上明珠 黄芷晴 在 这里 踏出 演艺事业 的 第一步 。,十分 感激 人物一 信任  愿意 掌上明珠 人物二 踏出 演艺事业 第一步,-1,0
TRAIN_SENT_ID_266018,韦春花,韦小宝,好像 听 那个 女人 说 她 自己 叫 韦春花 ， 另 一个 女人 对 着 我 叫 ‘ 小宝 哥 ’ ， 难道 ~ 我 就是 韦小宝 ， 那个 娶 了 七个 老婆 的 幸福 男人 。,好像 听 女人 说 人物一  一个 女人  小宝 哥   难道  人物二  娶 七个 老婆 幸福 男人,-1,-1
TRAIN_SENT_ID_282842,柳生飘絮,段天涯,飘絮 三番四次 不惜 与 父亲 但 马守 反目 ， 柳生飘絮 与 段天涯 拯救 段天涯 的 性命 。,飘絮 三番四次 不惜 父亲 马守 反目  人物一 人物二 拯救 人物二 性命,1,1
TRAIN_SENT_ID_282296,秦躁公,秦厉共公,秦躁公 ( 前 499 年 — 前 429 年 ) ， 秦厉共公 之子 。,人物一  前  年  前  年   人物二 之子,-1,-1
TRAIN_SENT_ID_276765,丁夫人,曹操,丁夫人 曹操 之痛 : 公元 220 年 ， 曹操 一病不起 。,人物一 人物二 之痛  公元  年  人物二 一病不起,1,-1
TRAIN_SENT_ID_269869,张默,张国立,2006 年 与 张默 、 李立 、 张国立 等 主演 的 电视 连续 古装 神话剧 《 济公 新传 》 ， 饰演 秦夫人 。,年 人物一  李立  人物二 主演 电视 连续 古装 神话剧  济公 新传   饰演 秦夫人,-1,1
TRAIN_SENT_ID_273506,殷素素,张翠山,第七回 女孩 必读 ： 看 殷素素 如何 顺利 拿下 张翠山,第七回 女孩 必读  人物一 顺利 拿下 人物二,1,0
TRAIN_SENT_ID_253767,申雪,赵宏博,法国 花样滑冰 协会主席 伽吉亚 先生 当时 断言 ： “ 申雪 和 赵宏博 在 不远 的 将来 一定 会 成为 世界冠军 ！ ”,法国 花样滑冰 协会主席 伽吉亚 先生 当时 断言   人物一 人物二 不远 将来 一定 会 成为 世界冠军,1,1
TRAIN_SENT_ID_257310,贾珍,尤氏,曹雪芹 在 创作 时 ， 可能 受到 卍 纹 的 启发 ， 就 给 贾珍 、 尤氏 的 丫头 起名 万儿 的 ， 万儿 是 在 《 红楼梦 》 第 19 回中 出场 的 。,曹雪芹 创作 时  可能 卍 纹 启发  人物一  人物二 丫头 起名 万儿  万儿  红楼梦   回中 出场,1,1
TRAIN_SENT_ID_283257,王大治,戴露,"结婚 时间 ： 2010 年 , 王大治 与 戴露 在 陕西 举办 了 一次 隆重 的 婚礼 。",结婚 时间   年  人物一 人物二 陕西 举办 一次 隆重 婚礼,1,1
TRAIN_SENT_ID_278578,岳灵珊,岳不群,岳灵珊 — — 华山派 掌门 岳不群 和 宁中则 之女 ， 林平之 之妻 ， 最后 被 林平之 杀死 。,人物一   华山派 掌门 人物二 宁中则 之女  林平之 之妻  最后 林平之 杀死,-1,-1
