sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_260441,严嵩,严世蕃,严世蕃 、 罗龙文 被 处死 ， 籍没 严嵩 家产 。,人物二  罗龙文 处死  籍没 人物一 家产,-1
TRAIN_SENT_ID_251239,廖仲恺,何香凝,后世 纪念 : 墓葬 : 廖仲恺 与 妻 何香凝 墓 ， 位于 南京 紫金山 南麓 天堡 城下 。,后世 纪念  墓葬  人物一 妻 人物二 墓  位于 南京 紫金山 南麓 天堡 城下,-1
TRAIN_SENT_ID_283591,侯佩岑,黄伯俊,黄伯俊 望 了 侯佩岑 一眼 ， 见 未婚妻 摇头 后 ， 继续 维持 一脸 酷样 直到 上车 。,人物二 人物一 一眼  见 未婚妻 摇头  继续 维持 一脸 酷样 上车,-1
TRAIN_SENT_ID_252132,黄毅清,黄奕,稍晚 ， 黄毅清 也 在 微博 转贴 黄奕 工作室 发声明 的 新闻 ， 并 撂 狠话 “ 看来 是 逼 着 我 要 曝光 所有 证据 了 。,稍晚  人物一 微博 转贴 人物二 工作室 发声明 新闻  撂 狠话  看来 逼 曝光 证据,-1
TRAIN_SENT_ID_266538,严世蕃,严嵩,皇上 以 谋反 罪 诛 严世蕃 ， 抄 严府 ， 念 严嵩 耄耋 之 人 ， 削职为民 不事 重罪 ， 并 赐 一 银碗 让 其 讨饭 回乡 。,皇上 谋反 罪 诛 人物一  抄 严府  念 人物二 耄耋  削职为民 不事 重罪  赐 银碗 讨饭 回乡,-1
TRAIN_SENT_ID_271090,彭丽媛,习近平,习近平 和 彭丽媛 前往 甘地 墓 敬献 花圈,人物二 人物一 前往 甘地 墓 敬献 花圈,-1
TRAIN_SENT_ID_282301,程铁牛,程咬金,就 这样 笑 死 程咬金 ， 哭 死 程铁牛 。,笑 死 人物二  哭 死 人物一,-1
TRAIN_SENT_ID_262986,熊美玲,林秋离,熊美玲 、 林秋离 、 郑华娟 、 姚谦 、 陈扬 、 林韦哲 都 贡献 了 自己 的 心血 之作 。,人物一  人物二  郑华娟  姚谦  陈扬  林韦哲 贡献 心血 之作,-1
TRAIN_SENT_ID_277182,张茜,张卫健,天下无双 片尾曲 逍遥 最好 张茜 关咏荷 影视剧 作品 : 张卫健 主要 作品 : 音乐 专辑 : 电影 作品 :,天下无双 片尾曲 逍遥 最好 人物一 关咏荷 影视剧 作品  人物二 主要 作品  音乐 专辑  电影 作品,-1
TRAIN_SENT_ID_278375,荀庚,荀林父,智 庄子 之子 ， 荀林父 之 侄 ， 荀庚 堂弟 。,智 庄子 之子  人物二 侄  人物一 堂弟,-1
