rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
127,人物二/年/人物二/人物一,.*人物二.*年.*人物二.*人物一.*,77,1,5133,2632,1
136,简介/人物一/人物二,.*简介.*人物一.*人物二.*,71,1,4459,3527,1
144,人物一/人物二/生活,.*人物一.*人物二.*生活.*,69,1,5771,1920,1
156,人物二/人物一/举行,.*人物二.*人物一.*举行.*,63,1,6929,3045,1
157,人物二/其子/人物一,.*人物二.*其子.*人物一.*,63,-1,5075,4120,1
159,人物一/人物二/中国,.*人物一.*人物二.*中国.*,62,1,1567,427,1
160,人物一/岁/人物二,.*人物一.*岁.*人物二.*,62,1,5181,2881,1
164,著名/人物二/人物一,.*著名.*人物二.*人物一.*,62,1,4816,3274,1
165,人物一/中国/人物二,.*人物一.*中国.*人物二.*,61,1,1564,430,1
166,人物二/先生/人物一,.*人物二.*先生.*人物一.*,61,0,3856,1913,1
167,人物二/香港/人物一,.*人物二.*香港.*人物一.*,61,1,5947,3205,1
169,年/人物二/人物一/人物二,.*年.*人物二.*人物一.*人物二.*,61,1,5132,2631,1
170,经历/人物一/人物二,.*经历.*人物一.*人物二.*,61,1,4571,2204,1
174,人物二/次子/人物一,.*人物二.*次子.*人物一.*,60,-1,3444,3686,-1
175,生平/人物一/人物二,.*生平.*人物一.*人物二.*,60,-1,4085,3786,1
176,生平/人物二/人物一,.*生平.*人物二.*人物一.*,60,-1,4085,3786,1
179,人物一/演员/人物二,.*人物一.*演员.*人物二.*,59,1,4078,2032,1
181,人物一/生于/人物二,.*人物一.*生于.*人物二.*,58,-1,5370,3418,1
182,人物一/经历/人物二,.*人物一.*经历.*人物二.*,58,1,4570,2203,1
185,儿子/人物一/人物二,.*儿子.*人物一.*人物二.*,58,-1,597,998,-1
187,人物二/人物一/年/日,.*人物二.*人物一.*年.*日.*,57,1,2958,954,1
188,人物二/人物一/年/月/日,.*人物二.*人物一.*年.*月.*日.*,57,1,1896,534,1
190,人物一/人物二/岁,.*人物一.*人物二.*岁.*,56,1,5182,2886,1
192,中国/人物一/人物二,.*中国.*人物一.*人物二.*,55,1,1567,429,1
193,人物一/个人/人物一/人物二,.*人物一.*个人.*人物一.*人物二.*,55,1,7494,3894,1
194,人物一/人物二/孩子,.*人物一.*人物二.*孩子.*,55,1,7068,3403,1
195,人物二/人物一/爱情,.*人物二.*人物一.*爱情.*,55,1,7513,2595,1
198,人物一/生活/人物一/人物二,.*人物一.*生活.*人物一.*人物二.*,54,1,6501,2647,1
199,人物二/个人/人物一,.*人物二.*个人.*人物一.*,54,1,7497,3625,1
200,人物二/人物一/死,.*人物二.*人物一.*死.*,54,1,3630,2069,1
201,女儿/人物二/人物一,.*女儿.*人物二.*人物一.*,54,-1,940,575,1
202,人物一/个人/生活/人物一/人物二,.*人物一.*个人.*生活.*人物一.*人物二.*,53,1,6624,2522,1
207,人物二/人物一/会,.*人物二.*人物一.*会.*,53,1,4835,1540,1
208,人物二/人物一/岁,.*人物二.*人物一.*岁.*,53,1,5184,2883,1
210,介绍/人物一/人物二,.*介绍.*人物一.*人物二.*,53,1,4130,2387,1
211,妻子/人物二/人物一,.*妻子.*人物二.*人物一.*,53,1,1879,653,1
212,人物一/人物二/参加,.*人物一.*人物二.*参加.*,52,1,6620,2523,1
