sent_id,entity1,entity2,sent,processed_sent,label,hard_match
TRAIN_SENT_ID_263398,武修文,武敦儒,靖 、 蓉 为 寻找 黄药师 ， 巧遇 武三通 之子 武敦儒 、 武修文 ， 杨康之 子 杨过 。,靖  蓉 寻找 黄药师  巧遇 武三通 之子 人物二  人物一  杨康之 子 杨过,-1,0
TRAIN_SENT_ID_278006,严贡生,严监生,连环画 《 严贡生 与 严监生 》 获 第六届 全国 美展 佳作奖 ； 《 西游记 》 获 全国 美术 图书 评奖 和 全国 连环画 评奖 全国 套书 一等奖 。,连环画  人物一 人物二  获 第六届 全国 美展 佳作奖   西游记  获 全国 美术 图书 评奖 全国 连环画 评奖 全国 套书 一等奖,-1,0
TRAIN_SENT_ID_251885,曹薰铉,李昌镐,第 3 局 模仿 之战 黑方 曹薰铉 白方 李昌镐,局 模仿 之战 黑方 人物一 白方 人物二,1,0
TRAIN_SENT_ID_262195,陈靖仇,陈辅,不久 ， 陈国 后裔 陈靖仇 在 想 办法 救 师父 陈辅 之 时 ， 在 月 河村 认识 被 村人 歧视 的 白发 少女 于 小雪 ， 于 黑 山镇 结识 拓跋 部落 二 小姐 拓跋 玉儿 。,不久  陈国 后裔 人物一 想 办法 救 师父 人物二 时  月 河村 认识 村人 歧视 白发 少女 小雪  黑 山镇 结识 拓跋 部落 二 小姐 拓跋 玉儿,1,0
TRAIN_SENT_ID_252879,颜回,孔子,《 索隐 》 ： “ 蚊蝇 附骥 尾而致 千里 ， 以 譬 颜回 因 孔子 而 名彰 。 ”,索隐    蚊蝇 附骥 尾而致 千里  譬 人物一 人物二 名彰,1,0
TRAIN_SENT_ID_257514,柳生飘絮,柳生雪姬,妹妹 ： 柳生雪姬 、 柳生飘絮,妹妹  人物二  人物一,-1,0
TRAIN_SENT_ID_284526,易水寒,白非凡,儿子 ： 白非凡 、 易水寒,儿子  人物二  人物一,-1,0
TRAIN_SENT_ID_252518,颜回,孔子,殿内 供奉 孔子 五代 先人 的 牌位 及 配享 的 颜回 、 孔伋 、 曾 参 、 孟轲 四位 先哲 之父 的 牌位 。,殿内 供奉 人物二 五代 先人 牌位 配享 人物一  孔伋  参  孟轲 四位 先哲 之父 牌位,1,0
TRAIN_SENT_ID_276983,樊迟,孔子,"孔子 去世 后 , 樊迟 同 闵子 ( 名损 , 字子 骞 ) 和 宓子 ( 名 不齐 , 字子 贱 ) 来棠 地 ( 今 鱼台县 境内 ) 办学 , 传道 于 济水 一带 。",人物二 去世  人物一 闵子  名损  字子 骞  宓子  名 不齐  字子 贱  来棠  鱼台县 境内  办学  传道 济水 一带,1,0
TRAIN_SENT_ID_282104,白如海,李苦禅,（ 画家 ） : 白如海 ， 笔名 晓峰 ， 师从 李苦禅 大师 门生 申西岚 先生 。,画家   人物一  笔名 晓峰  师从 人物二 大师 门生 申西岚 先生,1,1
TRAIN_SENT_ID_271508,孟优,孟获,他 马上 叫 人 再次 放 了 孟获 、 孟优 及朵 思 大王 。,马上 再次 放 人物二  人物一 及朵 思 大王,-1,0
TRAIN_SENT_ID_250666,鲁西西,皮皮鲁,皮皮鲁 、 鲁西西 、 罗克 、 舒克和贝塔 已 在 国家工商局 注册 ， 成为 受 法律 保护 的 注册商标 。,人物二  人物一  罗克  舒克和贝塔 国家工商局 注册  成为 受 法律 保护 注册商标,-1,0
TRAIN_SENT_ID_263373,武修文,武敦儒,杨过 ： 仅限于 与 对付 李莫愁 时 江湖 五绝 亲友 : 徒孙 ： 傻姑 （ 亲传 ） 武敦儒 、 武修文 、 陆冠英 、 郭 芙 、 郭襄 、 郭破虏 、 东邪 药师 派 门人,杨过  仅限于 对付 李莫愁 时 江湖 五绝 亲友  徒孙  傻姑  亲传  人物二  人物一  陆冠英  郭 芙  郭襄  郭破虏  东邪 药师 派 门人,-1,1
TRAIN_SENT_ID_253150,颜回,孔子,颜回 死 ， 颜路 贫 ， 请 孔子 车以 葬 。,人物一 死  颜路 贫  请 人物二 车以 葬,1,0
TRAIN_SENT_ID_249264,皮皮鲁,鲁西西,皮皮鲁 分身 记 鲁西西 和 豆芽 兵,人物一 分身 记 人物二 豆芽 兵,-1,0
TRAIN_SENT_ID_277583,上官兰心,上官梅儿,几日 后 姚芊芊 终 被选为 正妃 ， 内心 十分 痛苦 挣扎 ， 上官兰心 、 上官梅儿 、 金碧瑶 当上 侧妃 ， 大家 各怀 想法 。,几日 姚芊芊 终 被选为 正妃  内心 十分 痛苦 挣扎  人物一  人物二  金碧瑶 当上 侧妃  各怀 想法,-1,-1
