rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
0.0,人物二/弟子/人物一,.*人物二.*弟子.*人物一.*,73,1.0,706.0,307.0,1
1.0,年/人物二/人物一,.*年.*人物二.*人物一.*,70,1.0,507.0,786.0,-1
2.0,年/人物一/人物二,.*年.*人物一.*人物二.*,50,-1.0,486.0,765.0,-1
3.0,人物一/人物二/弟子,.*人物一.*人物二.*弟子.*,38,1.0,699.0,307.0,1
4.0,人物二/说/人物一,.*人物二.*说.*人物一.*,37,1.0,400.0,188.0,1
5.0,人物/人物二/人物一,.*人物.*人物二.*人物一.*,30,-1.0,245.0,475.0,-1
6.0,人物二/人物一/说,.*人物二.*人物一.*说.*,28,1.0,410.0,196.0,1
7.0,中/人物一/人物二,.*中.*人物一.*人物二.*,27,1.0,180.0,258.0,-1
8.0,中/人物二/人物一,.*中.*人物二.*人物一.*,27,0.0,179.0,247.0,-1
9.0,人物一/年/人物二,.*人物一.*年.*人物二.*,25,1.0,490.0,759.0,-1
10.0,月/人物二/人物一,.*月.*人物二.*人物一.*,25,1.0,290.0,517.0,-1
11.0,人物/人物一/人物二,.*人物.*人物一.*人物二.*,23,1.0,282.0,459.0,-1
12.0,人物二/中/人物一,.*人物二.*中.*人物一.*,23,1.0,171.0,241.0,-1
13.0,人物二/弟弟/人物一,.*人物二.*弟弟.*人物一.*,23,-1.0,660.0,936.0,-1
14.0,月/人物一/人物二,.*月.*人物一.*人物二.*,23,-1.0,292.0,513.0,-1
15.0,人物一/人物二/曹国舅,.*人物一.*人物二.*曹国舅.*,22,1.0,1173.0,1221.0,-1
16.0,人物一/人物二/说,.*人物一.*人物二.*说.*,22,1.0,412.0,201.0,1
17.0,年/月/人物二/人物一,.*年.*月.*人物二.*人物一.*,22,1.0,226.0,401.0,-1
18.0,中国/人物二/人物一,.*中国.*人物二.*人物一.*,21,0.0,204.0,276.0,-1
19.0,人物一/人物二/中,.*人物一.*人物二.*中.*,21,-1.0,179.0,300.0,-1
20.0,人物一/中/人物二,.*人物一.*中.*人物二.*,20,-1.0,166.0,245.0,-1
21.0,人物一/人物二/学生,.*人物一.*人物二.*学生.*,20,1.0,1414.0,1218.0,1
22.0,人物一/人物二/年,.*人物一.*人物二.*年.*,20,-1.0,492.0,756.0,-1
23.0,人物二/人物一/年,.*人物二.*人物一.*年.*,20,1.0,489.0,761.0,-1
24.0,八仙/人物一/人物二,.*八仙.*人物一.*人物二.*,20,1.0,1170.0,1164.0,1
25.0,人物一/人物/人物二,.*人物一.*人物.*人物二.*,19,-1.0,287.0,449.0,-1
26.0,年/月/人物一/人物二,.*年.*月.*人物一.*人物二.*,19,-1.0,226.0,401.0,-1
27.0,人物一/人物二/徒弟,.*人物一.*人物二.*徒弟.*,18,1.0,1226.0,1195.0,1
28.0,人物二/徒弟/人物一,.*人物二.*徒弟.*人物一.*,18,1.0,1228.0,1194.0,1
29.0,弟子/人物一/人物二,.*弟子.*人物一.*人物二.*,18,1.0,695.0,307.0,1
30.0,张果老/人物一/人物二,.*张果老.*人物一.*人物二.*,18,1.0,1236.0,1270.0,-1
31.0,人物一/人物二/为师,.*人物一.*人物二.*为师.*,17,1.0,1363.0,1307.0,1
32.0,人物一/人物二/学习,.*人物一.*人物二.*学习.*,17,1.0,1250.0,1063.0,1
33.0,人物二/人物一/中,.*人物二.*人物一.*中.*,17,-1.0,181.0,292.0,-1
34.0,人物一/人物二/中国,.*人物一.*人物二.*中国.*,16,-1.0,203.0,279.0,-1
35.0,八仙/人物一/人物二/曹国舅,.*八仙.*人物一.*人物二.*曹国舅.*,16,1.0,850.0,935.0,-1
36.0,著名/人物二/人物一,.*著名.*人物二.*人物一.*,16,1.0,1069.0,993.0,1
37.0,人物一/字/人物二,.*人物一.*字.*人物二.*,15,1.0,685.0,630.0,1
38.0,人物一/拜/人物二,.*人物一.*拜.*人物二.*,15,1.0,1195.0,1131.0,1
39.0,人物二/学生/人物一,.*人物二.*学生.*人物一.*,15,1.0,1414.0,1218.0,1
40.0,张果老/人物一/人物二/曹国舅,.*张果老.*人物一.*人物二.*曹国舅.*,15,1.0,796.0,872.0,-1
41.0,钟离/人物一/人物二,.*钟离.*人物一.*人物二.*,15,1.0,1225.0,1288.0,-1
42.0,铁拐李/人物一/人物二,.*铁拐李.*人物一.*人物二.*,15,1.0,1212.0,1254.0,-1
43.0,人物一/人物二/何仙姑,.*人物一.*人物二.*何仙姑.*,14,1.0,1213.0,1292.0,-1
44.0,人物一/人物二/得意,.*人物一.*人物二.*得意.*,14,1.0,1430.0,1342.0,1
45.0,人物一/人物二/老师,.*人物一.*人物二.*老师.*,14,1.0,1233.0,1122.0,1
46.0,人物一/哥哥/人物二,.*人物一.*哥哥.*人物二.*,14,-1.0,1014.0,1163.0,-1
47.0,人物一/子路/人物二,.*人物一.*子路.*人物二.*,14,1.0,1314.0,1098.0,1
48.0,人物一/拜/人物二/为师,.*人物一.*拜.*人物二.*为师.*,14,1.0,1197.0,1063.0,1
49.0,人物二/妹妹/人物一,.*人物二.*妹妹.*人物一.*,14,-1.0,584.0,959.0,-1
50.0,八仙/张果老/人物一/人物二,.*八仙.*张果老.*人物一.*人物二.*,14,1.0,872.0,948.0,-1
51.0,人物一/人物二/一个,.*人物一.*人物二.*一个.*,13,-1.0,234.0,344.0,-1
52.0,人物一/鲁国/人物二,.*人物一.*鲁国.*人物二.*,13,1.0,1324.0,1208.0,1
53.0,人物二/人物一/成为,.*人物二.*人物一.*成为.*,13,-1.0,522.0,567.0,-1
54.0,人物二/人物一/王姬,.*人物二.*人物一.*王姬.*,13,-1.0,1024.0,1139.0,-1
55.0,人物二/弟子/人物一/人物二,.*人物二.*弟子.*人物一.*人物二.*,13,1.0,929.0,667.0,1
56.0,人物二/王姬/人物一,.*人物二.*王姬.*人物一.*,13,-1.0,1024.0,1139.0,-1
57.0,人物二/王姬/人物一/王姬,.*人物二.*王姬.*人物一.*王姬.*,13,-1.0,626.0,699.0,-1
58.0,八仙/张果老/人物一/人物二/曹国舅,.*八仙.*张果老.*人物一.*人物二.*曹国舅.*,13,1.0,537.0,558.0,-1
59.0,日/人物一/人物二,.*日.*人物一.*人物二.*,13,-1.0,280.0,475.0,-1
60.0,月/日/人物一/人物二,.*月.*日.*人物一.*人物二.*,13,-1.0,94.0,206.0,-1
61.0,汉/人物一/人物二,.*汉.*人物一.*人物二.*,13,1.0,1131.0,1187.0,-1
62.0,铁拐李/人物一/人物二/曹国舅,.*铁拐李.*人物一.*人物二.*曹国舅.*,13,1.0,851.0,933.0,-1
63.0,人物一/人物二/张,.*人物一.*人物二.*张.*,12,-1.0,796.0,1037.0,-1
64.0,人物一/时/人物二,.*人物一.*时.*人物二.*,12,1.0,96.0,42.0,1
65.0,人物一/说/人物二,.*人物一.*说.*人物二.*,12,1.0,408.0,195.0,1
66.0,人物二/人物/人物一,.*人物二.*人物.*人物一.*,12,-1.0,230.0,458.0,-1
67.0,人物二/人物一/兄弟,.*人物二.*人物一.*兄弟.*,12,-1.0,706.0,897.0,-1
68.0,人物二/人物一/妹妹,.*人物二.*人物一.*妹妹.*,12,-1.0,584.0,959.0,-1
69.0,人物二/子/人物一,.*人物二.*子.*人物一.*,12,1.0,526.0,529.0,-1
70.0,日/人物二/人物一,.*日.*人物二.*人物一.*,12,1.0,285.0,480.0,-1
71.0,时/人物二/人物一,.*时.*人物二.*人物一.*,12,0.0,102.0,57.0,1
72.0,月/日/人物二/人物一,.*月.*日.*人物二.*人物一.*,12,1.0,94.0,205.0,-1
73.0,汉/钟离/人物一/人物二,.*汉.*钟离.*人物一.*人物二.*,12,1.0,878.0,949.0,-1
74.0,简介/人物一/人物二,.*简介.*人物一.*人物二.*,12,-1.0,866.0,1086.0,-1
75.0,钟离/人物一/人物二/曹国舅,.*钟离.*人物一.*人物二.*曹国舅.*,12,1.0,799.0,893.0,-1
76.0,人物一/人物二/一起,.*人物一.*人物二.*一起.*,11,-1.0,836.0,919.0,-1
77.0,人物一/人物二/先生,.*人物一.*人物二.*先生.*,11,1.0,887.0,658.0,1
78.0,人物一/人物二/弟弟,.*人物一.*人物二.*弟弟.*,11,-1.0,659.0,932.0,-1
79.0,人物一/人物二/得意/弟子,.*人物一.*人物二.*得意.*弟子.*,11,1.0,846.0,459.0,1
80.0,人物一/人物二/罗克,.*人物一.*人物二.*罗克.*,11,-1.0,1510.0,1513.0,-1
81.0,人物一/字/子路/人物二,.*人物一.*字.*子路.*人物二.*,11,1.0,772.0,538.0,1
82.0,人物一/学/人物二,.*人物一.*学.*人物二.*,11,1.0,1306.0,852.0,1
83.0,人物一/著名/人物二,.*人物一.*著名.*人物二.*,11,1.0,1069.0,993.0,1
84.0,人物二/人物一/中国,.*人物二.*人物一.*中国.*,11,-1.0,200.0,277.0,-1
85.0,人物二/人物一/发,.*人物二.*人物一.*发.*,11,-1.0,1150.0,1257.0,-1
86.0,人物二/人物一/合作,.*人物二.*人物一.*合作.*,11,1.0,815.0,866.0,-1
87.0,人物二/人物一/王姬/发,.*人物二.*人物一.*王姬.*发.*,11,-1.0,892.0,1014.0,-1
88.0,人物二/人物一/罗克,.*人物二.*人物一.*罗克.*,11,-1.0,1510.0,1513.0,-1
89.0,人物二/家语/人物一,.*人物二.*家语.*人物一.*,11,1.0,1317.0,1198.0,1
90.0,人物二/年/人物一,.*人物二.*年.*人物一.*,11,-1.0,489.0,753.0,-1
91.0,人物二/昌/人物一,.*人物二.*昌.*人物一.*,11,-1.0,1304.0,1350.0,-1
92.0,人物二/昌/人物一/王姬,.*人物二.*昌.*人物一.*王姬.*,11,-1.0,885.0,974.0,-1
93.0,人物二/王姬/人物一/发,.*人物二.*王姬.*人物一.*发.*,11,-1.0,892.0,1014.0,-1
94.0,人物二/王姬/人物一/王姬/发,.*人物二.*王姬.*人物一.*王姬.*发.*,11,-1.0,525.0,645.0,-1
95.0,人物二/王姬/昌/人物一,.*人物二.*王姬.*昌.*人物一.*,11,-1.0,885.0,974.0,-1
96.0,人物二/王姬/昌/人物一/王姬,.*人物二.*王姬.*昌.*人物一.*王姬.*,11,-1.0,529.0,601.0,-1
97.0,八仙/铁拐李/人物一/人物二,.*八仙.*铁拐李.*人物一.*人物二.*,11,1.0,869.0,933.0,-1
98.0,水浒/人物一/人物二,.*水浒.*人物一.*人物二.*,11,1.0,1246.0,1024.0,1
99.0,钟离/张果老/人物一/人物二,.*钟离.*张果老.*人物一.*人物二.*,11,1.0,834.0,927.0,-1
100.0,人物二/王姬/昌/人物一/王姬/发,.*人物二.*王姬.*昌.*人物一.*王姬.*发.*,10,-1.0,468.0,557.0,-1
101.0,何仙姑/人物一/人物二,.*何仙姑.*人物一.*人物二.*,10,1.0,1213.0,1292.0,-1
102.0,八仙/何仙姑/人物一/人物二,.*八仙.*何仙姑.*人物一.*人物二.*,10,1.0,912.0,998.0,-1
103.0,八仙/张果老/何仙姑/人物一/人物二,.*八仙.*张果老.*何仙姑.*人物一.*人物二.*,10,1.0,584.0,619.0,-1
104.0,八仙/铁拐李/人物一/人物二/曹国舅,.*八仙.*铁拐李.*人物一.*人物二.*曹国舅.*,10,1.0,559.0,599.0,-1
105.0,年/日/人物一/人物二,.*年.*日.*人物一.*人物二.*,10,-1.0,241.0,411.0,-1
106.0,年/月/日/人物一/人物二,.*年.*月.*日.*人物一.*人物二.*,10,-1.0,127.0,244.0,-1
107.0,张果老/何仙姑/人物一/人物二,.*张果老.*何仙姑.*人物一.*人物二.*,10,1.0,841.0,933.0,-1
108.0,相声/人物二/人物一,.*相声.*人物二.*人物一.*,10,1.0,1028.0,901.0,1
109.0,简介/人物二/人物一,.*简介.*人物二.*人物一.*,10,-1.0,866.0,1089.0,-1
110.0,蓝采和/人物一/人物二,.*蓝采和.*人物一.*人物二.*,10,1.0,1263.0,1313.0,-1
,人物二/昌/人物一/发,.*人物二.*昌.*人物一.*发.*,35,,,,-1
,人物二/昌/人物一/王姬/发,.*人物二.*昌.*人物一.*王姬.*发.*,35,,,,-1
,人物二/王姬/昌/人物一/发,.*人物二.*王姬.*昌.*人物一.*发.*,35,,,,-1
,八仙/钟离/人物一/人物二,.*八仙.*钟离.*人物一.*人物二.*,34,,,,-1
,汉/人物一/人物二/曹国舅,.*汉.*人物一.*人物二.*曹国舅.*,34,,,,-1
,汉/钟离/人物一/人物二/曹国舅,.*汉.*钟离.*人物一.*人物二.*曹国舅.*,34,,,,-1
,铁拐李/汉/人物一/人物二,.*铁拐李.*汉.*人物一.*人物二.*,33,,,,-1
,铁拐李/汉/钟离/人物一/人物二,.*铁拐李.*汉.*钟离.*人物一.*人物二.*,33,,,,-1
,铁拐李/钟离/人物一/人物二,.*铁拐李.*钟离.*人物一.*人物二.*,33,,,,-1
