rule_id,rule,pattern,frequence,original_label,pos_sent_num,neg_sent_num,final_label
0,年/人物二/人物一,.*年.*人物二.*人物一.*,79,-1,495,872,-1
1,人物二/弟子/人物一,.*人物二.*弟子.*人物一.*,56,1,700,358,1
2,人物一/人物二/弟子,.*人物一.*人物二.*弟子.*,45,1,697,357,1
3,年/人物一/人物二,.*年.*人物一.*人物二.*,42,-1,487,859,-1
4,人物二/说/人物一,.*人物二.*说.*人物一.*,39,1,400,216,1
5,人物/人物二/人物一,.*人物.*人物二.*人物一.*,33,-1,224,485,-1
6,人物二/弟弟/人物一,.*人物二.*弟弟.*人物一.*,30,-1,658,1061,-1
7,中/人物二/人物一,.*中.*人物二.*人物一.*,29,-1,171,288,-1
8,人物二/中/人物一,.*人物二.*中.*人物一.*,25,1,159,263,-1
9,人物二/人物一/说,.*人物二.*人物一.*说.*,24,1,414,219,1
10,人物一/年/人物二,.*人物一.*年.*人物二.*,23,1,484,846,-1
11,人物/人物一/人物二,.*人物.*人物一.*人物二.*,22,1,271,475,-1
12,中/人物一/人物二,.*中.*人物一.*人物二.*,21,-1,165,269,-1
13,人物一/人物/人物二,.*人物一.*人物.*人物二.*,21,1,283,454,-1
14,人物一/人物二/得意,.*人物一.*人物二.*得意.*,20,1,1502,1482,1
15,人物一/人物二/说,.*人物一.*人物二.*说.*,20,1,411,226,1
16,人物二/人物一/中,.*人物二.*人物一.*中.*,20,-1,169,315,-1
17,月/人物二/人物一,.*月.*人物二.*人物一.*,20,1,277,582,-1
18,人物二/哥哥/人物一,.*人物二.*哥哥.*人物一.*,19,-1,1053,1283,-1
19,人物一/人物二/徒弟,.*人物一.*人物二.*徒弟.*,18,1,1305,1335,-1
20,人物二/人物一/妹妹,.*人物二.*人物一.*妹妹.*,18,-1,585,1090,-1
21,人物一/中/人物二,.*人物一.*中.*人物二.*,17,-1,150,264,-1
22,著名/人物二/人物一,.*著名.*人物二.*人物一.*,17,1,1097,1115,-1
23,人物一/人物二/学生,.*人物一.*人物二.*学生.*,16,1,1496,1337,1
24,人物一/人物二/曹国舅,.*人物一.*人物二.*曹国舅.*,16,1,1215,1335,-1
25,人物一/字/人物二,.*人物一.*字.*人物二.*,16,1,670,720,-1
26,人物一/时/人物二,.*人物一.*时.*人物二.*,16,1,133,35,1
27,八仙/人物一/人物二,.*八仙.*人物一.*人物二.*,16,1,1182,1299,-1
28,月/人物一/人物二,.*月.*人物一.*人物二.*,16,-1,278,581,-1
29,人物一/人物二/中,.*人物一.*人物二.*中.*,15,-1,160,322,-1
30,人物一/拜/人物二,.*人物一.*拜.*人物二.*,15,1,1270,1223,1
31,人物二/人物一/年,.*人物二.*人物一.*年.*,15,-1,477,851,-1
32,汉/人物一/人物二,.*汉.*人物一.*人物二.*,15,1,1162,1294,-1
33,钟离/人物一/人物二,.*钟离.*人物一.*人物二.*,15,1,1267,1417,-1
34,人物一/人物二/何仙姑,.*人物一.*人物二.*何仙姑.*,14,1,1269,1411,-1
35,人物一/人物二/兄弟,.*人物一.*人物二.*兄弟.*,14,-1,681,997,-1
36,人物一/人物二/哥哥,.*人物一.*人物二.*哥哥.*,14,-1,1056,1285,-1
37,人物一/人物二/年,.*人物一.*人物二.*年.*,14,1,478,850,-1
38,人物二/人物一/一起,.*人物二.*人物一.*一起.*,14,-1,882,1002,-1
39,人物二/徒弟/人物一,.*人物二.*徒弟.*人物一.*,14,1,1307,1335,-1
40,年/月/人物二/人物一,.*年.*月.*人物二.*人物一.*,14,1,224,448,-1
41,汉/钟离/人物一/人物二,.*汉.*钟离.*人物一.*人物二.*,14,1,888,1046,-1
42,人物一/人物二/学习,.*人物一.*人物二.*学习.*,13,1,1329,1123,1
43,人物一/人物二/得意/弟子,.*人物一.*人物二.*得意.*弟子.*,13,1,860,525,1
44,人物一/子路/人物二,.*人物一.*子路.*人物二.*,13,1,1378,1212,1
45,人物二/人物一/时,.*人物二.*人物一.*时.*,13,1,130,44,1
46,人物二/人物一/死,.*人物二.*人物一.*死.*,13,1,749,748,1
47,人物二/妹妹/人物一,.*人物二.*妹妹.*人物一.*,13,-1,585,1089,-1
48,人物二/学生/人物一,.*人物二.*学生.*人物一.*,13,1,1496,1336,1
49,后来/人物二/人物一,.*后来.*人物二.*人物一.*,13,-1,768,947,-1
50,弟子/人物一/人物二,.*弟子.*人物一.*人物二.*,13,1,688,356,1
51,张果老/人物一/人物二,.*张果老.*人物一.*人物二.*,13,1,1281,1396,-1
52,人物一/人物二/为师,.*人物一.*人物二.*为师.*,12,1,1468,1411,1
53,人物一/人物二/勇敢,.*人物一.*人物二.*勇敢.*,12,1,1466,1470,-1
54,人物一/人物二/十分,.*人物一.*人物二.*十分.*,12,1,1328,1344,-1
55,人物一/人物二/时,.*人物一.*人物二.*时.*,12,1,121,39,1
56,人物一/人物二/没有,.*人物一.*人物二.*没有.*,12,1,868,879,-1
57,人物一/拜/人物二/为师,.*人物一.*拜.*人物二.*为师.*,12,1,1263,1143,1
58,人物二/人物/人物一,.*人物二.*人物.*人物一.*,12,-1,224,481,-1
59,人物二/人物一/兄弟,.*人物二.*人物一.*兄弟.*,12,-1,684,999,-1
60,人物二/人物一/弟弟,.*人物二.*人物一.*弟弟.*,12,-1,655,1064,-1
61,人物二/人物一/没有,.*人物二.*人物一.*没有.*,12,1,869,879,-1
62,八仙/人物一/人物二/曹国舅,.*八仙.*人物一.*人物二.*曹国舅.*,12,1,856,1026,-1
63,日/人物一/人物二,.*日.*人物一.*人物二.*,12,-1,269,529,-1
64,日/人物二/人物一,.*日.*人物二.*人物一.*,12,1,273,532,-1
65,月/日/人物二/人物一,.*月.*日.*人物二.*人物一.*,12,1,85,213,-1
66,演员/人物二/人物一,.*演员.*人物二.*人物一.*,12,1,708,928,-1
67,铁拐李/人物一/人物二,.*铁拐李.*人物一.*人物二.*,12,1,1250,1387,-1
68,人物一/人物二/中国,.*人物一.*人物二.*中国.*,11,-1,175,324,-1
69,人物一/人物二/便,.*人物一.*人物二.*便.*,11,1,1013,931,1
70,人物一/人物二/弟弟,.*人物一.*人物二.*弟弟.*,11,-1,655,1059,-1
71,人物一/人物二/故事,.*人物一.*人物二.*故事.*,11,-1,858,1176,-1
72,人物一/人物二/罗克,.*人物一.*人物二.*罗克.*,11,-1,1598,1648,-1
73,人物一/人物二/老师,.*人物一.*人物二.*老师.*,11,1,1298,1229,1
74,人物一/字/子路/人物二,.*人物一.*字.*子路.*人物二.*,11,1,769,617,1
75,人物一/师从/人物二,.*人物一.*师从.*人物二.*,11,1,1392,1360,1
76,人物一/相声/人物二,.*人物一.*相声.*人物二.*,11,1,1058,982,1
77,人物一/著名/人物二,.*人物一.*著名.*人物二.*,11,1,1097,1115,-1
78,人物一/说/人物二,.*人物一.*说.*人物二.*,11,1,406,224,1
79,人物一/鲁国/人物二,.*人物一.*鲁国.*人物二.*,11,1,1398,1307,1
80,人物二/人物一/王姬,.*人物二.*人物一.*王姬.*,11,-1,1052,1244,-1
81,人物二/时/人物一,.*人物二.*时.*人物一.*,11,1,116,33,1
82,人物二/王姬/人物一,.*人物二.*王姬.*人物一.*,11,-1,1052,1244,-1
83,人物二/王姬/人物一/王姬,.*人物二.*王姬.*人物一.*王姬.*,11,-1,609,786,-1
84,介绍/人物二/人物一,.*介绍.*人物二.*人物一.*,11,-1,630,1029,-1
85,八仙/汉/人物一/人物二,.*八仙.*汉.*人物一.*人物二.*,11,1,902,1044,-1
86,八仙/汉/钟离/人物一/人物二,.*八仙.*汉.*钟离.*人物一.*人物二.*,11,1,577,713,-1
87,八仙/钟离/人物一/人物二,.*八仙.*钟离.*人物一.*人物二.*,11,1,865,1038,-1
88,女儿/人物二/人物一,.*女儿.*人物二.*人物一.*,11,-1,43,255,-1
89,张果老/人物一/人物二/曹国舅,.*张果老.*人物一.*人物二.*曹国舅.*,11,1,801,964,-1
90,月/日/人物一/人物二,.*月.*日.*人物一.*人物二.*,11,-1,86,213,-1
91,相声/人物二/人物一,.*相声.*人物二.*人物一.*,11,1,1058,982,1
92,钟离/人物一/人物二/曹国舅,.*钟离.*人物一.*人物二.*曹国舅.*,11,1,803,986,-1
93,饰演/人物二/人物一,.*饰演.*人物二.*人物一.*,11,-1,288,707,-1
94,人物一/人物二/一个,.*人物一.*人物二.*一个.*,10,0,222,376,-1
95,人物一/人物二/先生,.*人物一.*人物二.*先生.*,10,1,889,735,1
96,人物一/人物二/成为,.*人物一.*人物二.*成为.*,10,-1,505,649,-1
97,人物一/人物二/道,.*人物一.*人物二.*道.*,10,1,1040,763,1
98,人物一/季路/人物二,.*人物一.*季路.*人物二.*,10,1,1532,1560,-1
99,人物一/学/人物二,.*人物一.*学.*人物二.*,10,1,1357,950,1
100,人物一/弟弟/人物二,.*人物一.*弟弟.*人物二.*,10,-1,655,1060,-1
101,人物一/没有/人物二,.*人物一.*没有.*人物二.*,10,1,868,879,-1
102,人物一/演员/人物二,.*人物一.*演员.*人物二.*,10,1,708,928,-1
103,人物二/人物一/主演,.*人物二.*人物一.*主演.*,10,-1,491,696,-1
104,人物二/人物一/二人,.*人物二.*人物一.*二人.*,10,1,835,840,-1
105,人物二/人物一/弟子,.*人物二.*人物一.*弟子.*,10,1,691,357,1
106,人物二/女儿/人物一,.*人物二.*女儿.*人物一.*,10,-1,43,256,-1
107,人物二/收/人物一,.*人物二.*收.*人物一.*,10,1,1228,1266,-1
108,八仙/人物一/人物二/何仙姑,.*八仙.*人物一.*人物二.*何仙姑.*,10,1,920,1102,-1
