rule_id,rule,frequence,label
0,年/人物二/人物一,73,0
1,年/人物一/人物二,54,0
2,人物二/弟子/人物一,53,0
3,人物一/人物二/弟子,42,0
4,中/人物二/人物一,38,0
5,人物一/人物/人物二,33,0
6,人物二/说/人物一,30,0
7,人物一/人物二/说,29,0
8,人物二/弟弟/人物一,29,0
9,人物一/年/人物二,26,0
10,人物二/中/人物一,25,0
11,中/人物一/人物二,24,0
12,人物/人物二/人物一,24,0
13,人物一/中/人物二,24,0
14,人物二/人物一/说,24,0
15,人物二/徒弟/人物一,24,0
16,人物/人物一/人物二,23,0
17,月/人物二/人物一,23,0
18,人物一/人物二/中,21,0
19,人物一/人物二/徒弟,20,0
20,人物一/拜/人物二,20,0
21,人物一/人物二/曹国舅,19,0
22,人物二/人物一/年,19,0
23,人物一/人物二/年,18,0
24,人物二/人物一/中,18,0
25,年/月/人物二/人物一,18,0
26,人物一/人物二/为师,17,0
27,人物一/人物二/学习,17,0
28,人物二/哥哥/人物一,17,0
29,八仙/人物一/人物二,17,0
30,张果老/人物一/人物二,17,0
31,人物二/人物一/兄弟,16,0
32,人物二/人物一/妹妹,16,0
33,人物二/学生/人物一,16,0
34,人物二/时/人物一,16,0
35,主演/人物二/人物一,15,0
36,人物一/拜/人物二/为师,15,0
37,人物二/妹妹/人物一,15,0
38,八仙/人物一/人物二/曹国舅,15,0
39,时/人物二/人物一,15,0
40,钟离/人物一/人物二,15,0
41,人物一/人物二/得意,14,0
42,张果老/人物一/人物二/曹国舅,14,0
43,日/人物二/人物一,14,0
44,钟离/人物一/人物二/曹国舅,14,0
45,人物一/人物二/弟弟,13,0
46,人物一/人物二/老师,13,0
47,人物一/鲁国/人物二,13,0
48,人物二/人物一/张,13,0
49,人物二/人物一/王姬,13,0
50,人物二/子/人物一,13,0
51,人物二/王姬/人物一,13,0
52,人物二/王姬/人物一/王姬,13,0
53,月/人物一/人物二,13,0
54,月/日/人物二/人物一,13,0
55,汉/人物一/人物二,13,0
56,汉/人物一/人物二/曹国舅,13,0
57,汉/钟离/人物一/人物二,13,0
58,汉/钟离/人物一/人物二/曹国舅,13,0
59,相声/人物一/人物二,13,0
60,人物一/人物二/一起,12,0
61,人物一/时/人物二,12,0
62,人物一/说/人物二,12,0
63,人物二/人物/人物一,12,0
64,人物二/人物一/一起,12,0
65,人物二/人物一/家书,12,0
66,人物二/人物一/小人,12,0
67,人物二/写给/人物一,12,0
68,八仙/张果老/人物一/人物二,12,0
69,八仙/张果老/人物一/人物二/曹国舅,12,0
70,时/人物一/人物二,12,0
71,著名/人物二/人物一,12,0
72,铁拐李/人物一/人物二,12,0
73,中国/人物二/人物一,11,0
74,人物一/人物二/何仙姑,11,0
75,人物一/人物二/便,11,0
76,人物一/人物二/学生,11,0
77,人物一/人物二/得意/弟子,11,0
78,人物一/人物二/故事,11,0
79,人物一/前/人物二,11,0
80,人物一/字/人物二,11,0
81,人物一/师父/人物二,11,0
82,人物一/弟子/人物二,11,0
83,人物一/著名/人物二,11,0
84,人物二/人物一/子,11,0
85,人物二/写给/人物一/家书,11,0
86,后来/人物二/人物一,11,0
87,电视剧/人物二/人物一,11,0
88,铁拐李/人物一/人物二/曹国舅,11,0
89,人物一/人物/人物一/人物二,10,0
90,人物一/人物二/一个,10,0
91,人物一/人物二/兄弟,10,0
92,人物一/人物二/先生,10,0
93,人物一/人物二/哥哥,10,0
94,人物一/人物二/妹妹,10,0
95,人物一/人物二/已故,10,0
96,人物一/人物二/成为,10,0
97,人物一/人物二/时,10,0
98,人物一/介绍/人物二,10,0
99,人物一/子路/人物二,10,0
100,人物一/字子渊/人物二,10,0
101,人物一/蓝采和/人物二,10,0
102,人物二/一个/人物一,10,0
103,人物二/人物一/一个,10,0
104,人物二/人物一/便,10,0
105,人物二/人物一/弟子,10,0
106,人物二/人物一/弟弟,10,0
107,人物二/人物一/时,10,0
108,人物二/人物一/没有,10,0
109,人物二/昌/人物一,10,0
110,人物二/昌/人物一/王姬,10,0
111,人物二/王姬/昌/人物一,10,0
112,人物二/王姬/昌/人物一/王姬,10,0
113,八仙/钟离/人物一/人物二,10,0
114,八仙/钟离/人物一/人物二/曹国舅,10,0
115,后来/人物一/人物二,10,0
116,年/月/人物一/人物二,10,0
117,相声/人物一/人物二/已故,10,0
118,钟离/张果老/人物一/人物二,10,0
