rule_id,rule,pattern,frequence,original_label
57,八仙/铁拐李/人物一/人物二,.*八仙.*铁拐李.*人物一.*人物二.*,36,1
60,人物一/字/子路/人物二,.*人物一.*字.*子路.*人物二.*,35,1
61,人物二/人物一/发,.*人物二.*人物一.*发.*,35,-1
66,人物二/人物一/王姬/发,.*人物二.*人物一.*王姬.*发.*,34,-1
69,铁拐李/汉/人物一/人物二,.*铁拐李.*汉.*人物一.*人物二.*,34,1
70,铁拐李/汉/钟离/人物一/人物二,.*铁拐李.*汉.*钟离.*人物一.*人物二.*,34,1
71,铁拐李/钟离/人物一/人物二,.*铁拐李.*钟离.*人物一.*人物二.*,34,1
75,人物二/王姬/人物一/发,.*人物二.*王姬.*人物一.*发.*,33,-1
76,人物二/王姬/人物一/王姬/发,.*人物二.*王姬.*人物一.*王姬.*发.*,33,-1
82,人物二/昌/人物一/发,.*人物二.*昌.*人物一.*发.*,32,-1
83,人物二/昌/人物一/王姬/发,.*人物二.*昌.*人物一.*王姬.*发.*,32,-1
84,人物二/王姬/昌/人物一/发,.*人物二.*王姬.*昌.*人物一.*发.*,32,-1
85,人物二/王姬/昌/人物一/王姬/发,.*人物二.*王姬.*昌.*人物一.*王姬.*发.*,32,-1
86,八仙/汉/人物一/人物二,.*八仙.*汉.*人物一.*人物二.*,32,1
87,八仙/汉/钟离/人物一/人物二,.*八仙.*汉.*钟离.*人物一.*人物二.*,32,1
88,弟子/人物一/人物二,.*弟子.*人物一.*人物二.*,32,1
90,人物一/人物二/没有,.*人物一.*人物二.*没有.*,31,1
92,八仙/铁拐李/人物一/人物二/曹国舅,.*八仙.*铁拐李.*人物一.*人物二.*曹国舅.*,31,1
97,铁拐李/汉/人物一/人物二/曹国舅,.*铁拐李.*汉.*人物一.*人物二.*曹国舅.*,29,1
98,铁拐李/汉/钟离/人物一/人物二/曹国舅,.*铁拐李.*汉.*钟离.*人物一.*人物二.*曹国舅.*,29,1
99,铁拐李/钟离/人物一/人物二/曹国舅,.*铁拐李.*钟离.*人物一.*人物二.*曹国舅.*,29,1
102,八仙/汉/人物一/人物二/曹国舅,.*八仙.*汉.*人物一.*人物二.*曹国舅.*,28,1
103,八仙/汉/钟离/人物一/人物二/曹国舅,.*八仙.*汉.*钟离.*人物一.*人物二.*曹国舅.*,28,1
104,人物一/哥哥/人物二,.*人物一.*哥哥.*人物二.*,27,-1
108,八仙/铁拐李/汉/人物一/人物二,.*八仙.*铁拐李.*汉.*人物一.*人物二.*,27,1
109,八仙/铁拐李/汉/钟离/人物一/人物二,.*八仙.*铁拐李.*汉.*钟离.*人物一.*人物二.*,27,1
110,八仙/铁拐李/钟离/人物一/人物二,.*八仙.*铁拐李.*钟离.*人物一.*人物二.*,27,1
112,何仙姑/人物一/人物二,.*何仙姑.*人物一.*人物二.*,26,1
117,何仙姑/人物一/人物二/曹国舅,.*何仙姑.*人物一.*人物二.*曹国舅.*,25,1
119,张果老/何仙姑/人物一/人物二,.*张果老.*何仙姑.*人物一.*人物二.*,25,1
120,张果老/何仙姑/人物一/人物二/曹国舅,.*张果老.*何仙姑.*人物一.*人物二.*曹国舅.*,25,1
123,经历/人物二/人物一,.*经历.*人物二.*人物一.*,25,-1
126,人物一/人物二/蓝采和,.*人物一.*人物二.*蓝采和.*,24,1
129,八仙/铁拐李/汉/人物一/人物二/曹国舅,.*八仙.*铁拐李.*汉.*人物一.*人物二.*曹国舅.*,24,1
130,八仙/铁拐李/钟离/人物一/人物二/曹国舅,.*八仙.*铁拐李.*钟离.*人物一.*人物二.*曹国舅.*,24,1
133,铁拐李/何仙姑/人物一/人物二,.*铁拐李.*何仙姑.*人物一.*人物二.*,24,1
134,铁拐李/张果老/人物一/人物二,.*铁拐李.*张果老.*人物一.*人物二.*,24,1
135,铁拐李/张果老/人物一/人物二/曹国舅,.*铁拐李.*张果老.*人物一.*人物二.*曹国舅.*,24,1
136,中国/人物一/人物二,.*中国.*人物一.*人物二.*,23,-1
138,人物一/子路/季路/人物二,.*人物一.*子路.*季路.*人物二.*,23,1
139,人物一/字/子路/季路/人物二,.*人物一.*字.*子路.*季路.*人物二.*,23,1
140,人物一/字/季路/人物二,.*人物一.*字.*季路.*人物二.*,23,1
141,人物一/季路/人物二,.*人物一.*季路.*人物二.*,23,1
142,人物一/师从/人物二,.*人物一.*师从.*人物二.*,23,1
143,人物一/张果老/人物二,.*人物一.*张果老.*人物二.*,23,1
144,人物一/月/人物二,.*人物一.*月.*人物二.*,23,1
145,人物二/人物一/主演,.*人物二.*人物一.*主演.*,23,-1
147,人物二/人物一/王,.*人物二.*人物一.*王.*,23,-1
148,八仙/何仙姑/人物一/人物二,.*八仙.*何仙姑.*人物一.*人物二.*,23,1
149,八仙/何仙姑/人物一/人物二/曹国舅,.*八仙.*何仙姑.*人物一.*人物二.*曹国舅.*,23,1
150,八仙/张果老/何仙姑/人物一/人物二,.*八仙.*张果老.*何仙姑.*人物一.*人物二.*,23,1
151,八仙/张果老/何仙姑/人物一/人物二/曹国舅,.*八仙.*张果老.*何仙姑.*人物一.*人物二.*曹国舅.*,23,1
152,蓝采和/人物一/人物二,.*蓝采和.*人物一.*人物二.*,23,1
153,铁拐李/何仙姑/人物一/人物二/曹国舅,.*铁拐李.*何仙姑.*人物一.*人物二.*曹国舅.*,23,1
