sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_276114,黄立成,黄立行,让 黄立成 和 黄立行 带 着 大家 进入 时光隧道 ， 听 一 听 兄弟俩 小时候 的 童音 ， 猜猜 谁 是 谁 ！,人物一 人物二 带 进入 时光隧道  听 听 兄弟俩 小时候 童音  猜猜,-1
TRAIN_SENT_ID_269573,水笙,汪啸风,水笙 ， 金庸 武侠小说 《 连城诀 》 的 女主角 之一 ， 与 表哥 汪啸风 合称 “ 铃剑 双侠 ” 。,人物一  金庸 武侠小说  连城诀  女主角  表哥 人物二 合称  铃剑 双侠,-1
TRAIN_SENT_ID_277418,尹夏沫,尹澄,尹夏沫 演艺 经历 : 与 尹澄 和 洛熙 参加 超级 巨星 ， 唱 《 黑猫 与 牛奶 》 彩虹 广场 上 唱 《 钻石 》,人物一 演艺 经历  人物二 洛熙 参加 超级 巨星  唱  黑猫 牛奶  彩虹 广场 唱  钻石,-1
TRAIN_SENT_ID_272008,文姜,宣姜,在 进入 文姜 故事 之前 ， 先 简单 说 说 其姐 宣姜 的 事迹 。,进入 人物一 故事 之前  先 简单 说 说 其姐 人物二 事迹,-1
TRAIN_SENT_ID_260712,王重阳,全真七子,射 雕版 ： 王重阳 说 ： 在 街上 看到 老人 摔倒 就 去 扶 ， 他 要是 讹 你 ， 全真七子 帮 你 解决 ， 要是 败诉 了 ， 东邪 黄药师 替 你 讨回公道 。,射 雕版  人物一 说  街上 看到 老人 摔倒 扶  讹  人物二 帮 解决  败诉  东邪 黄药师 讨回公道,-1
TRAIN_SENT_ID_264872,田猛,田虎,蚩尤 堂堂 主 田虎 为 人 冲动 ， 一 见到 田猛 尸身 便 断定 是 出现 在 现场 又 急忙 逃走 的 盖聂 、 卫庄 所 为 ， 欲集 农家 上下 之力 杀死 二人 。,蚩尤 堂堂 主 人物二 冲动  见到 人物一 尸身 便 断定 出现 现场 急忙 逃走 盖聂  卫庄  欲集 农家 之力 杀死 二人,-1
TRAIN_SENT_ID_249025,吕洞宾,韩湘子,新 东游记 剧情 梗概 : 后 又 获知 韩湘子 、 吕洞宾 二人 的 下落 。,新 东游记 剧情 梗概  获知 人物二  人物一 二人 下落,-1
TRAIN_SENT_ID_255289,卫夫人,王羲之,《 笔阵 图 》 一篇 ， 旧题 卫夫人 撰 ， 后 众说纷纭 ， 或 疑为 王羲之 撰 ， 或 疑为 六朝 人 伪托 。,笔阵 图  一篇  旧题 人物一 撰  众说纷纭  疑为 人物二 撰  疑为 六朝 伪托,-1
TRAIN_SENT_ID_269367,王中军,王中磊,王中军 、 王中磊 兄弟 是 如何 思考 华谊 未来 的 ？,人物一  人物二 兄弟 思考 华谊 未来,-1
TRAIN_SENT_ID_283978,柳云飞,柳云龙,柳 大山 带 着 三个 他 收养 来 的 孤儿 柳云龙 （ 焦恩俊 饰 ） 、 柳云飞 和 柳 如 月 一直 是 靠 卖艺 为生 ， 后 因 生计 艰难 ， 便 回老家 去 了 。,柳 大山 带 三个 收养 孤儿 人物二  焦恩俊 饰   人物一 柳 月 一直 卖艺 为生  生计 艰难  便 回老家,-1
TRAIN_SENT_ID_252755,颜回,孔子,昔 孔子 叹 颜回 ， 以为 三月 不违 仁者 ， 盖观 其 心耳 。,昔 人物二 叹 人物一  三月 不违 仁者  盖观 心耳,-1
TRAIN_SENT_ID_259767,李偲菘,李伟菘,等 天王 天后 的 幕后 金牌 制作 的 李偲菘 、 李伟菘 兄弟 ， 品质 绝对 不在话下 。,天王 天后 幕后 金牌 制作 人物一  人物二 兄弟  品质 绝对 不在话下,-1
TRAIN_SENT_ID_256579,周武,周文,1 简介 : 泰伯 公是 周武 王 的 大伯 公 、 周文 王 大伯父 。,简介  泰伯 公是 人物一 王 大伯 公  人物二 王 大伯父,-1
TRAIN_SENT_ID_263343,蔡夫人,蔡瑁,三国演义 10 内容简介 : 《 三国演义 ( 10 ) 》 内容 为 ： 刘表 去世 ， 蔡夫人 和 蔡瑁 把 刘琦 支到 江夏 后 ， 密报 曹操 愿 献出 荆州 。,三国演义  内容简介   三国演义     内容  刘表 去世  人物一 人物二 刘琦 支到 江夏  密报 曹操 愿 献出 荆州,-1
TRAIN_SENT_ID_279080,夏林菲,夏翼,1 本书 简介 : : 《 萌 侦探 纪事 1 》 : 本季 主角 ： 莫海音 、 罗洛 、 夏林菲 、 夏翼 、 优优 。,本书 简介    萌 侦探 纪事    本季 主角  莫海音  罗洛  人物一  人物二  优优,-1
TRAIN_SENT_ID_261600,宋小宝,赵本山,本山 传媒 （ 赵家 班 ： 赵本山 ， 小 沈阳 ， 王小利 ， 宋小宝 ， 刘流 、 于月仙 等 ； ）,本山 传媒  赵家 班  人物二  沈阳  王小利  人物一  刘流  于月仙,-1
TRAIN_SENT_ID_271514,孟优,孟获,孟优 说 ： “ 家兄 孟获 ， 感 丞相 活命之恩 ， 无可 奉献 ， 辄 具金珠 宝贝 若 ， 权为 赏军 之资 。,人物一 说   家兄 人物二  感 丞相 活命之恩  无可 奉献  辄 具金珠 宝贝  权为 赏军 之资,-1
TRAIN_SENT_ID_258117,叶志成,叶子轩,为 叶容 先生 女儿 、 叶志成 先生 及 叶子轩 先生 之 姊妹 。,叶容 先生 女儿  人物一 先生 人物二 先生 姊妹,-1
TRAIN_SENT_ID_274389,贾演,贾源,贾演 和 贾源 是 亲兄弟 俩 ， 都 是 屡建 功勋 的 开国功臣 。,人物一 人物二 亲兄弟 俩  屡建 功勋 开国功臣,-1
TRAIN_SENT_ID_258118,叶志成,叶子轩,彼为 集团 执行 董事 叶志成 先生 之妹 及 叶子轩 先生 之 姊 。,彼为 集团 执行 董事 人物一 先生 之妹 人物二 先生 姊,-1
TRAIN_SENT_ID_261725,汤镇业,汤镇宗,领衔主演 ： 恬妞 、 汤镇宗 、 汤镇业 、 邱月清,领衔主演  恬妞  人物二  人物一  邱月清,-1
TRAIN_SENT_ID_265550,张崇基,张崇德,张崇基 、 张崇德 - 兄弟 的 天空,人物一  人物二  兄弟 天空,-1
TRAIN_SENT_ID_252856,颜回,孔子,"孔子 回答 ： “ 我 有 叫 颜回 的 学生 爱好 学习 ， 他 从来 都 不 把 自己 的 怒气 转移 到 别人 的 身上 , 不 重复 犯 同样 的 过错 。",人物二 回答   人物一 学生 爱好 学习  从来 怒气 转移 身上  重复 犯 同样 过错,-1
TRAIN_SENT_ID_264878,田猛,田虎,蚩尤 堂堂 主 田虎 为 人 冲动 ， 一 见到 兄长 田猛 的 尸身 便 断定 是 出现 在 现场 又 急忙 逃走 的 盖聂 、 卫庄 所 为 ， 欲集 农家 上下 之力 杀死 二人 。,蚩尤 堂堂 主 人物二 冲动  见到 兄长 人物一 尸身 便 断定 出现 现场 急忙 逃走 盖聂  卫庄  欲集 农家 之力 杀死 二人,-1
TRAIN_SENT_ID_269358,王中军,王中磊,曾 被 “ 伯乐 ” 王中军 发掘 ， 获 王中磊 提携 签约 华谊 兄弟 。,伯乐  人物一 发掘  获 人物二 提携 签约 华谊 兄弟,-1
TRAIN_SENT_ID_285201,萧琛,萧玦,可是 于 萧琛 的 事 上 ， 难免 做 的 有些 偏颇 ， 是 她 用 了 那样 巧妙 又 决绝 的 方式 永远 的 隔开 了 他 和 萧玦 的 ， 唯一 的 ， 仅存 的 ， 兄弟 情谊 。,人物一 事  难免 做 偏颇  巧妙 决绝 方式 永远 隔开 人物二  唯一  仅存  兄弟 情谊,-1
TRAIN_SENT_ID_264825,陈永奎,陈永燊,彼为 陈瑞 球 先生 之 公子 ； 亦 为 陈永奎 先生 ， 陈永燊 先生 及 周陈淑玲 女士 之弟 。,彼为 陈瑞 球 先生 公子  人物一 先生  人物二 先生 周陈淑玲 女士 之弟,-1
TRAIN_SENT_ID_269520,龚因心,龚如心,龚因心 又 说 ， 她 从没 看过 龚如心 和 陈振聪 的 照片 ， 也 没 听 过 龚曾 向 陈送 过 什么 礼物 。,人物一 说  从没 看过 人物二 陈振聪 照片  没 听 龚曾 陈送 礼物,-1
TRAIN_SENT_ID_253024,颜回,孔子,3 历史 评价 : 鱼豢 曰 ： 昔 孔子 叹 颜回 ， 以为 三月 不违 仁者 ， 盖观 其 心耳 ， 孰如孙 、 祝 菜色 於 市里 ， 颠倒 於 牢狱 ， 据 有 实事 哉 ？,历史 评价  鱼豢 曰  昔 人物二 叹 人物一  三月 不违 仁者  盖观 心耳  孰如孙  祝 菜色 於 市里  颠倒 於 牢狱  实事,-1
TRAIN_SENT_ID_268915,司徒静,司徒剑南,二人 都 吃惊 ， 司徒静 谎称 是 司徒府 二 公子 ， 并 说明 文韬 强横 真相 ， 朱允 承诺 帮助 司徒剑南 。,二人 吃惊  人物一 谎称 司徒府 二 公子  说明 文韬 强横 真相  朱允 承诺 帮助 人物二,-1
TRAIN_SENT_ID_257535,毛泽民,毛泽东,毛泽民 去 安源 ， 毛泽覃 去 水口山 ， 毛泽东 去 上海 ， 毛泽健 去 衡阳 ， 王淑兰 回 韶山 ， 兄弟 姑嫂 、 天各一方 。,人物一 安源  毛泽覃 水口山  人物二 上海  毛泽健 衡阳  王淑兰 回 韶山  兄弟 姑嫂  天各一方,-1
TRAIN_SENT_ID_256848,仲由,孔子,等到 读 了 《 史 》 ， 才 看到 孔子 被 围困 在 陈国和 蔡国 之间 ， 而 弹琴 唱歌 的 声音 没有 断绝 ， 并 与 颜渊 、 仲由 等 学生 互相 问答 。,读  史   看到 人物二 围困 陈国和 蔡国 之间  弹琴 唱歌 声音 没有 断绝  颜渊  人物一 学生 互相 问答,-1
