sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_251590,穆春,穆弘,揭阳 镇 的 李俊 、 李立 、 穆弘 、 穆春 、 张横 、 张顺 、 童威 、 童猛 ， 薛永 、 侯健 。,揭阳 镇 李俊  李立  人物二  人物一  张横  张顺  童威  童猛  薛永  侯健,-1
TRAIN_SENT_ID_284783,陈文镜,陈文贵,1927 年 八一 南昌起义 ， 叶挺 率部 参加 ， 陈文镜 跟着 哥哥 陈文贵 一起 在 部队 中 担任 军医 。,年 八一 南昌起义  叶挺 率部 参加  人物一 跟着 哥哥 人物二 一起 部队 中 担任 军医,-1
TRAIN_SENT_ID_258826,张无忌,殷离,张无忌 卸下 明教 教主 职务 后 ， 与 赵敏 寄迹 蒙古 ， 但 其 内心 仍 希望 与 周芷若 、 小昭 、 殷离 再续 前缘 。,人物一 卸下 明教 教主 职务  赵敏 寄迹 蒙古  内心 希望 周芷若  小昭  人物二 再续 前缘,-1
TRAIN_SENT_ID_275930,孙莹莹,孙芸芸,而 整个 豪华 婚礼 观礼 团前 晚先 入住 五星级 瑞吉 饭店 ， 特地 前往 巴厘岛 参加 母亲 再婚 典礼 的 孙莹莹 、 孙芸芸 姐妹 。,整个 豪华 婚礼 观礼 团前 晚先 入住 五星级 瑞吉 饭店  特地 前往 巴厘岛 参加 母亲 再婚 典礼 人物一  人物二 姐妹,-1
TRAIN_SENT_ID_271267,马季,侯宝林,1957 年 以前 ， 马季 叫 马树槐 ， 而 马季 这个 名字 ， 是 进团 以后 侯宝林 给 改 的 。,年 以前  人物一 马树槐  人物一 名字  进团 以后 人物二 改,1
TRAIN_SENT_ID_251852,曹薰铉,李昌镐,最终 曹薰铉 胜 李昌镐 夺冠 。,最终 人物一 胜 人物二 夺冠,1
TRAIN_SENT_ID_249322,陆无双,程英,他 不想 改变 什么 ， 然而 就是 因为 他 ， 南帝 变 了 ， 东邪 变 了 ， 郭靖 变 了 ， 黄蓉变 了 ， 杨过 变 了 ， 小龙女 变 了 ， 程英 变 了 ， 陆无双 变 了 … …,不想 改变   南帝 变  东邪 变  郭靖 变  黄蓉变  杨过 变  小龙女 变  人物二 变  人物一 变,-1
TRAIN_SENT_ID_251837,梅超风,黄药师,梅超风 舍命 为 黄药师 挡 了 欧阳锋 用 上 十成 功力 的 蛤蟆功 、 使得 黄药师 因 梅超风 死去 而 伤心 提供 了 一个 合理 的 解释 。,人物一 舍命 人物二 挡 欧阳锋 十成 功力 蛤蟆功  人物二 人物一 死去 伤心 提供 一个 合理 解释,1
TRAIN_SENT_ID_251897,曹薰铉,李昌镐,虽然 日本队 主帅 加藤 正夫 力克 曹薰铉 ， 但 还是 没能 闯过 最后 李昌镐 一关 。,日本队 主帅 加藤 正夫 力克 人物一  没能 闯过 最后 人物二 一关,1
TRAIN_SENT_ID_268938,韩非,荀子,韩非 这样 来 解释 《 老子 》 ， 也 无不 对 ， 这个 问题 孔子 、 子思 、 庄子 、 孟子 、 荀子 都 谈到 过 ， 这个 世界 上 为什么 每天 都 要 发生 那么 多 罪恶 ？,人物一 解释  老子   无不  问题 孔子  子思  庄子  孟子  人物二 谈到  世界 每天 发生 罪恶,1
TRAIN_SENT_ID_261148,王缙,王维,7 集评 : 唐宋 时期 : 唐 窦蒙 ： 时议 云 ： “ 论诗 则 曰 王维 、 崔颢 ； 论笔 则 王缙 李邕 端州 石室 记 、 李邕 ； 祖咏 、 张 说不得 预焉 。 ”,集评  唐宋 时期  唐 窦蒙  时议 云   论诗 曰 人物二  崔颢  论笔 人物一 李邕 端州 石室 记  李邕  祖咏  张 说不得 预焉,-1
TRAIN_SENT_ID_252596,颜回,孔子,颜回 随 孔子 重回 帝丘 ， 途经 蒲邑 ， 又 遭到 蒲人 的 拦截 。,人物一 人物二 重回 帝丘  途经 蒲邑  遭到 蒲人 拦截,1
